European Legacy Masters 2024 (2024-09-07), Buffalo Chicken Dip Legacy 17 (2024-10-12), DMV Legacy League Invitational (2024-10-12), 2024 Asia Legacy Championship (2024-10-12), Buffalo Chicken Dip Legacy 15 (2024-10-19), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Bazaar of Boxes 13 (2024-11-09)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| BR Reanimator                  |      0.51% |          6 |     299.50 |   12 |     22 |     0 | 35.29% |                    21.49% |                    52.09% |       44.48% |          35.29% |          44.48% |
| Dredge                         |      0.51% |          6 |     179.33 |   15 |     22 |     0 | 40.54% |                    26.35% |                    56.51% |       49.34% |          40.00% |          43.56% |
| Esper Vial                     |      0.51% |          6 |      51.67 |   20 |     16 |     1 | 55.41% |                    39.58% |                    70.46% |       54.90% |          55.41% |          55.41% |
| GenericZoo                     |      0.51% |          6 |      32.33 |   25 |     10 |     3 | 69.74% |                    54.95% |                    83.67% |       63.75% |          69.74% |          69.74% |
| Grixis Control                 |      0.51% |          6 |     108.33 |   20 |     17 |     2 | 53.85% |                    38.38% |                    68.96% |       44.79% |          53.85% |          48.18% |
| Maverick                       |      0.51% |          6 |     135.33 |   22 |     28 |     0 | 44.00% |                    31.16% |                    57.69% |       44.14% |          44.00% |          43.16% |
| Mono Black Reanimator          |      0.51% |          6 |     210.50 |   15 |     29 |     0 | 34.09% |                    21.88% |                    48.86% |       31.66% |          34.09% |          30.68% |
| Omni-Tell                      |      0.51% |          6 |     279.67 |   13 |     23 |     0 | 36.11% |                    22.48% |                    52.42% |       33.43% |          36.11% |          35.37% |
| Other Tempo                    |      0.51% |          6 |     151.00 |   24 |     17 |     0 | 58.54% |                    43.37% |                    72.24% |       54.89% |          58.54% |          59.06% |
| Grixis Tempo                   |      0.43% |          5 |      46.00 |   11 |     15 |     1 | 42.59% |                    25.54% |                    61.05% |       51.74% |          42.59% |          42.59% |
| Other Aggro                    |      0.43% |          5 |     270.40 |    8 |     18 |     0 | 30.77% |                    16.50% |                    49.99% |       36.01% |          30.77% |          27.31% |
| Other Graveyard                |      0.43% |          5 |     336.20 |   17 |     19 |     0 | 47.22% |                    31.99% |                    62.99% |       57.94% |          47.22% |          53.51% |
| Goblins (Vial)                 |      0.34% |          4 |     108.00 |   13 |     18 |     0 | 41.94% |                    26.42% |                    59.23% |       42.04% |          41.94% |          43.87% |
| Other Stompy                   |      0.34% |          4 |     282.75 |   15 |     19 |     0 | 44.12% |                    28.88% |                    60.55% |       39.26% |          44.12% |          41.76% |
| RUG Cascade                    |      0.34% |          4 |     270.75 |   10 |      9 |     0 | 52.63% |                    31.71% |                    72.67% |       49.47% |          52.63% |          52.63% |
| Worldgorger                    |      0.34% |          4 |     426.25 |    6 |     11 |     0 | 35.29% |                    17.31% |                    58.70% |       40.74% |          37.50% |          32.67% |
| Bant Control (Non-Yorion)      |      0.26% |          3 |      64.67 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       44.05% |          44.44% |          44.44% |
| Blue Artifacts                 |      0.26% |          3 |     412.67 |    7 |     14 |     0 | 33.33% |                    17.19% |                    54.63% |       39.61% |          33.33% |          35.71% |
| Death and Taxes (60 Card)      |      0.26% |          3 |      79.33 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       51.65% |          50.00% |          50.00% |
| Death's Shadow                 |      0.26% |          3 |     176.67 |   11 |     10 |     0 | 52.38% |                    32.37% |                    71.66% |       44.79% |          52.38% |          52.38% |
| Food Chain                     |      0.26% |          3 |     376.67 |    7 |     16 |     0 | 30.43% |                    15.60% |                    50.87% |       38.68% |          30.43% |          30.43% |
| Naya Depths                    |      0.26% |          3 |     234.33 |    5 |     10 |     0 | 33.33% |                    15.18% |                    58.29% |       51.99% |          33.33% |          45.33% |
| Other Control                  |      0.26% |          3 |     324.33 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       45.24% |          44.44% |          38.89% |
| Soul Cauldron Combo            |      0.26% |          3 |     442.00 |    6 |     12 |     0 | 33.33% |                    16.28% |                    56.25% |       47.84% |          33.33% |          33.33% |
| UR Delver                      |      0.26% |          3 |      66.00 |    7 |     10 |     0 | 41.18% |                    21.61% |                    63.99% |       42.04% |          41.18% |          41.18% |
| BUG Control                    |      0.17% |          2 |     160.00 |    5 |     11 |     0 | 31.25% |                    14.16% |                    55.60% |       48.02% |          31.25% |          34.38% |
| Bomberman                      |      0.17% |          2 |     303.50 |    6 |     10 |     0 | 37.50% |                    18.48% |                    61.36% |       48.45% |          37.50% |          37.50% |
| Coveted Jewel Combo            |      0.17% |          2 |     208.00 |    9 |      6 |     0 | 60.00% |                    35.75% |                    80.18% |       61.68% |          60.00% |          60.00% |
| High Tide                      |      0.17% |          2 |      70.00 |    1 |     11 |     1 | 11.54% |                     1.49% |                    35.39% |       33.06% |          11.54% |          11.54% |
| Infect                         |      0.17% |          2 |      97.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       40.90% |          46.15% |          40.51% |
| Jeskai Miracles                |      0.17% |          2 |      26.00 |    7 |      5 |     2 | 57.14% |                    31.95% |                    80.67% |       60.32% |          57.14% |          57.14% |
| Nic Fit                        |      0.17% |          2 |     263.00 |    2 |      8 |     0 | 20.00% |                     5.67% |                    50.98% |       36.48% |          20.00% |          20.00% |
| Standstill                     |      0.17% |          2 |     136.50 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       42.99% |          38.46% |          38.46% |
| Unknown Deck                   |      0.17% |          2 |      30.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       36.43% |          42.86% |          34.29% |
| White Stompy                   |      0.17% |          2 |     260.00 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       42.93% |          37.50% |          45.00% |
| Yorion Zenith                  |      0.17% |          2 |     219.00 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       52.47% |          54.55% |          54.55% |
| Abzan Depths                   |      0.09% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       51.37% |          50.00% |          50.00% |
