Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Buffalo Chicken Dip Legacy 15 (2024-10-19), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Bazaar of Boxes 13 (2024-11-09)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| BR Reanimator                  |      0.56% |          2 |     114.00 |    1 |      7 |     0 | 12.50% |                     2.24% |                    47.09% |       46.87% |          12.50% |          33.91% |
| Beanstalk Control (Yorion)     |      0.56% |          2 |      36.50 |    7 |      5 |     1 | 57.69% |                    31.95% |                    80.67% |       52.68% |          57.69% |          63.08% |
| Jeskai Miracles                |      0.56% |          2 |      26.00 |    7 |      5 |     2 | 57.14% |                    31.95% |                    80.67% |       61.27% |          57.14% |          57.14% |
| Other Permanent Combo          |      0.56% |          2 |      69.50 |    2 |      9 |     0 | 18.18% |                     5.14% |                    47.70% |       33.75% |          18.18% |          30.46% |
| Thought Lash Combo             |      0.56% |          2 |      66.50 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       39.50% |          41.67% |          45.00% |
| UR Delver                      |      0.56% |          2 |      81.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       43.30% |          41.67% |          50.00% |
| BUG Control                    |      0.28% |          1 |     113.00 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       46.97% |          14.29% |          21.43% |
| Coveted Jewel Combo            |      0.28% |          1 |       5.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       59.64% |          75.00% |          75.00% |
| Enchantress                    |      0.28% |          1 |      82.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       42.88% |          33.33% |          33.33% |
| Golgari Depths                 |      0.28% |          1 |      97.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       39.89% |          40.00% |          43.39% |
| Grixis Delver                  |      0.28% |          1 |     105.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       49.72% |          20.00% |          53.08% |
| High Tide                      |      0.28% |          1 |     101.00 |    1 |      5 |     1 | 21.43% |                     3.01% |                    56.35% |       34.64% |          21.43% |          21.43% |
| Maverick                       |      0.28% |          1 |      22.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       45.30% |          71.43% |          64.29% |
| Mono Black Reanimator          |      0.28% |          1 |     102.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       34.31% |           0.00% |          21.67% |
| Oops All Spells                |      0.28% |          1 |      81.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       53.09% |          40.00% |          64.44% |
| Other Tempo                    |      0.28% |          1 |       3.00 |    7 |      1 |     0 | 87.50% |                    52.91% |                    97.76% |       51.79% |          87.50% |          75.92% |
| RUG Cascade                    |      0.28% |          1 |      10.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       53.67% |          71.43% |          69.39% |
| The EPIC Gamble                |      0.28% |          1 |      79.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       45.42% |          40.00% |          32.00% |
| Unknown Deck                   |      0.28% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       36.98% |          50.00% |          33.33% |
| Worldgorger                    |      0.28% |          1 |      16.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       42.45% |          66.67% |          42.86% |
| Yorion Zenith                  |      0.28% |          1 |      47.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       52.42% |          60.00% |          66.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
