Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Boros Stompy                   |      0.50% |          5 |      97.40 |   17 |     18 |     0 | 48.57% |                    32.99% |                    64.43% |       41.64% |          48.57% |          48.57% |
| Dimir Delver                   |      0.50% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       54.71% |          61.76% |          61.76% |
| Grixis Control                 |      0.50% |          5 |      99.00 |   13 |     14 |     0 | 48.15% |                    30.74% |                    66.01% |       44.66% |          48.15% |          49.91% |
| Mono Black Reanimator          |      0.50% |          5 |      82.00 |    9 |     15 |     0 | 37.50% |                    21.16% |                    57.29% |       32.64% |          37.50% |          38.63% |
| Ninjas                         |      0.50% |          5 |      47.80 |   16 |     15 |     0 | 51.61% |                    34.84% |                    68.03% |       45.02% |          51.61% |          40.95% |
| Omni-Tell                      |      0.50% |          5 |      80.60 |    8 |     22 |     0 | 26.67% |                    14.18% |                    44.45% |       34.06% |          26.67% |          26.51% |
| Goblins (Vial)                 |      0.40% |          4 |     109.25 |    6 |     12 |     0 | 33.33% |                    16.28% |                    56.25% |       32.43% |          33.33% |          35.67% |
| Riddlesmith Combo              |      0.40% |          4 |     167.50 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       49.48% |          38.46% |          36.63% |
| The EPIC Gamble                |      0.40% |          4 |      64.00 |    9 |     15 |     0 | 37.50% |                    21.16% |                    57.29% |       40.41% |          37.50% |          35.62% |
| Black Midrange                 |      0.30% |          3 |      29.33 |    6 |      9 |     0 | 40.00% |                    19.82% |                    64.25% |       49.68% |          40.00% |          48.95% |
| Coveted Jewel Combo            |      0.30% |          3 |     110.00 |   12 |      9 |     0 | 57.14% |                    36.55% |                    75.53% |       58.86% |          57.14% |          57.14% |
| Death and Taxes (60 Card)      |      0.30% |          3 |     151.33 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       48.24% |          45.45% |          39.39% |
| Naya Stompy                    |      0.30% |          3 |      77.00 |    6 |     14 |     0 | 30.00% |                    14.55% |                    51.90% |       31.75% |          30.00% |          39.27% |
| Other Graveyard                |      0.30% |          3 |      37.67 |   12 |      9 |     0 | 57.14% |                    36.55% |                    75.53% |       57.63% |          57.14% |          53.56% |
| Other Non Blue                 |      0.30% |          3 |     100.67 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       47.76% |          45.83% |          44.79% |
| Bant Control (Non-Yorion)      |      0.20% |          2 |     187.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       37.01% |          50.00% |          40.00% |
| Bant Control (Yorion)          |      0.20% |          2 |      24.00 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       54.93% |          72.22% |          70.74% |
| Black Phoenix                  |      0.20% |          2 |     212.00 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       30.60% |          14.29% |          14.29% |
| Burn/Red Prowess               |      0.20% |          2 |     228.00 |    3 |      8 |     0 | 27.27% |                     9.75% |                    56.56% |       37.27% |          27.27% |          28.83% |
| Esper Vial                     |      0.20% |          2 |      18.50 |   11 |      4 |     0 | 73.33% |                    48.05% |                    89.10% |       62.44% |          73.33% |          66.67% |
| Grixis Delver                  |      0.20% |          2 |      60.00 |    8 |      6 |     0 | 57.14% |                    32.59% |                    78.62% |       50.40% |          57.14% |          58.59% |
| Maverick                       |      0.20% |          2 |      15.00 |    8 |      6 |     0 | 57.14% |                    32.59% |                    78.62% |       43.63% |          57.14% |          59.44% |
| Other Stompy                   |      0.20% |          2 |     114.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       32.41% |          33.33% |          41.11% |
| Standstill                     |      0.20% |          2 |     158.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       55.92% |          33.33% |          33.33% |
| The EPIC Storm                 |      0.20% |          2 |      66.00 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       43.66% |          46.67% |          46.42% |
| Thought Lash Combo             |      0.20% |          2 |      66.50 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       45.33% |          41.67% |          45.00% |
| White Stompy                   |      0.20% |          2 |     104.50 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       37.68% |          44.44% |          44.44% |
| 4C Non Uro Control (Yorion)    |      0.10% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       36.12% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.10% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       53.13% |          44.44% |          44.44% |
| 8Cast                          |      0.10% |          1 |      15.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       45.00% |          71.43% |          59.52% |
| Abzan Depths                   |      0.10% |          1 |     212.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       41.59% |          16.67% |          25.00% |
| BUG Control                    |      0.10% |          1 |     113.00 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       45.31% |          14.29% |          21.43% |
| Black Stompy                   |      0.10% |          1 |      92.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       49.76% |          33.33% |          46.46% |
| Blue Artifacts                 |      0.10% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       34.86% |          50.00% |          41.67% |
| Enchantress                    |      0.10% |          1 |      82.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       35.87% |          33.33% |          33.33% |
| Madness                        |      0.10% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.75% |           0.00% |           0.00% |
| Manaless Dredge                |      0.10% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       34.53% |          22.22% |          22.22% |
| Orzhov Vial                    |      0.10% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       53.43% |          66.67% |          66.67% |
| Other Control                  |      0.10% |          1 |      30.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       42.49% |          33.33% |          35.56% |
| RUG Delver                     |      0.10% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       51.04% |          50.00% |          50.00% |
| RUG Midrange-Control           |      0.10% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       47.26% |          25.00% |          25.00% |
| Worldgorger                    |      0.10% |          1 |      16.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       41.44% |          66.67% |          42.86% |
| Yorion Zenith                  |      0.10% |          1 |      47.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       48.79% |          60.00% |          66.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
