Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Omni-Tell                      |      0.67% |         12 |      54.67 |   25 |     47 |     0 | 34.72% |                    24.75% |                    46.24% |       33.95% |          34.29% |          33.94% |
| Other Aggro                    |      0.67% |         12 |     123.25 |   17 |     37 |     0 | 31.48% |                    20.68% |                    44.74% |       38.53% |          30.77% |          31.26% |
| Mono Black Reanimator          |      0.61% |         11 |      59.82 |   16 |     39 |     0 | 29.09% |                    18.77% |                    42.14% |       33.02% |          29.09% |          31.88% |
| Riddlesmith Combo              |      0.61% |         11 |      74.45 |   32 |     24 |     0 | 57.14% |                    44.14% |                    69.23% |       50.82% |          57.14% |          57.14% |
| Ruby Storm                     |      0.61% |         11 |      64.91 |   39 |     31 |     0 | 55.71% |                    44.08% |                    66.75% |       47.85% |          55.88% |          55.71% |
| Merfolk                        |      0.56% |         10 |     100.10 |   27 |     30 |     0 | 47.37% |                    34.99% |                    60.08% |       42.31% |          47.37% |          45.28% |
| Ninjas                         |      0.56% |         10 |      48.50 |   28 |     30 |     3 | 48.36% |                    35.93% |                    60.84% |       46.81% |          48.36% |          46.43% |
| Beseech Storm                  |      0.50% |          9 |      61.56 |   25 |     31 |     0 | 44.64% |                    32.39% |                    57.59% |       50.20% |          44.23% |          45.93% |
| Esper Control                  |      0.50% |          9 |     103.00 |   28 |     26 |     0 | 51.85% |                    38.85% |                    64.61% |       50.58% |          51.85% |          51.85% |
| Goblins (Vial)                 |      0.50% |          9 |      87.22 |   14 |     31 |     0 | 31.11% |                    19.53% |                    45.66% |       34.23% |          31.11% |          33.64% |
| Selesnya Depths                |      0.50% |          9 |     119.67 |   22 |     27 |     1 | 45.00% |                    31.85% |                    58.68% |       42.81% |          45.00% |          42.42% |
| Naya Stompy                    |      0.45% |          8 |      49.88 |   13 |     31 |     0 | 29.55% |                    18.16% |                    44.22% |       32.39% |          29.55% |          33.67% |
| Beanstalk Control (Yorion)     |      0.39% |          7 |     110.14 |   19 |     16 |     1 | 54.17% |                    38.19% |                    69.53% |       46.42% |          54.17% |          56.57% |
| Burn/Red Prowess               |      0.39% |          7 |     105.43 |   13 |     20 |     0 | 39.39% |                    24.68% |                    56.32% |       39.45% |          39.39% |          33.46% |
| Other Permanent Combo          |      0.39% |          7 |      87.57 |   10 |     28 |     0 | 26.32% |                    14.97% |                    42.01% |       34.22% |          26.32% |          30.69% |
| Black Stompy                   |      0.33% |          6 |      39.00 |   15 |     18 |     1 | 45.59% |                    29.84% |                    62.01% |       48.55% |          45.59% |          48.79% |
| Boros Stompy                   |      0.33% |          6 |      87.83 |   21 |     21 |     0 | 50.00% |                    35.53% |                    64.47% |       42.27% |          50.00% |          48.02% |
| GenericZoo                     |      0.33% |          6 |      32.33 |   25 |     10 |     3 | 69.74% |                    54.95% |                    83.67% |       59.91% |          69.74% |          69.74% |
| Other Graveyard                |      0.33% |          6 |      26.33 |   24 |     17 |     0 | 58.54% |                    43.37% |                    72.24% |       57.25% |          58.54% |          52.93% |
| The EPIC Gamble                |      0.33% |          6 |      54.33 |   15 |     22 |     0 | 40.54% |                    26.35% |                    56.51% |       41.60% |          40.54% |          40.54% |
| Dimir Delver                   |      0.28% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       54.86% |          61.76% |          61.76% |
