Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Mono Black Reanimator          |      0.45% |          4 |      77.00 |    9 |     10 |     0 | 47.37% |                    27.33% |                    68.29% |       32.33% |          47.37% |          43.10% |
| Riddlesmith Combo              |      0.45% |          4 |     167.50 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       49.62% |          38.46% |          36.63% |
| Selesnya Depths                |      0.45% |          4 |     188.75 |    9 |     12 |     0 | 42.86% |                    24.47% |                    63.45% |       43.32% |          42.86% |          38.75% |
| Black Midrange                 |      0.34% |          3 |      29.33 |    6 |      9 |     0 | 40.00% |                    19.82% |                    64.25% |       49.45% |          40.00% |          48.95% |
| Boros Stompy                   |      0.34% |          3 |     137.33 |   10 |     15 |     0 | 40.00% |                    23.40% |                    59.26% |       40.37% |          40.00% |          44.67% |
| Goblins (Vial)                 |      0.34% |          3 |     132.33 |    2 |      9 |     0 | 18.18% |                     5.14% |                    47.70% |       31.71% |          18.18% |          27.25% |
| Naya Stompy                    |      0.34% |          3 |      77.00 |    6 |     14 |     0 | 30.00% |                    14.55% |                    51.90% |       31.20% |          30.00% |          39.27% |
| Omni-Tell                      |      0.34% |          3 |      90.33 |    2 |     14 |     0 | 12.50% |                     3.50% |                    36.02% |       33.52% |          12.50% |          17.29% |
| Other Graveyard                |      0.34% |          3 |      37.67 |   12 |      9 |     0 | 57.14% |                    36.55% |                    75.53% |       57.77% |          57.14% |          53.56% |
| Other Non Blue                 |      0.34% |          3 |     100.67 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       47.71% |          45.83% |          44.79% |
| The EPIC Gamble                |      0.34% |          3 |      59.00 |    7 |     12 |     0 | 36.84% |                    19.15% |                    58.96% |       39.86% |          36.84% |          36.58% |
| Bant Control (Non-Yorion)      |      0.23% |          2 |     187.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       35.96% |          50.00% |          40.00% |
| Bant Control (Yorion)          |      0.23% |          2 |      24.00 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       54.86% |          72.22% |          70.74% |
| Black Phoenix                  |      0.23% |          2 |     212.00 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       29.59% |          14.29% |          14.29% |
| Burn/Red Prowess               |      0.23% |          2 |     228.00 |    3 |      8 |     0 | 27.27% |                     9.75% |                    56.56% |       36.84% |          27.27% |          28.83% |
