Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-08 (2024-09-08), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Ruby Storm                     |      0.66% |         11 |      64.91 |   39 |     31 |     0 | 55.71% |                    44.08% |                    66.75% |       47.62% |          55.88% |          55.71% |
| Dredge                         |      0.60% |         10 |      57.00 |   38 |     35 |     0 | 52.05% |                    40.78% |                    63.12% |       50.24% |          52.05% |          49.28% |
| Naya Stompy                    |      0.60% |         10 |      42.90 |   20 |     37 |     0 | 35.09% |                    24.00% |                    48.06% |       32.29% |          35.09% |          35.09% |
| Esper Control                  |      0.54% |          9 |     103.00 |   28 |     26 |     0 | 51.85% |                    38.85% |                    64.61% |       50.72% |          51.85% |          51.85% |
| Omni-Tell                      |      0.54% |          9 |      48.78 |   17 |     37 |     0 | 31.48% |                    20.68% |                    44.74% |       32.55% |          30.77% |          31.97% |
| Stoneblade                     |      0.54% |          9 |      38.56 |   32 |     23 |     0 | 58.18% |                    45.03% |                    70.26% |       51.77% |          58.18% |          54.94% |
| Other Graveyard                |      0.48% |          8 |      24.62 |   31 |     22 |     0 | 58.49% |                    45.09% |                    70.74% |       57.70% |          58.49% |          53.41% |
| Black Midrange                 |      0.42% |          7 |      28.43 |   20 |     19 |     0 | 51.28% |                    36.20% |                    66.13% |       49.03% |          51.28% |          53.74% |
| Grixis Control                 |      0.42% |          7 |      81.14 |   16 |     22 |     0 | 42.11% |                    27.85% |                    57.81% |       44.71% |          42.11% |          48.28% |
| Merfolk                        |      0.42% |          7 |     115.43 |   19 |     19 |     0 | 50.00% |                    34.85% |                    65.15% |       41.42% |          50.00% |          41.91% |
| Other Permanent Combo          |      0.42% |          7 |      81.00 |   12 |     24 |     0 | 33.33% |                    20.21% |                    49.67% |       34.22% |          33.33% |          31.89% |
| Beanstalk Control (Yorion)     |      0.36% |          6 |     120.17 |   16 |     13 |     0 | 55.17% |                    37.55% |                    71.59% |       44.97% |          55.17% |          48.05% |
| Black Stompy                   |      0.36% |          6 |      36.50 |   16 |     18 |     0 | 47.06% |                    31.45% |                    63.26% |       48.90% |          47.06% |          45.31% |
| Boros Stompy                   |      0.36% |          6 |     102.17 |   17 |     25 |     0 | 40.48% |                    27.04% |                    55.51% |       40.26% |          40.48% |          42.86% |
| Goblins (Vial)                 |      0.36% |          6 |      96.83 |    5 |     19 |     0 | 20.83% |                     9.24% |                    40.47% |       34.65% |          20.83% |          27.07% |
| Gruul Stompy                   |      0.36% |          6 |      45.33 |    6 |     19 |     0 | 24.00% |                    11.50% |                    43.43% |       41.06% |          24.00% |          24.60% |
| Necrodominance Combo           |      0.36% |          6 |      34.33 |   13 |     17 |     0 | 43.33% |                    27.38% |                    60.80% |       41.95% |          43.33% |          43.33% |
| Other Control                  |      0.36% |          6 |      30.33 |   10 |     21 |     0 | 32.26% |                    18.57% |                    49.86% |       42.45% |          32.26% |          35.48% |
| Burn/Red Prowess               |      0.30% |          5 |     105.80 |    9 |     19 |     0 | 32.14% |                    17.93% |                    50.66% |       39.61% |          32.14% |          31.93% |
| Dimir Delver                   |      0.30% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       54.78% |          61.76% |          61.76% |
| Selesnya Depths                |      0.30% |          5 |     171.60 |   10 |     16 |     0 | 38.46% |                    22.43% |                    57.47% |       43.11% |          38.46% |          37.01% |
| The EPIC Gamble                |      0.30% |          5 |      49.40 |   13 |     19 |     0 | 40.62% |                    25.52% |                    57.74% |       40.28% |          40.62% |          41.88% |
| Bant Control (Non-Yorion)      |      0.24% |          4 |     142.00 |    6 |     15 |     0 | 28.57% |                    13.81% |                    49.96% |       38.24% |          28.57% |          33.33% |
| Black Phoenix                  |      0.24% |          4 |     122.00 |    3 |     12 |     0 | 20.00% |                     7.05% |                    45.19% |       30.46% |          20.00% |          20.00% |
| Creative Technique             |      0.24% |          4 |      27.00 |   11 |     11 |     0 | 50.00% |                    30.72% |                    69.28% |       43.53% |          50.00% |          50.00% |
| Other Non Blue                 |      0.24% |          4 |      84.50 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       47.64% |          44.00% |          44.00% |
| Other Vial                     |      0.24% |          4 |      18.25 |   15 |     11 |     0 | 57.69% |                    38.95% |                    74.46% |       60.95% |          57.69% |          65.16% |
| White Stompy                   |      0.24% |          4 |      81.75 |   12 |     15 |     0 | 44.44% |                    27.59% |                    62.69% |       37.13% |          44.44% |          44.44% |
| Worldgorger                    |      0.24% |          4 |      19.50 |    8 |     12 |     0 | 40.00% |                    21.88% |                    61.34% |       41.12% |          40.00% |          40.73% |
