| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Unknown Deck                   |      0.68% |         19 |     170.21 |    8 |     26 |     0 | 23.53% |                    12.44% |                    40.00% |       32.81% |          23.53% |          23.53% |
| Golgari Depths                 |      0.65% |         18 |      71.78 |   40 |     57 |     0 | 41.24% |                    31.96% |                    51.18% |       39.97% |          41.24% |          41.24% |
| Mono Black Reanimator          |      0.65% |         18 |     104.78 |   32 |     70 |     0 | 31.37% |                    23.18% |                    40.91% |       32.34% |          31.37% |          31.37% |
| Merfolk                        |      0.61% |         17 |     234.59 |   44 |     53 |     0 | 45.36% |                    35.82% |                    55.26% |       42.83% |          45.36% |          45.36% |
| Other Aggro                    |      0.61% |         17 |     166.53 |   25 |     55 |     0 | 31.25% |                    22.15% |                    42.07% |       38.69% |          30.77% |          31.25% |
| Black Stompy                   |      0.57% |         16 |     149.00 |   42 |     56 |     1 | 42.93% |                    33.51% |                    52.74% |       47.56% |          42.93% |          42.93% |
| Dredge                         |      0.57% |         16 |     102.88 |   53 |     57 |     0 | 48.18% |                    39.06% |                    57.42% |       50.23% |          48.15% |          48.18% |
| Other Permanent Combo          |      0.57% |         16 |     251.06 |   26 |     68 |     0 | 27.66% |                    19.63% |                    37.44% |       33.88% |          27.66% |          27.66% |
| Stoneblade                     |      0.57% |         16 |     119.38 |   51 |     44 |     3 | 53.57% |                    43.71% |                    63.37% |       52.03% |          53.57% |          53.57% |
| Beseech Storm                  |      0.54% |         15 |      78.40 |   48 |     50 |     0 | 48.98% |                    39.31% |                    58.73% |       48.92% |          48.91% |          48.98% |
| Omni-Tell                      |      0.54% |         15 |     141.13 |   30 |     60 |     0 | 33.33% |                    24.45% |                    43.58% |       33.04% |          32.95% |          33.33% |
| The EPIC Storm                 |      0.54% |         15 |      34.20 |   35 |     46 |     0 | 43.21% |                    32.97% |                    54.06% |       43.91% |          43.04% |          43.21% |
| Other Graveyard                |      0.50% |         14 |     134.86 |   52 |     43 |     0 | 54.74% |                    44.74% |                    64.37% |       57.72% |          54.74% |          54.74% |
| Grixis Control                 |      0.47% |         13 |      93.69 |   36 |     39 |     2 | 48.05% |                    37.07% |                    59.13% |       44.08% |          48.05% |          48.05% |
| Ninjas                         |      0.47% |         13 |      93.85 |   35 |     39 |     3 | 47.40% |                    36.34% |                    58.52% |       47.70% |          47.40% |          47.40% |
| Beanstalk Control (Yorion)     |      0.43% |         12 |     173.08 |   34 |     29 |     1 | 53.91% |                    41.79% |                    65.69% |       46.27% |          53.91% |          53.91% |
| Burn/Red Prowess               |      0.43% |         12 |     145.25 |   23 |     40 |     0 | 36.51% |                    25.72% |                    48.85% |       41.13% |          36.51% |          36.51% |
| Boros Stompy                   |      0.40% |         11 |     132.09 |   34 |     41 |     0 | 45.33% |                    34.57% |                    56.55% |       41.81% |          45.33% |          45.33% |
| Goblins (Vial)                 |      0.40% |         11 |      95.45 |   20 |     40 |     0 | 33.33% |                    22.73% |                    45.94% |       36.83% |          33.33% |          33.33% |
| Riddlesmith Combo              |      0.40% |         11 |      74.45 |   32 |     24 |     0 | 57.14% |                    44.14% |                    69.23% |       50.63% |          57.14% |          57.14% |
| Ruby Storm                     |      0.40% |         11 |      64.91 |   39 |     31 |     0 | 55.71% |                    44.08% |                    66.75% |       46.54% |          55.88% |          55.71% |
| Maverick                       |      0.36% |         10 |      90.80 |   33 |     43 |     0 | 43.42% |                    32.86% |                    54.61% |       43.17% |          43.42% |          43.42% |
| Naya Stompy                    |      0.36% |         10 |      42.90 |   20 |     37 |     0 | 35.09% |                    24.00% |                    48.06% |       33.23% |          35.09% |          35.09% |
| 8Cast                          |      0.32% |          9 |      91.78 |   29 |     30 |     0 | 49.15% |                    36.84% |                    61.56% |       45.89% |          49.15% |          49.15% |
| Esper Control                  |      0.32% |          9 |     103.00 |   28 |     26 |     0 | 51.85% |                    38.85% |                    64.61% |       50.48% |          51.85% |          51.85% |
| Other Control                  |      0.32% |          9 |     128.33 |   18 |     31 |     0 | 36.73% |                    24.67% |                    50.73% |       43.62% |          36.73% |          36.73% |
| Worldgorger                    |      0.32% |          9 |     201.22 |   17 |     26 |     0 | 39.53% |                    26.37% |                    54.42% |       40.96% |          40.48% |          39.53% |
| Esper Vial                     |      0.29% |          8 |      43.38 |   31 |     20 |     1 | 60.58% |                    47.09% |                    72.97% |       60.62% |          60.58% |          60.58% |
| Gruul Stompy                   |      0.29% |          8 |      38.38 |   13 |     24 |     0 | 35.14% |                    21.83% |                    51.24% |       42.42% |          35.14% |          35.14% |
| Thought Lash Combo             |      0.25% |          7 |     290.86 |   18 |     23 |     0 | 43.90% |                    29.89% |                    58.96% |       44.01% |          43.59% |          43.90% |
| GenericZoo                     |      0.22% |          6 |      32.33 |   25 |     10 |     3 | 69.74% |                    54.95% |                    83.67% |       61.26% |          69.74% |          69.74% |
| Necrodominance Combo           |      0.22% |          6 |      34.33 |   13 |     17 |     0 | 43.33% |                    27.38% |                    60.80% |       42.15% |          43.33% |          43.33% |
| Other Stompy                   |      0.22% |          6 |     226.67 |   17 |     23 |     0 | 42.50% |                    28.51% |                    57.80% |       35.40% |          42.50% |          42.50% |
| The EPIC Gamble                |      0.22% |          6 |      54.33 |   15 |     22 |     0 | 40.54% |                    26.35% |                    56.51% |       41.50% |          40.54% |          40.54% |
| Bant Control (Non-Yorion)      |      0.18% |          5 |     113.80 |   13 |     15 |     0 | 46.43% |                    29.53% |                    64.19% |       41.21% |          46.43% |          46.43% |
| Creative Technique             |      0.18% |          5 |      92.00 |   14 |     14 |     0 | 50.00% |                    32.63% |                    67.37% |       43.10% |          50.00% |          50.00% |
| Dimir Delver                   |      0.18% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       56.38% |          61.76% |          61.76% |
| Grixis Tempo                   |      0.18% |          5 |      46.00 |   11 |     15 |     1 | 42.59% |                    25.54% |                    61.05% |       52.09% |          42.59% |          42.59% |
| Other Vial                     |      0.18% |          5 |      22.00 |   22 |     13 |     0 | 62.86% |                    46.34% |                    76.83% |       60.15% |          62.86% |          62.86% |
| Standstill                     |      0.18% |          5 |     126.80 |    9 |     15 |     0 | 37.50% |                    21.16% |                    57.29% |       51.24% |          37.50% |          37.50% |
| White Stompy                   |      0.18% |          5 |     149.60 |   14 |     18 |     0 | 43.75% |                    28.17% |                    60.67% |       37.58% |          43.75% |          43.75% |
| Black Phoenix                  |      0.14% |          4 |     122.00 |    3 |     12 |     0 | 20.00% |                     7.05% |                    45.19% |       32.21% |          20.00% |          20.00% |
| Blue Artifacts                 |      0.14% |          4 |     314.75 |   10 |     17 |     0 | 37.04% |                    21.53% |                    55.77% |       37.83% |          37.04% |          37.04% |
| Coveted Jewel Combo            |      0.14% |          4 |     185.25 |   15 |     13 |     0 | 53.57% |                    35.81% |                    70.47% |       61.50% |          53.57% |          53.57% |
| Death and Taxes (60 Card)      |      0.14% |          4 |     142.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       49.07% |          41.67% |          41.67% |
| Naya Depths                    |      0.14% |          4 |     176.00 |   13 |     11 |     0 | 54.17% |                    35.07% |                    72.11% |       54.48% |          54.17% |          54.17% |
| Other Non Blue                 |      0.14% |          4 |      84.50 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       47.84% |          44.00% |          44.00% |
| RUG Cascade                    |      0.14% |          4 |     270.75 |   10 |      9 |     0 | 52.63% |                    31.71% |                    72.67% |       52.98% |          52.63% |          52.63% |
| Abzan Depths                   |      0.11% |          3 |      94.00 |    4 |     10 |     0 | 28.57% |                    11.72% |                    54.65% |       43.46% |          28.57% |          28.57% |
| BUG Control                    |      0.11% |          3 |     118.00 |    6 |     13 |     0 | 31.58% |                    15.36% |                    53.99% |       46.45% |          31.58% |          31.58% |
| Bant Control (Yorion)          |      0.11% |          3 |      23.33 |   16 |      8 |     0 | 66.67% |                    46.71% |                    82.03% |       56.88% |          66.67% |          66.67% |
| Chain of Smog Combo            |      0.11% |          3 |      34.33 |    2 |     12 |     0 | 14.29% |                     4.01% |                    39.94% |       38.19% |          14.29% |          14.29% |
| Death's Shadow                 |      0.11% |          3 |     176.67 |   11 |     10 |     0 | 52.38% |                    32.37% |                    71.66% |       41.51% |          52.38% |          52.38% |
| Food Chain                     |      0.11% |          3 |     376.67 |    7 |     16 |     0 | 30.43% |                    15.60% |                    50.87% |       36.17% |          30.43% |          30.43% |
| Infect                         |      0.11% |          3 |      80.00 |    7 |     12 |     0 | 36.84% |                    19.15% |                    58.96% |       39.34% |          36.84% |          36.84% |
| Other Spell Combo              |      0.11% |          3 |      30.67 |    5 |      9 |     0 | 35.71% |                    16.34% |                    61.24% |       39.26% |          35.71% |          35.71% |
| Paradoxical Outcome            |      0.11% |          3 |      14.67 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       37.38% |          55.56% |          55.56% |
| Soul Cauldron Combo            |      0.11% |          3 |     442.00 |    6 |     12 |     0 | 33.33% |                    16.28% |                    56.25% |       43.98% |          33.33% |          33.33% |
| UR Delver                      |      0.11% |          3 |      66.00 |    7 |     10 |     0 | 41.18% |                    21.61% |                    63.99% |       42.11% |          41.18% |          41.18% |
| Blue Painter                   |      0.07% |          2 |      24.50 |    7 |      6 |     0 | 53.85% |                    29.14% |                    76.79% |       48.35% |          53.85% |          53.85% |
| Bomberman                      |      0.07% |          2 |     303.50 |    6 |     10 |     0 | 37.50% |                    18.48% |                    61.36% |       49.71% |          37.50% |          37.50% |
| Enchantress                    |      0.07% |          2 |      66.00 |    2 |      9 |     0 | 18.18% |                     5.14% |                    47.70% |       38.70% |          18.18% |          18.18% |
| High Tide                      |      0.07% |          2 |      70.00 |    1 |     11 |     1 | 11.54% |                     1.49% |                    35.39% |       31.61% |          11.54% |          11.54% |
| Jeskai Miracles                |      0.07% |          2 |      26.00 |    7 |      5 |     2 | 57.14% |                    31.95% |                    80.67% |       57.09% |          57.14% |          57.14% |
| Nic Fit                        |      0.07% |          2 |     263.00 |    2 |      8 |     0 | 20.00% |                     5.67% |                    50.98% |       37.76% |          20.00% |          20.00% |
| RUG Delver                     |      0.07% |          2 |     335.50 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       49.25% |          44.44% |          44.44% |
| Yorion Zenith                  |      0.07% |          2 |     219.00 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       50.22% |          54.55% |          54.55% |
| 4C Non Uro Control (Yorion)    |      0.04% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       35.01% |          28.57% |          28.57% |
| 4C Uro Control (Non-Yorion)    |      0.04% |          1 |      44.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       52.50% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.04% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       50.50% |          44.44% |          44.44% |
| Aluren                         |      0.04% |          1 |     340.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       37.13% |          44.44% |          44.44% |
| Colorless Cloudpost            |      0.04% |          1 |      32.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       42.74% |          40.00% |          40.00% |
| Displacer Kitten Combo         |      0.04% |          1 |     327.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       55.37% |          57.14% |          57.14% |
| Goblins (Turbo Muxus)          |      0.04% |          1 |     256.00 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       47.75% |          30.00% |          30.00% |
| Hogaak                         |      0.04% |          1 |     296.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       46.42% |          55.56% |          55.56% |
| Madness                        |      0.04% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       38.77% |           0.00% |           0.00% |
| Manaless Dredge                |      0.04% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       37.31% |          22.22% |          22.22% |
| Orzhov Vial                    |      0.04% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       53.00% |          66.67% |          66.67% |
| RUG Midrange-Control           |      0.04% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       50.74% |          25.00% |          25.00% |
| Rakdos Stompy                  |      0.04% |          1 |     249.00 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       43.60% |          30.00% |          30.00% |
| Stryfo Pile                    |      0.04% |          1 |      76.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       40.49% |          28.57% |          28.57% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
