Dimir Tempo -- 13.63% of field, won 52.59% of matches
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Dimir Tempo vs.                | Record  |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
| Death and Taxes (60 Card)      |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Other Non Blue                 |  1-2-0  |  33.33% |            3 |           6.1--79.2% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Bant Control (Non-Yorion)      |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     3-0-0      |       100.00% |                 3 |                 43.9--100.0% |
| Bant Control (Yorion)          |  1-2-0  |  33.33% |            3 |           6.1--79.2% |     3-2-0      |        60.00% |                 5 |                  23.1--88.2% |
| Black Midrange                 |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     2-4-0      |        33.33% |                 6 |                   9.7--70.0% |
| Black Phoenix                  |  0-0-0  |     --- |            0 |                 ---- |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| Burn/Red Prowess               |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     5-1-0      |        83.33% |                 6 |                  43.6--97.0% |
| Esper Vial                     |  1-3-0  |  25.00% |            4 |           4.6--69.9% |     1-5-0      |        16.67% |                 6 |                   3.0--56.4% |
| Grixis Delver                  |  2-1-0  |  66.67% |            3 |          20.8--93.9% |     5-11-0     |        31.25% |                16 |                  14.2--55.6% |
| Maverick                       |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     3-4-0      |        42.86% |                 7 |                  15.8--75.0% |
| Naya Stompy                    |  2-1-0  |  66.67% |            3 |          20.8--93.9% |     5-2-0      |        71.43% |                 7 |                  35.9--91.8% |
| Other Graveyard                |  1-2-0  |  33.33% |            3 |           6.1--79.2% |     3-5-0      |        37.50% |                 8 |                  13.7--69.4% |
| Standstill                     |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| The EPIC Storm                 |  2-2-0  |  50.00% |            4 |          15.0--85.0% |     6-4-0      |        60.00% |                10 |                  31.3--83.2% |
| Thought Lash Combo             |  0-0-0  |     --- |            0 |                 ---- |     0-2-0      |         0.00% |                 2 |                   0.0--65.8% |
| White Stompy                   |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| 4C Non Uro Control (Yorion)    |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| 4C Uro Control (Yorion)        |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| 8Cast                          |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Abzan Depths                   |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| BUG Control                    |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Black Stompy                   |  0-0-0  |     --- |            0 |                 ---- |     2-4-0      |        33.33% |                 6 |                   9.7--70.0% |
| Blue Artifacts                 |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| Enchantress                    |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Madness                        |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Manaless Dredge                |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Orzhov Vial                    |  0-3-0  |   0.00% |            3 |           0.0--56.1% |     0-3-0      |         0.00% |                 3 |                   0.0--56.1% |
| Other Control                  |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     3-2-0      |        60.00% |                 5 |                  23.1--88.2% |
| Other Stompy                   |  0-0-0  |     --- |            0 |                 ---- |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| RUG Delver                     |  0-0-0  |     --- |            0 |                 ---- |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| RUG Midrange-Control           |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
