UB Reanimator -- 11.76% of field, won 52.37% of matches
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| UB Reanimator vs.              | Record  |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
| Death and Taxes (60 Card)      |  0-2-0  |   0.00% |            2 |           0.0--65.8% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Other Non Blue                 |  1-3-0  |  25.00% |            4 |           4.6--69.9% |     1-3-0      |        25.00% |                 4 |                   4.6--69.9% |
| Bant Control (Non-Yorion)      |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     3-3-0      |        50.00% |                 6 |                  18.8--81.2% |
| Bant Control (Yorion)          |  1-3-0  |  25.00% |            4 |           4.6--69.9% |     1-4-0      |        20.00% |                 5 |                   3.6--62.4% |
| Black Midrange                 |  0-0-0  |     --- |            0 |                 ---- |    16-13-0     |        55.17% |                29 |                  37.5--71.6% |
| Black Phoenix                  |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Burn/Red Prowess               |  2-1-0  |  66.67% |            3 |          20.8--93.9% |     11-5-0     |        68.75% |                16 |                  44.4--85.8% |
| Esper Vial                     |  0-0-0  |     --- |            0 |                 ---- |     2-6-1      |        27.78% |                 9 |                   7.1--59.1% |
| Grixis Delver                  |  1-0-0  | 100.00% |            1 |         20.7--100.0% |    26-14-0     |        65.00% |                40 |                  49.5--77.9% |
| Maverick                       |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     8-6-0      |        57.14% |                14 |                  32.6--78.6% |
| Naya Stompy                    |  0-0-0  |     --- |            0 |                 ---- |     3-2-0      |        60.00% |                 5 |                  23.1--88.2% |
| Other Graveyard                |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     6-8-0      |        42.86% |                14 |                  21.4--67.4% |
| Standstill                     |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     8-0-0      |       100.00% |                 8 |                 67.6--100.0% |
