13 events: Legacy Challenge 32 2025-09-03 (2025-09-03), Legacy Challenge 32 2025-09-06 (2025-09-06), Legacy Challenge 32 2025-09-07 - 2 (2025-09-07), Legacy Challenge 32 2025-09-10 (2025-09-10), Legacy Challenge 32 2025-09-12 (2025-09-12), Legacy Challenge 32 2025-09-13 (2025-09-13), Legacy Challenge 32 2025-09-14 - 1 (2025-09-14), Legacy Challenge 32 2025-09-14 - 2 (2025-09-14), Legacy Challenge 32 2025-09-17 (2025-09-17), Legacy Challenge 32 2025-09-19 (2025-09-19), Legacy Challenge 32 2025-09-20 (2025-09-20), Legacy Challenge 32 2025-09-21 - 1 (2025-09-21), Legacy Challenge 32 2025-09-21 - 2 (2025-09-21)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Creative Technique             |  0.33% |     2 |     58.71% |    6 |      6 |     0 | 50.00% |    50.00% | 50.43% |   50.00% |
| Esper Vial                     |  0.33% |     2 |     82.14% |   10 |      4 |     0 | 71.43% |    71.43% | 65.82% |   71.43% |
| Grixis Control                 |  0.33% |     2 |     82.03% |   10 |      4 |     0 | 71.43% |    71.43% | 62.54% |   71.43% |
| Ninjas                         |  0.33% |     2 |     60.24% |    5 |      7 |     0 | 41.67% |    41.67% | 48.06% |   41.67% |
| Other Land Based/Fair GSZ      |  0.33% |     2 |     61.88% |    7 |      5 |     0 | 58.33% |    58.33% | 53.20% |   58.33% |
| The EPIC Storm                 |  0.33% |     2 |     56.98% |    6 |      6 |     0 | 50.00% |    50.00% | 54.02% |   50.00% |
| Abzan Depths                   |  0.16% |     1 |     53.33% |    3 |      3 |     0 | 50.00% |    50.00% | 49.51% |   50.00% |
| Bomberman                      |  0.16% |     1 |     22.22% |    2 |      4 |     0 | 33.33% |    33.33% | 37.87% |   33.33% |
| Death's Shadow                 |  0.16% |     1 |     69.44% |    4 |      2 |     0 | 66.67% |    66.67% | 63.11% |   66.67% |
| Dredge                         |  0.16% |     1 |     14.06% |    0 |      2 |     0 |  0.00% |     0.00% | 47.13% |    0.00% |
| Elves                          |  0.16% |     1 |     13.89% |    1 |      2 |     0 | 33.33% |    33.33% | 46.64% |   33.33% |
| Infect                         |  0.16% |     1 |      0.00% |    0 |      1 |     0 |  0.00% |     0.00% | 47.38% |    0.00% |
| Maverick                       |  0.16% |     1 |      4.55% |    0 |      2 |     0 |  0.00% |     0.00% | 45.25% |    0.00% |
| Naya Stompy                    |  0.16% |     1 |     86.11% |    4 |      3 |     0 | 57.14% |    57.14% | 49.59% |   57.14% |
| Nic Fit                        |  0.16% |     1 |     23.26% |    2 |      4 |     0 | 33.33% |    33.33% | 40.98% |   33.33% |
| Other Tempo                    |  0.16% |     1 |     79.37% |    4 |      2 |     0 | 66.67% |    66.67% | 52.46% |   66.67% |
| Rakdos Reanimator              |  0.16% |     1 |     73.02% |    4 |      2 |     0 | 66.67% |    66.67% | 55.08% |   66.67% |
| Stiflenought                   |  0.16% |     1 |     34.88% |    1 |      4 |     0 | 20.00% |    20.00% | 53.28% |   20.00% |
| Sultai Control                 |  0.16% |     1 |     64.29% |    3 |      3 |     0 | 50.00% |    50.00% | 39.02% |   50.00% |
| Temur Cascade                  |  0.16% |     1 |      4.44% |    0 |      4 |     0 |  0.00% |     0.00% | 42.79% |    0.00% |
| The EPIC Gamble                |  0.16% |     1 |     25.58% |    2 |      4 |     0 | 33.33% |    33.33% | 36.56% |   33.33% |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
