6 events: Legacy Challenge 32 2025-10-01 (2025-10-01), Legacy Challenge 32 2025-10-04 (2025-10-04), Legacy Challenge 32 2025-10-05 - 1 (2025-10-05), Legacy Challenge 32 2025-10-05 - 2 (2025-10-05), Legacy Showcase Challenge 2025-10-05 (2025-10-05), Legacy Challenge 2025-10-08 (2025-10-08)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
| Beanstalk Control (Yorion)      |  0.23% |     1 |     53.92% |    3 |      4 |     0 | 42.86% |    42.86% | 39.10% |   42.86% |
| Black Stompy                    |  0.23% |     1 |     40.91% |    2 |      3 |     0 | 40.00% |    40.00% | 41.65% |   40.00% |
| Bomberman                       |  0.23% |     1 |     84.79% |    6 |      3 |     0 | 66.67% |    66.67% | 51.86% |   66.67% |
| Dredge                          |  0.23% |     1 |     34.10% |    1 |      2 |     0 | 33.33% |    33.33% | 50.35% |   33.33% |
| Esper Vial                      |  0.23% |     1 |     61.75% |    4 |      5 |     0 | 44.44% |    44.44% | 56.26% |   44.44% |
| Goblins (Vial)                  |  0.23% |     1 |     26.27% |    1 |      2 |     0 | 33.33% |    33.33% | 46.98% |   33.33% |
| Golgari Depths                  |  0.23% |     1 |     43.18% |    3 |      3 |     0 | 50.00% |    50.00% | 54.64% |   50.00% |
| Naya Depths                     |  0.23% |     1 |     13.95% |    0 |      2 |     0 |  0.00% |     0.00% | 46.87% |    0.00% |
| Naya Stompy                     |  0.23% |     1 |     34.88% |    2 |      4 |     0 | 33.33% |    33.33% | 38.28% |   33.33% |
| Nic Fit                         |  0.23% |     1 |     41.01% |    2 |      3 |     0 | 40.00% |    40.00% | 39.68% |   40.00% |
| Other Tempo                     |  0.23% |     1 |     47.37% |    3 |      3 |     0 | 50.00% |    50.00% | 45.59% |   50.00% |
| Selesnya Depths                 |  0.23% |     1 |     20.45% |    1 |      2 |     0 | 33.33% |    33.33% | 56.61% |   33.33% |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
