23 events: Legacy Challenge 32 2025-04-02 (2025-04-02), Legacy Last Chance 2025-04-02 - 1 (2025-04-02), Legacy Last Chance 2025-04-02 - 2 (2025-04-02), Legacy Challenge 32 2025-04-04 (2025-04-04), Legacy Challenge 32 2025-04-05 (2025-04-05), Legacy Challenge 32 2025-04-06 - 1 (2025-04-06), Legacy Challenge 32 2025-04-06 - 2 (2025-04-06), Legacy Showcase Qualifier 2025-04-06 (2025-04-06), Legacy Challenge 32 2025-04-09 (2025-04-09), Legacy Challenge 32 2025-04-11 (2025-04-11), Legacy Challenge 32 2025-04-12 (2025-04-12), Legacy Challenge 32 2025-04-13 (2025-04-13), Legacy Challenge 32 2025-04-18 (2025-04-18), Legacy Challenge 32 2025-04-19 (2025-04-19), Legacy Challenge 32 2025-04-20 - 1 (2025-04-20), Legacy Challenge 32 2025-04-20 - 2 (2025-04-20), Legacy Challenge 32 2025-04-23 (2025-04-23), Legacy Challenge 32 2025-04-25 (2025-04-25), Legacy Challenge 32 2025-04-26 (2025-04-26), Buffalo Chicken Dip Legacy 21 (2025-04-26), Legacy Challenge 32 2025-04-27 - 1 (2025-04-27), Legacy Challenge 32 2025-04-27 - 2 (2025-04-27), Legacy Challenge 32 2025-04-30 (2025-04-30)
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               | % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Nic Fit                         | 0.50% |     5 |     31.75% |    9 |     14 |     0 | 39.13% |    39.13% | 39.96% |   39.13% |
| Saga Storm                      | 0.50% |     5 |     45.33% |   11 |     13 |     0 | 45.83% |    45.83% | 45.50% |   45.83% |
| 8Cast                           | 0.40% |     4 |     45.53% |   10 |     11 |     0 | 47.62% |    47.62% | 42.74% |   47.62% |
| ANT                             | 0.40% |     4 |     56.92% |   12 |     10 |     0 | 54.55% |    54.55% | 51.44% |   54.55% |
| Bomberman                       | 0.40% |     4 |     35.13% |    7 |     13 |     0 | 35.00% |    35.00% | 41.09% |   35.00% |
| Chain of Smog Combo             | 0.40% |     4 |     27.49% |    6 |     11 |     0 | 35.29% |    35.29% | 42.61% |   35.29% |
| Dredge                          | 0.40% |     4 |     17.86% |    3 |     13 |     0 | 18.75% |    18.75% | 40.20% |   18.75% |
| Esper Vial                      | 0.40% |     4 |     27.56% |    2 |      6 |     0 | 25.00% |    25.00% | 47.67% |   25.00% |
| Mono Green Cloudpost            | 0.40% |     4 |     59.53% |   12 |      8 |     0 | 60.00% |    60.00% | 56.25% |   60.00% |
| Other Permanent Combo           | 0.40% |     4 |     70.06% |   15 |     12 |     0 | 55.56% |    55.56% | 51.82% |   55.56% |
| Other Stompy                    | 0.40% |     4 |     38.05% |    8 |     15 |     0 | 34.78% |    34.78% | 48.80% |   34.78% |
| Rakdos Reanimator               | 0.40% |     4 |     25.69% |    4 |     13 |     0 | 23.53% |    23.53% | 43.61% |   23.53% |
| The EPIC Gamble                 | 0.40% |     4 |     46.87% |   14 |     11 |     0 | 56.00% |    56.00% | 57.43% |   56.00% |
| The EPIC Storm                  | 0.40% |     4 |     44.82% |   10 |     12 |     0 | 45.45% |    45.45% | 52.28% |   45.45% |
| White Stompy                    | 0.40% |     4 |     33.20% |    8 |     11 |     0 | 42.11% |    42.11% | 38.27% |   42.11% |
| 4C Non Uro Control (Non-Yorion) | 0.30% |     3 |     66.04% |    9 |      7 |     0 | 56.25% |    56.25% | 52.97% |   56.25% |
| Boros Energy                    | 0.30% |     3 |     49.30% |   10 |      8 |     0 | 55.56% |    55.56% | 52.66% |   55.56% |
| Creative Technique              | 0.30% |     3 |     40.07% |    7 |     11 |     0 | 38.89% |    38.89% | 38.66% |   38.89% |
| Death's Shadow                  | 0.30% |     3 |     25.58% |    3 |      8 |     0 | 27.27% |    27.27% | 42.87% |   27.27% |
