22 events: Legacy Challenge 32 2025-07-02 (2025-07-02), Legacy Challenge 32 2025-07-04 (2025-07-04), Legacy Challenge 32 2025-07-05 (2025-07-05), Legacy Challenge 32 2025-07-06 - 1 (2025-07-06), Legacy Showcase Challenge 2025-07-06 (2025-07-06), Legacy Challenge 32 2025-07-09 (2025-07-09), Legacy Challenge 32 2025-07-11 (2025-07-11), Legacy Challenge 32 2025-07-12 (2025-07-12), Legacy Challenge 32 2025-07-13 - 1 (2025-07-13), Legacy Challenge 32 2025-07-13 - 2 (2025-07-13), Legacy Challenge 32 2025-07-16 (2025-07-16), Legacy Challenge 32 2025-07-18 (2025-07-18), Legacy Challenge 32 2025-07-19 (2025-07-19), Oklahoma Land Run '25 Legacy Open (2025-07-19), Legacy Challenge 32 2025-07-20 - 1 (2025-07-20), Legacy Challenge 32 2025-07-20 - 2 (2025-07-20), Legacy Challenge 32 2025-07-23 (2025-07-23), Legacy Challenge 32 2025-07-25 (2025-07-25), Legacy Challenge 32 2025-07-26 (2025-07-26), Legacy Challenge 32 2025-07-27 - 1 (2025-07-27), Legacy Challenge 32 2025-07-27 - 2 (2025-07-27), Legacy Challenge 32 2025-07-30 (2025-07-30)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Unknown Deck                   |  0.44% |     6 |     10.58% |    0 |      6 |     0 |  0.00% |     0.00% | 31.55% |    0.00% |
| White Stompy                   |  0.44% |     6 |     48.87% |   16 |     20 |     0 | 44.44% |    44.44% | 46.40% |   44.44% |
| Blue Artifacts                 |  0.37% |     5 |     48.67% |   13 |     13 |     0 | 50.00% |    50.00% | 51.89% |   50.00% |
| Chain of Smog Combo            |  0.37% |     5 |     43.30% |   12 |      9 |     0 | 57.14% |    57.14% | 42.94% |   57.14% |
| Goblins (Vial)                 |  0.37% |     5 |     18.20% |    4 |     14 |     0 | 22.22% |    22.22% | 34.44% |   22.22% |
| Mono Green Cloudpost           |  0.37% |     5 |     48.92% |   14 |     14 |     0 | 50.00% |    50.00% | 48.32% |   50.00% |
| Natural Order                  |  0.37% |     5 |     60.03% |   19 |     15 |     0 | 55.88% |    55.88% | 62.49% |   55.88% |
| Dredge                         |  0.29% |     4 |     44.79% |   13 |     12 |     0 | 52.00% |    52.00% | 55.19% |   52.00% |
| Golgari Depths                 |  0.29% |     4 |     41.83% |    8 |     12 |     0 | 40.00% |    40.00% | 39.65% |   40.00% |
| The EPIC Storm                 |  0.29% |     4 |     39.84% |   10 |     15 |     0 | 40.00% |    40.00% | 39.68% |   40.00% |
| 8Cast                          |  0.22% |     3 |     32.81% |    3 |      7 |     0 | 30.00% |    30.00% | 34.28% |   30.00% |
| Necrodominance Combo           |  0.22% |     3 |     34.37% |    7 |     11 |     0 | 38.89% |    38.89% | 34.28% |   38.89% |
| Ninjas                         |  0.22% |     3 |     55.45% |    8 |      9 |     0 | 47.06% |    47.06% | 45.07% |   47.06% |
| Abzan Depths                   |  0.15% |     2 |     51.50% |    6 |      9 |     0 | 40.00% |    40.00% | 45.41% |   40.00% |
