19 events: Legacy Challenge 32 2025-05-02 (2025-05-02), Legacy Challenge 32 2025-05-03 (2025-05-03), Bazaar of Boxes Series 15 (2025-05-03), Legacy Challenge 32 2025-05-04 - 1 (2025-05-04), Legacy Challenge 32 2025-05-04 - 2 (2025-05-04), Legacy Challenge 32 2025-05-07 (2025-05-07), Legacy Challenge 32 2025-05-09 (2025-05-09), Legacy Challenge 32 2025-05-10 (2025-05-10), Legacy Challenge 32 2025-05-11 - 1 (2025-05-11), Legacy Challenge 32 2025-05-11 - 2 (2025-05-11), Legacy Challenge 32 2025-05-14 (2025-05-14), Legacy Challenge 32 2025-05-16 (2025-05-16), Legacy Challenge 32 2025-05-17 (2025-05-17), Legacy Challenge 32 2025-05-18 - 1 (2025-05-18), Legacy Challenge 32 2025-05-18 - 2 (2025-05-18), Legacy Challenge 32 2025-05-21 (2025-05-21), Legacy Challenge 32 2025-05-23 (2025-05-23), Legacy Challenge 32 2025-05-24 (2025-05-24), Legacy Challenge 32 2025-05-25 - 1 (2025-05-25)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Jeskai Tempo                   |  0.44% |     4 |     64.61% |   14 |     10 |     0 | 58.33% |    58.33% | 52.51% |   58.33% |
| Maverick                       |  0.44% |     4 |     49.65% |    9 |     10 |     0 | 47.37% |    47.37% | 49.34% |   47.37% |
| Abzan Depths                   |  0.33% |     3 |     10.19% |    2 |      6 |     0 | 25.00% |    25.00% | 38.27% |   25.00% |
| Bant Control (Yorion)          |  0.33% |     3 |     50.10% |    7 |      8 |     0 | 46.67% |    46.67% | 52.41% |   46.67% |
| Death's Shadow                 |  0.33% |     3 |     14.44% |    1 |      6 |     0 | 14.29% |    14.29% | 44.96% |   14.29% |
| Eldrazi                        |  0.33% |     3 |     41.32% |    8 |     12 |     0 | 40.00% |    40.00% | 44.16% |   40.00% |
| Nic Fit                        |  0.33% |     3 |     28.95% |    6 |     10 |     0 | 37.50% |    37.50% | 40.95% |   37.50% |
| Other Control                  |  0.33% |     3 |     75.45% |   15 |      7 |     0 | 68.18% |    68.18% | 59.48% |   68.18% |
| Selesnya Depths                |  0.33% |     3 |     49.94% |    8 |      8 |     0 | 50.00% |    50.00% | 53.56% |   50.00% |
| Beanstalk Control (Yorion)     |  0.22% |     2 |     57.90% |    6 |      6 |     0 | 50.00% |    50.00% | 55.54% |   50.00% |
| Burn/Red Prowess               |  0.22% |     2 |     31.91% |    3 |      6 |     0 | 33.33% |    33.33% | 43.97% |   33.33% |
| Chain of Smog Combo            |  0.22% |     2 |     12.85% |    0 |      3 |     0 |  0.00% |     0.00% | 44.41% |    0.00% |
| Death and Taxes - RW (Yorion)  |  0.22% |     2 |     53.56% |    5 |      7 |     0 | 41.67% |    41.67% | 52.96% |   41.67% |
| Nadu Cradle Combo              |  0.22% |     2 |     30.85% |    4 |      7 |     0 | 36.36% |    36.36% | 48.41% |   36.36% |
| Ninjas                         |  0.22% |     2 |     53.29% |    6 |      6 |     0 | 50.00% |    50.00% | 55.43% |   50.00% |
| Other Land Based/Fair GSZ      |  0.22% |     2 |     43.69% |    5 |      7 |     0 | 41.67% |    41.67% | 42.12% |   41.67% |
