|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Beanstalk Control (Yorion)      |  0.42% |     9 |     38.49% |   19 |     31 |     0 | 38.00% |    38.00% | 38.04% |   38.00% |
| Nadu Cradle Combo               |  0.42% |     9 |     52.69% |   28 |     27 |     0 | 50.91% |    50.91% | 47.50% |   50.91% |
| Naya Stompy                     |  0.42% |     9 |     51.64% |   22 |     23 |     0 | 48.89% |    48.89% | 45.89% |   48.89% |
| Unknown Deck                    |  0.42% |     9 |     36.43% |   14 |     17 |     0 | 45.16% |    45.16% | 43.94% |   45.16% |
| Black Stompy                    |  0.38% |     8 |     23.90% |    7 |     23 |     0 | 23.33% |    23.33% | 29.94% |   23.33% |
| Boros Stompy                    |  0.38% |     8 |     54.23% |   27 |     22 |     0 | 55.10% |    55.32% | 51.85% |   55.10% |
| Esper Control                   |  0.38% |     8 |     42.79% |   20 |     23 |     0 | 46.51% |    46.51% | 50.22% |   46.51% |
| Goblins (Vial)                  |  0.38% |     8 |     20.09% |    7 |     21 |     0 | 25.00% |    25.00% | 30.89% |   25.00% |
| Dredge                          |  0.33% |     7 |     58.79% |   24 |     22 |     0 | 52.17% |    52.17% | 55.84% |   52.17% |
| White Stompy                    |  0.33% |     7 |     43.14% |   17 |     20 |     0 | 45.95% |    45.95% | 44.52% |   45.95% |
| Blue Painter                    |  0.28% |     6 |     34.96% |   11 |     16 |     0 | 40.74% |    40.74% | 42.99% |   40.74% |
| Esper Vial                      |  0.28% |     6 |     27.59% |    9 |     14 |     0 | 39.13% |    39.13% | 43.56% |   39.13% |
| Mardu Energy                    |  0.28% |     6 |     48.22% |   15 |     13 |     0 | 53.57% |    53.57% | 52.10% |   53.57% |
| Maverick                        |  0.28% |     6 |     33.61% |   12 |     19 |     0 | 38.71% |    38.71% | 52.94% |   38.71% |
| Ninjas                          |  0.28% |     6 |     49.89% |   17 |     19 |     0 | 47.22% |    47.22% | 53.10% |   47.22% |
| Other Stompy                    |  0.23% |     5 |     59.45% |   19 |     15 |     0 | 55.88% |    55.88% | 49.19% |   55.88% |
| Sultai Tempo                    |  0.23% |     5 |     50.70% |   13 |     15 |     0 | 46.43% |    46.43% | 48.88% |   46.43% |
| Worldgorger                     |  0.23% |     5 |     44.26% |   11 |     18 |     0 | 37.93% |    37.93% | 38.76% |   37.93% |
| Gruul Stompy                    |  0.19% |     4 |     30.25% |    6 |      9 |     0 | 40.00% |    40.00% | 38.39% |   40.00% |
| Other Permanent Combo           |  0.19% |     4 |     68.30% |   18 |     10 |     0 | 64.29% |    64.29% | 60.66% |   64.29% |
| Temur Cascade                   |  0.19% |     4 |     40.10% |    9 |     12 |     0 | 42.86% |    42.86% | 45.29% |   42.86% |
| The EPIC Storm                  |  0.19% |     4 |     65.65% |   15 |     13 |     0 | 53.57% |    53.57% | 42.69% |   53.57% |
