21 events: Legacy Challenge 32 2025-06-01 - 1 (2025-06-01), Legacy Challenge 32 2025-06-01 - 2 (2025-06-01), Legacy Challenge 32 2025-06-06 (2025-06-06), Legacy Challenge 32 2025-06-07 (2025-06-07), Legacy Challenge 32 2025-06-08 - 1 (2025-06-08), Legacy Showcase Challenge 2025-06-08 (2025-06-08), Legacy Challenge 32 2025-06-11 (2025-06-11), Legacy Challenge 32 2025-06-13 (2025-06-13), Legacy Challenge 32 2025-06-14 (2025-06-14), Legacy Challenge 32 2025-06-15 - 1 (2025-06-15), Legacy Challenge 32 2025-06-15 - 2 (2025-06-15), Legacy Challenge 32 2025-06-20 (2025-06-20), Legacy RC Qualifier 2025-06-20 (2025-06-20), Legacy Challenge 32 2025-06-21 (2025-06-21), Legacy Challenge 32 2025-06-22 - 1 (2025-06-22), Legacy Challenge 32 2025-06-22 - 2 (2025-06-22), Legacy Challenge 32 2025-06-27 (2025-06-27), Legacy Challenge 32 2025-06-28 (2025-06-28), Buffalo Chicken Dip Legacy 22 (2025-06-28), Legacy Challenge 32 2025-06-29 - 1 (2025-06-29), Legacy Challenge 32 2025-06-29 - 2 (2025-06-29)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Black Midrange                  |  0.40% |     5 |     35.76% |    8 |     13 |     0 | 38.10% |    38.10% | 36.73% |   38.10% |
| Mono Green Cloudpost            |  0.40% |     5 |     59.65% |   17 |     15 |     0 | 53.12% |    53.12% | 48.00% |   53.12% |
| Nadu Cradle Combo               |  0.40% |     5 |     49.53% |   14 |     15 |     0 | 48.28% |    48.28% | 35.61% |   48.28% |
| 8Cast                           |  0.32% |     4 |     25.27% |    4 |      9 |     0 | 30.77% |    30.77% | 45.32% |   30.77% |
| Black Stompy                    |  0.32% |     4 |     31.78% |    8 |     14 |     0 | 36.36% |    36.36% | 46.73% |   36.36% |
| Goblins (Vial)                  |  0.32% |     4 |     15.26% |    2 |      8 |     0 | 20.00% |    20.00% | 38.48% |   20.00% |
| Maverick                        |  0.32% |     4 |     29.21% |    5 |     11 |     0 | 31.25% |    31.25% | 36.32% |   31.25% |
| Other Tempo                     |  0.32% |     4 |     51.83% |   10 |     12 |     0 | 45.45% |    45.45% | 54.18% |   45.45% |
| 4C Non Uro Control (Non-Yorion) |  0.24% |     3 |     46.43% |    8 |     11 |     0 | 42.11% |    42.11% | 40.06% |   42.11% |
| Abzan Depths                    |  0.24% |     3 |     63.48% |    9 |      8 |     0 | 52.94% |    52.94% | 57.15% |   52.94% |
| Boros Energy                    |  0.24% |     3 |     47.41% |    8 |      8 |     0 | 50.00% |    50.00% | 57.64% |   50.00% |
| Burn/Red Prowess                |  0.24% |     3 |     44.51% |    8 |      9 |     0 | 47.06% |    47.06% | 40.62% |   47.06% |
| Death and Taxes (60 Card)       |  0.24% |     3 |     41.33% |    6 |      8 |     0 | 42.86% |    42.86% | 42.72% |   42.86% |
| Infect                          |  0.24% |     3 |     26.25% |    3 |      7 |     0 | 30.00% |    30.00% | 34.16% |   30.00% |
| Other Permanent Combo           |  0.24% |     3 |     52.50% |   10 |      9 |     0 | 52.63% |    52.63% | 46.73% |   52.63% |
| Riddlesmith Combo               |  0.24% |     3 |     49.78% |   10 |     10 |     0 | 50.00% |    50.00% | 50.36% |   50.00% |
| Stoneblade                      |  0.24% |     3 |     71.28% |   13 |     12 |     0 | 52.00% |    52.00% | 57.62% |   52.00% |
| Bant Control (Yorion)           |  0.16% |     2 |     37.53% |    3 |      5 |     0 | 37.50% |    37.50% | 44.34% |   37.50% |
| Black Phoenix                   |  0.16% |     2 |     37.70% |    4 |      5 |     0 | 44.44% |    44.44% | 43.29% |   44.44% |
| Boros Stompy                    |  0.16% |     2 |     48.34% |    5 |      5 |     0 | 50.00% |    50.00% | 47.25% |   50.00% |
| Coveted Jewel Combo             |  0.16% |     2 |     71.25% |    8 |      7 |     0 | 53.33% |    53.33% | 53.35% |   53.33% |
