Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Selesnya Depths                |      0.57% |          2 |     199.50 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       43.42% |          54.55% |          38.70% |
| 4C Non Uro Control (Yorion)    |      0.28% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       35.90% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.28% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       54.56% |          44.44% |          44.44% |
| Abzan Depths                   |      0.28% |          1 |     212.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       39.74% |          16.67% |          25.00% |
| Bant Control (Yorion)          |      0.28% |          1 |      47.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       54.59% |          66.67% |          69.63% |
| Death and Taxes (60 Card)      |      0.28% |          1 |     332.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       48.48% |           0.00% |           0.00% |
| Esper Vial                     |      0.28% |          1 |      27.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       63.06% |          77.78% |          72.22% |
| Goblins (Vial)                 |      0.28% |          1 |     322.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       30.98% |           0.00% |          12.12% |
| Grixis Control                 |      0.28% |          1 |     121.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       43.93% |          57.14% |          50.00% |
| Grixis Delver                  |      0.28% |          1 |      15.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       50.72% |          77.78% |          61.65% |
| Madness                        |      0.28% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.03% |           0.00% |           0.00% |
| Manaless Dredge                |      0.28% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       32.62% |          22.22% |          22.22% |
| Naya Stompy                    |      0.28% |          1 |     164.00 |    3 |      6 |     0 | 33.33% |                    12.06% |                    64.58% |       32.75% |          33.33% |          41.35% |
| Other Stompy                   |      0.28% |          1 |     189.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       32.20% |          50.00% |          41.67% |
| RUG Delver                     |      0.28% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       53.13% |          50.00% |          50.00% |
| Standstill                     |      0.28% |          1 |     285.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       57.26% |           0.00% |           0.00% |
| Stoneblade                     |      0.28% |          1 |      65.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       52.48% |          66.67% |          65.07% |
| The EPIC Storm                 |      0.28% |          1 |     103.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       41.86% |          55.56% |          47.00% |
| White Stompy                   |      0.28% |          1 |     156.00 |    3 |      6 |     0 | 33.33% |                    12.06% |                    64.58% |       34.95% |          33.33% |          40.74% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
