Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-23 (2024-10-23)
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                  | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator         |     18.87% |         10 |      32.80 |   20 |     28 |     0 | 41.67% |                    28.85% |                    55.72% |       55.70% |          40.48% |          54.19% |
| Red Stompy            |     13.21% |          7 |      18.86 |   25 |     21 |     0 | 54.35% |                    40.18% |                    67.85% |       51.01% |          54.55% |          49.22% |
| Eldrazi               |      9.43% |          5 |      29.60 |   13 |     13 |     0 | 50.00% |                    32.06% |                    67.94% |       52.69% |          50.00% |          48.70% |
| Dimir Tempo           |      7.55% |          4 |      16.25 |   18 |      9 |     0 | 66.67% |                    47.82% |                    81.36% |       58.87% |          66.67% |          59.65% |
| Doomsday              |      3.77% |          2 |      39.50 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       57.76% |          37.50% |          41.40% |
| Mystic Forge Combo    |      3.77% |          2 |      28.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       53.83% |          57.14% |          57.67% |
| The EPIC Storm        |      3.77% |          2 |      31.00 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       42.14% |          50.00% |          46.21% |
| Blue Painter          |      1.89% |          1 |      31.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       52.83% |          50.00% |          50.00% |
| Burn/Red Prowess      |      1.89% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       38.85% |          66.67% |          44.65% |
| Creative Technique    |      1.89% |          1 |      47.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       36.79% |           0.00% |          53.57% |
| Dredge                |      1.89% |          1 |      33.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       46.92% |          20.00% |          41.43% |
| Golgari Depths        |      1.89% |          1 |      34.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       39.25% |          33.33% |          32.22% |
| Jeskai Control        |      1.89% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.27% |          50.00% |          56.83% |
| Lands                 |      1.89% |          1 |       7.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       50.29% |          71.43% |          66.42% |
| Mono Black Reanimator |      1.89% |          1 |      37.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.10% |          33.33% |          47.42% |
| Nadu Combo            |      1.89% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       50.79% |          66.67% |          54.02% |
| Naya Stompy           |      1.89% |          1 |      49.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       34.47% |           0.00% |          13.33% |
| Necrodominance Combo  |      1.89% |          1 |      42.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.41% |           0.00% |           0.00% |
| Omni-Tell             |      1.89% |          1 |       8.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       34.30% |          57.14% |          53.03% |
| Oops All Spells       |      1.89% |          1 |       5.00 |    6 |      1 |     0 | 85.71% |                    48.69% |                    97.43% |       51.83% |          85.71% |          51.11% |
| Other Graveyard       |      1.89% |          1 |      22.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.45% |          50.00% |          41.20% |
| Other Tempo           |      1.89% |          1 |       6.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       52.75% |          71.43% |          40.48% |
| Red Painter           |      1.89% |          1 |      38.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       49.29% |          40.00% |          67.10% |
| Ruby Storm            |      1.89% |          1 |      29.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       47.50% |          50.00% |          48.21% |
| Sneak and Show        |      1.89% |          1 |      26.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       49.25% |          50.00% |          56.77% |
| Stiflenought          |      1.89% |          1 |      44.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       46.59% |          16.67% |          44.75% |
| Stoneblade            |      1.89% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       52.81% |          66.67% |          51.96% |
| Unknown Deck          |      1.89% |          1 |      53.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       28.43% |           0.00% |           0.00% |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
