Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-26 (2024-10-26)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     15.56% |          7 |      22.71 |   18 |     21 |     0 | 46.15% |                    31.57% |                    61.43% |       53.34% |          45.71% |          53.16% |
| Dimir Tempo                    |     13.33% |          6 |      17.00 |   21 |     15 |     0 | 58.33% |                    42.20% |                    72.86% |       55.93% |          59.38% |          58.95% |
| Red Stompy                     |     13.33% |          6 |      20.67 |   16 |     16 |     0 | 50.00% |                    33.63% |                    66.37% |       51.54% |          50.00% |          46.64% |
| Eldrazi                        |     11.11% |          5 |      21.00 |   15 |     11 |     0 | 57.69% |                    38.95% |                    74.46% |       52.12% |          58.33% |          52.01% |
| Nadu Combo                     |      6.67% |          3 |      35.67 |    4 |      9 |     0 | 30.77% |                    12.68% |                    57.63% |       49.93% |          27.27% |          37.23% |
| Death and Taxes (Yorion)       |      4.44% |          2 |      28.00 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       48.40% |          36.36% |          45.93% |
| Doomsday                       |      4.44% |          2 |      20.50 |    8 |      3 |     0 | 72.73% |                    43.44% |                    90.25% |       57.21% |          72.73% |          51.67% |
| ANT                            |      2.22% |          1 |      14.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       47.99% |          66.67% |          58.76% |
| BR Reanimator                  |      2.22% |          1 |       4.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       45.60% |          75.00% |          56.95% |
| Beanstalk Control (Non-Yorion) |      2.22% |          1 |      34.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       41.97% |          33.33% |          46.34% |
| Cephalid Breakfast             |      2.22% |          1 |       7.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       46.54% |          57.14% |          45.45% |
| Creative Technique             |      2.22% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       42.06% |          66.67% |          52.38% |
| Golgari Depths                 |      2.22% |          1 |      44.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       37.50% |           0.00% |          22.22% |
| Jeskai Control                 |      2.22% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.51% |          50.00% |          53.64% |
| Merfolk                        |      2.22% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       40.70% |          77.78% |          46.11% |
| Mono Black Reanimator          |      2.22% |          1 |      41.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       34.18% |          16.67% |          26.11% |
| Mystic Forge Combo             |      2.22% |          1 |      31.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       54.07% |          33.33% |          67.40% |
| Omni-Tell                      |      2.22% |          1 |      30.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       34.92% |          33.33% |          46.00% |
| Other Tempo                    |      2.22% |          1 |      35.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       46.12% |          33.33% |          50.34% |
| Sneak and Show                 |      2.22% |          1 |      28.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       47.72% |          50.00% |          48.49% |
| The EPIC Storm                 |      2.22% |          1 |      40.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       37.15% |          20.00% |          29.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
