Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-11-16 (2024-11-16)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     18.33% |         11 |      29.36 |   30 |     26 |     0 | 53.57% |                    40.70% |                    65.98% |       52.35% |          54.17% |          51.55% |
| Eldrazi                        |      8.33% |          5 |      33.20 |   16 |     12 |     0 | 57.14% |                    39.07% |                    73.49% |       49.30% |          57.14% |          50.44% |
| Sneak and Show                 |      8.33% |          5 |      33.20 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       48.15% |          42.86% |          43.23% |
| Mystic Forge Combo             |      6.67% |          4 |      37.75 |    7 |     12 |     0 | 36.84% |                    19.15% |                    58.96% |       49.63% |          36.84% |          47.19% |
| Oops All Spells                |      6.67% |          4 |      37.75 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       53.67% |          44.44% |          52.79% |
| Red Painter                    |      6.67% |          4 |      23.50 |   14 |     12 |     0 | 53.85% |                    35.46% |                    71.24% |       52.81% |          53.85% |          50.49% |
| Death and Taxes (Yorion)       |      5.00% |          3 |      34.33 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       40.40% |          42.86% |          36.07% |
| Doomsday                       |      5.00% |          3 |      31.67 |    8 |      7 |     0 | 53.33% |                    30.12% |                    75.19% |       56.99% |          53.33% |          50.44% |
| Nadu Combo                     |      5.00% |          3 |      34.33 |    6 |     10 |     0 | 37.50% |                    18.48% |                    61.36% |       52.30% |          37.50% |          57.09% |
| UB Reanimator                  |      5.00% |          3 |      18.67 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       51.05% |          55.56% |          49.34% |
| ANT                            |      1.67% |          1 |      31.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.35% |          50.00% |          52.49% |
| BR Reanimator                  |      1.67% |          1 |      27.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       41.90% |          50.00% |          45.21% |
| Beanstalk Control (Non-Yorion) |      1.67% |          1 |      51.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.86% |           0.00% |          25.00% |
| Cephalid Breakfast             |      1.67% |          1 |      16.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       52.10% |          66.67% |          65.78% |
| Cradle Control                 |      1.67% |          1 |      45.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       38.59% |          25.00% |          24.64% |
| Dredge                         |      1.67% |          1 |       3.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       52.93% |          75.00% |          60.02% |
| Elves                          |      1.67% |          1 |       6.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       57.97% |          71.43% |          55.05% |
| Esper Vial                     |      1.67% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       62.78% |          66.67% |          58.33% |
| Goblins (Vial)                 |      1.67% |          1 |      36.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       35.54% |          40.00% |          52.67% |
| Grixis Control                 |      1.67% |          1 |      57.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       43.23% |           0.00% |          20.83% |
| Maverick                       |      1.67% |          1 |       8.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       46.74% |          42.86% |          54.59% |
| Merfolk                        |      1.67% |          1 |      39.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.85% |          33.33% |          25.42% |
| Other Graveyard                |      1.67% |          1 |      20.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       56.36% |          66.67% |          55.98% |
| Red Stompy                     |      1.67% |          1 |      59.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       48.36% |           0.00% |          67.77% |
| Ruby Storm                     |      1.67% |          1 |      14.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       48.28% |          66.67% |          69.84% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
