Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30)
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                  | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy            |     18.18% |          8 |      21.50 |   25 |     19 |     0 | 56.82% |                    42.22% |                    70.32% |       56.04% |          57.89% |          52.81% |
| UB Reanimator         |     13.64% |          6 |      20.17 |   19 |     18 |     0 | 51.35% |                    35.89% |                    66.55% |       55.22% |          51.61% |          51.88% |
| Dimir Tempo           |      9.09% |          4 |      19.50 |   12 |     11 |     0 | 52.17% |                    32.96% |                    70.76% |       56.32% |          52.38% |          58.53% |
| Eldrazi               |      9.09% |          4 |      19.50 |   13 |     10 |     0 | 56.52% |                    36.81% |                    74.37% |       55.29% |          57.14% |          54.32% |
| Nadu Combo            |      6.82% |          3 |      17.67 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       53.89% |          55.56% |          53.06% |
| Stiflenought          |      4.55% |          2 |      23.50 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       52.42% |          45.45% |          55.37% |
| Unknown Deck          |      4.55% |          2 |      43.50 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       21.06% |           0.00% |          13.33% |
| Black Midrange        |      2.27% |          1 |      28.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       47.33% |          33.33% |          50.11% |
| Cephalid Breakfast    |      2.27% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       41.67% |          66.67% |          55.46% |
| Doomsday              |      2.27% |          1 |       5.00 |    6 |      1 |     0 | 85.71% |                    48.69% |                    97.43% |       54.11% |          85.71% |          52.48% |
| Dredge                |      2.27% |          1 |      38.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       46.59% |          16.67% |          29.05% |
| Elves                 |      2.27% |          1 |      19.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       51.78% |          50.00% |          60.29% |
| Lands                 |      2.27% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.62% |          50.00% |          49.74% |
| Mono Black Reanimator |      2.27% |          1 |      22.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       39.42% |          50.00% |          46.87% |
| Naya Stompy           |      2.27% |          1 |      35.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       33.28% |          20.00% |          26.93% |
| Ninjas                |      2.27% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       47.20% |          66.67% |          45.37% |
| Omni-Tell             |      2.27% |          1 |      30.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       36.00% |          33.33% |          23.78% |
| Other Aggro           |      2.27% |          1 |      36.00 |    0 |      6 |     0 |  0.00% |                     0.00% |                    39.03% |       33.46% |           0.00% |          12.22% |
| Other Graveyard       |      2.27% |          1 |      11.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       57.82% |          66.67% |          67.76% |
| Other Permanent Combo |      2.27% |          1 |      29.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.63% |          33.33% |          28.12% |
| Other Stompy          |      2.27% |          1 |      40.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       35.00% |           0.00% |          40.00% |
| Red Painter           |      2.27% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       52.77% |          50.00% |          53.85% |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
