Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-11-01 (2024-11-01)
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                  | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy            |     16.33% |          8 |      21.38 |   23 |     22 |     0 | 51.11% |                    37.00% |                    65.04% |       53.18% |          51.22% |          54.62% |
| UB Reanimator         |     12.24% |          6 |      22.67 |   18 |     14 |     0 | 56.25% |                    39.33% |                    71.83% |       55.39% |          57.14% |          57.01% |
| Dimir Tempo           |      8.16% |          4 |      21.00 |   14 |      9 |     0 | 60.87% |                    40.79% |                    77.84% |       56.64% |          60.87% |          57.38% |
| Doomsday              |      6.12% |          3 |      43.00 |    0 |      6 |     0 |  0.00% |                     0.00% |                    39.03% |       54.79% |           0.00% |          44.57% |
| Eldrazi               |      6.12% |          3 |      29.00 |    5 |     10 |     0 | 33.33% |                    15.18% |                    58.29% |       51.76% |          33.33% |          53.48% |
| Other Aggro           |      6.12% |          3 |      36.00 |    5 |     11 |     0 | 31.25% |                    14.16% |                    55.60% |       40.73% |          28.57% |          37.90% |
| BR Reanimator         |      4.08% |          2 |      10.00 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       45.69% |          61.54% |          48.07% |
| Golgari Depths        |      4.08% |          2 |      23.00 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       46.24% |          50.00% |          49.27% |
| Nadu Combo            |      4.08% |          2 |       1.50 |   16 |      2 |     0 | 88.89% |                    67.20% |                    96.90% |       54.71% |          93.75% |          53.09% |
| Stoneblade            |      4.08% |          2 |      36.50 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       50.63% |          37.50% |          41.67% |
| ANT                   |      2.04% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       51.31% |          50.00% |          51.03% |
| Black Midrange        |      2.04% |          1 |      22.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.86% |          50.00% |          54.91% |
| Cradle Control        |      2.04% |          1 |      17.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       46.89% |          50.00% |          55.30% |
| Dimir Delver          |      2.04% |          1 |      27.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       49.32% |          50.00% |          38.89% |
| Dredge                |      2.04% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       46.36% |          66.67% |          36.11% |
| Goblins (Vial)        |      2.04% |          1 |      39.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       27.92% |           0.00% |           0.00% |
| Mono Black Reanimator |      2.04% |          1 |      25.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       37.44% |          50.00% |          43.17% |
| Mystic Forge Combo    |      2.04% |          1 |      37.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       59.45% |          33.33% |          50.70% |
| Naya Stompy           |      2.04% |          1 |      32.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       37.23% |          33.33% |          46.43% |
| Omni-Tell             |      2.04% |          1 |      47.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       37.42% |           0.00% |          21.33% |
| Other Control         |      2.04% |          1 |      30.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       40.00% |          33.33% |          35.56% |
| Red Painter           |      2.04% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       49.69% |          50.00% |          53.39% |
| Ruby Storm            |      2.04% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       49.56% |          66.67% |          60.12% |
| The EPIC Storm        |      2.04% |          1 |      29.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       42.57% |          33.33% |          45.56% |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
