Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-19 (2024-10-19)
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                  | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator         |     22.45% |         11 |      24.45 |   30 |     34 |     0 | 46.88% |                    35.18% |                    58.93% |       53.63% |          46.30% |          53.34% |
| Red Stompy            |     18.37% |          9 |      21.22 |   28 |     23 |     0 | 54.90% |                    41.38% |                    67.73% |       50.28% |          55.56% |          49.01% |
| Eldrazi               |     10.20% |          5 |      29.60 |   12 |     16 |     0 | 42.86% |                    26.51% |                    60.93% |       47.06% |          42.86% |          44.92% |
| BR Reanimator         |      4.08% |          2 |      17.00 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       44.53% |          61.54% |          45.08% |
| Cradle Control        |      4.08% |          2 |      39.00 |    3 |      8 |     0 | 27.27% |                     9.75% |                    56.56% |       42.56% |          27.27% |          43.02% |
| Dimir Tempo           |      4.08% |          2 |      10.00 |    9 |      5 |     0 | 64.29% |                    38.76% |                    83.66% |       56.10% |          64.29% |          54.58% |
| Doomsday              |      4.08% |          2 |      29.50 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       58.59% |          50.00% |          61.31% |
| Nadu Combo            |      4.08% |          2 |      28.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       52.38% |          50.00% |          53.79% |
| Red Painter           |      4.08% |          2 |      21.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       51.02% |          50.00% |          43.78% |
| ANT                   |      2.04% |          1 |      22.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.65% |          50.00% |          65.87% |
| Cephalid Breakfast    |      2.04% |          1 |      24.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       44.91% |          40.00% |          52.63% |
| Lands                 |      2.04% |          1 |      26.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       43.76% |          50.00% |          60.42% |
| Mono Black Reanimator |      2.04% |          1 |      40.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       34.46% |          33.33% |          22.62% |
| Mono Green Cloudpost  |      2.04% |          1 |      45.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       34.38% |           0.00% |          34.13% |
| Mystic Forge Combo    |      2.04% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       55.85% |          77.78% |          53.99% |
| Necrodominance Combo  |      2.04% |          1 |      38.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       41.33% |          33.33% |          29.17% |
| Oops All Spells       |      2.04% |          1 |      42.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       54.20% |          25.00% |          50.04% |
| Riddlesmith Combo     |      2.04% |          1 |       5.00 |    6 |      1 |     0 | 85.71% |                    48.69% |                    97.43% |       58.53% |          85.71% |          71.15% |
| Sneak and Show        |      2.04% |          1 |       7.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       49.37% |          71.43% |          55.95% |
| Stiflenought          |      2.04% |          1 |      46.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       50.83% |           0.00% |          41.16% |
| The EPIC Storm        |      2.04% |          1 |      29.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       43.27% |          50.00% |          47.73% |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
