Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-11-17 - 1 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     17.02% |          8 |      21.75 |   23 |     24 |     0 | 48.94% |                    35.28% |                    62.76% |       51.98% |          48.57% |          50.71% |
| Dimir Tempo                    |     14.89% |          7 |      24.86 |   18 |     18 |     0 | 50.00% |                    34.47% |                    65.53% |       52.92% |          50.00% |          52.60% |
| Red Stompy                     |     14.89% |          7 |      25.43 |   19 |     18 |     0 | 51.35% |                    35.89% |                    66.55% |       51.80% |          51.61% |          50.96% |
| Eldrazi                        |      8.51% |          4 |      31.75 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       49.44% |          35.00% |          51.00% |
| Sneak and Show                 |      6.38% |          3 |      13.33 |   12 |      6 |     0 | 66.67% |                    43.75% |                    83.72% |       48.50% |          68.75% |          48.87% |
| Nadu Combo                     |      4.26% |          2 |       8.50 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       54.28% |          63.64% |          58.39% |
| Red Painter                    |      4.26% |          2 |      22.00 |    6 |      4 |     0 | 60.00% |                    31.27% |                    83.18% |       53.18% |          60.00% |          56.84% |
| ANT                            |      2.13% |          1 |      31.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       48.83% |          33.33% |          38.04% |
| Beanstalk Control (Non-Yorion) |      2.13% |          1 |      29.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       44.37% |          33.33% |          50.22% |
| Cephalid Breakfast             |      2.13% |          1 |      42.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       51.28% |           0.00% |          50.00% |
| Cradle Control                 |      2.13% |          1 |      25.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       44.69% |          50.00% |          42.66% |
| Death and Taxes (Yorion)       |      2.13% |          1 |       4.00 |    5 |      3 |     0 | 62.50% |                    30.57% |                    86.32% |       47.74% |          62.50% |          44.95% |
| Doomsday                       |      2.13% |          1 |      45.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       54.68% |           0.00% |          58.33% |
| Elves                          |      2.13% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       53.81% |          77.78% |          55.53% |
| Esper Control                  |      2.13% |          1 |      12.00 |    5 |      1 |     0 | 83.33% |                    43.65% |                    96.99% |       51.77% |          83.33% |          56.94% |
| Lands                          |      2.13% |          1 |      43.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       46.43% |           0.00% |          47.93% |
| Mono Black Reanimator          |      2.13% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       33.33% |          50.00% |          46.43% |
| Oops All Spells                |      2.13% |          1 |      28.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       54.10% |          40.00% |          50.91% |
| Other Aggro                    |      2.13% |          1 |      18.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       39.05% |          40.00% |          22.00% |
| Riddlesmith Combo              |      2.13% |          1 |      33.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       49.80% |          33.33% |          41.03% |
| Unknown Deck                   |      2.13% |          1 |      41.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       26.74% |           0.00% |           0.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
