Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-25 (2024-10-25)
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                     | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Eldrazi                  |     10.64% |          5 |      23.40 |   16 |     12 |     0 | 57.14% |                    39.07% |                    73.49% |       51.49% |          58.33% |          50.35% |
| Mystic Forge Combo       |     10.64% |          5 |      21.60 |   13 |     13 |     0 | 50.00% |                    32.06% |                    67.94% |       57.64% |          50.00% |          56.06% |
| Red Stompy               |     10.64% |          5 |      27.60 |   11 |     15 |     0 | 42.31% |                    25.54% |                    61.05% |       50.44% |          41.67% |          50.80% |
| UB Reanimator            |     10.64% |          5 |      29.80 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       54.97% |          40.00% |          51.15% |
| Red Painter              |      8.51% |          4 |      25.50 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       52.96% |          40.91% |          51.84% |
| Dimir Tempo              |      6.38% |          3 |       8.00 |   14 |      6 |     0 | 70.00% |                    48.10% |                    85.45% |       54.00% |          70.00% |          51.96% |
| Nadu Combo               |      6.38% |          3 |      21.00 |    8 |      8 |     0 | 50.00% |                    28.00% |                    72.00% |       47.48% |          50.00% |          48.41% |
| BR Reanimator            |      4.26% |          2 |      19.00 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       46.25% |          54.55% |          54.79% |
| Death and Taxes (Yorion) |      4.26% |          2 |      27.50 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       44.85% |          50.00% |          47.71% |
| Omni-Tell                |      4.26% |          2 |      40.00 |    2 |      8 |     0 | 20.00% |                     5.67% |                    50.98% |       30.28% |          12.50% |          24.33% |
| ANT                      |      2.13% |          1 |       1.00 |    8 |      1 |     0 | 88.89% |                    56.50% |                    98.01% |       54.20% |          88.89% |          52.00% |
| Cradle Control           |      2.13% |          1 |      43.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       42.56% |           0.00% |          33.02% |
| Golgari Depths           |      2.13% |          1 |      25.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       38.80% |          50.00% |          43.43% |
| Grixis Delver            |      2.13% |          1 |      45.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       49.09% |           0.00% |          46.67% |
| Maverick                 |      2.13% |          1 |      37.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       40.14% |          16.67% |          29.44% |
| Naya Stompy              |      2.13% |          1 |      31.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.47% |          33.33% |          29.17% |
| Oops All Spells          |      2.13% |          1 |      24.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       55.41% |          50.00% |          60.26% |
| Other Graveyard          |      2.13% |          1 |       3.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       54.86% |          75.00% |          59.14% |
| Ruby Storm               |      2.13% |          1 |      16.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       58.14% |          66.67% |          58.63% |
| Stoneblade               |      2.13% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       54.01% |          66.67% |          73.72% |
| White Stompy             |      2.13% |          1 |      19.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       36.88% |          50.00% |          38.89% |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
