Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-27 (2024-10-27)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy                     |     14.89% |          7 |      32.71 |   14 |     20 |     0 | 41.18% |                    26.37% |                    57.78% |       49.31% |          40.62% |          49.62% |
| Dimir Tempo                    |     12.77% |          6 |      15.17 |   24 |     16 |     0 | 60.00% |                    44.60% |                    73.65% |       54.21% |          61.11% |          49.99% |
| Eldrazi                        |     10.64% |          5 |      31.00 |    8 |     16 |     0 | 33.33% |                    17.97% |                    53.29% |       50.41% |          33.33% |          49.21% |
| UB Reanimator                  |     10.64% |          5 |      15.80 |   19 |     14 |     0 | 57.58% |                    40.81% |                    72.76% |       52.60% |          58.06% |          53.22% |
| Mystic Forge Combo             |      4.26% |          2 |      16.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       60.49% |          58.33% |          56.62% |
| Nadu Combo                     |      4.26% |          2 |      22.00 |    8 |      3 |     0 | 72.73% |                    43.44% |                    90.25% |       52.34% |          72.73% |          56.34% |
| Red Painter                    |      4.26% |          2 |      19.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       52.85% |          58.33% |          54.96% |
| ANT                            |      2.13% |          1 |      32.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       49.57% |          40.00% |          36.35% |
| BR Reanimator                  |      2.13% |          1 |       7.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       44.44% |          57.14% |          40.34% |
| Beanstalk Control (Non-Yorion) |      2.13% |          1 |      41.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       42.78% |          25.00% |          41.63% |
| Black Stompy                   |      2.13% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       50.08% |          66.67% |          55.00% |
| Cephalid Breakfast             |      2.13% |          1 |      29.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       49.80% |          20.00% |          43.07% |
| Cradle Control                 |      2.13% |          1 |      46.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       40.19% |           0.00% |          41.15% |
| Death and Taxes (Yorion)       |      2.13% |          1 |      12.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       49.65% |          66.67% |          38.10% |
| Golgari Depths                 |      2.13% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       43.04% |          50.00% |          52.55% |
| Grixis Control                 |      2.13% |          1 |       4.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       47.26% |          75.00% |          71.28% |
| Jeskai Control                 |      2.13% |          1 |      15.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       50.59% |          66.67% |          45.75% |
| Mono Black Reanimator          |      2.13% |          1 |      44.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       32.29% |           0.00% |          16.67% |
| Naya Stompy                    |      2.13% |          1 |      38.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       34.76% |          20.00% |          35.50% |
| Necrodominance Combo           |      2.13% |          1 |      33.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       45.57% |          40.00% |          33.33% |
| Other Control                  |      2.13% |          1 |      42.00 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       44.06% |           0.00% |          29.76% |
| Other Graveyard                |      2.13% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       59.51% |          50.00% |          54.18% |
| Other Tempo                    |      2.13% |          1 |      14.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       46.23% |          66.67% |          62.12% |
| Riddlesmith Combo              |      2.13% |          1 |      11.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       52.22% |          66.67% |          67.18% |
| Sneak and Show                 |      2.13% |          1 |      40.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       51.59% |          20.00% |          44.24% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
