Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-11-03 (2024-11-03)
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                     | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo              |     15.56% |          7 |      26.57 |   16 |     19 |     0 | 45.71% |                    30.47% |                    61.81% |       53.03% |          44.44% |          54.40% |
| UB Reanimator            |     15.56% |          7 |      18.14 |   22 |     19 |     0 | 53.66% |                    38.75% |                    67.94% |       49.99% |          54.29% |          47.88% |
| Red Stompy               |     11.11% |          5 |      24.80 |   13 |     15 |     0 | 46.43% |                    29.53% |                    64.19% |       50.25% |          45.83% |          49.98% |
| Nadu Combo               |      8.89% |          4 |      25.50 |    9 |      9 |     0 | 50.00% |                    29.03% |                    70.97% |       55.23% |          50.00% |          49.85% |
| Red Painter              |      8.89% |          4 |      26.75 |   11 |     12 |     0 | 47.83% |                    29.24% |                    67.04% |       53.82% |          47.37% |          52.15% |
| Doomsday                 |      4.44% |          2 |      28.00 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       59.59% |          50.00% |          59.80% |
| Stoneblade               |      4.44% |          2 |      22.00 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       51.15% |          50.00% |          51.04% |
| ANT                      |      2.22% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.38% |          50.00% |          51.20% |
| Bant Control (Yorion)    |      2.22% |          1 |       1.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       52.37% |          77.78% |          71.85% |
| Black Midrange           |      2.22% |          1 |      38.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       42.51% |          33.33% |          34.72% |
| Blue Artifacts           |      2.22% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       32.96% |          50.00% |          41.67% |
| Cephalid Breakfast       |      2.22% |          1 |      28.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       44.51% |          40.00% |          59.40% |
| Cradle Control           |      2.22% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       38.04% |          66.67% |          48.20% |
| Death and Taxes (Yorion) |      2.22% |          1 |      14.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       44.42% |          66.67% |          49.24% |
| Esper Control            |      2.22% |          1 |      37.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       49.35% |          33.33% |          38.89% |
| Golgari Depths           |      2.22% |          1 |      30.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       40.81% |          20.00% |          45.21% |
| Oops All Spells          |      2.22% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       46.70% |          66.67% |          45.63% |
| Other Permanent Combo    |      2.22% |          1 |      36.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       37.62% |          25.00% |          31.77% |
| Ruby Storm               |      2.22% |          1 |      24.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       44.43% |          50.00% |          34.52% |
| Sneak and Show           |      2.22% |          1 |      15.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.87% |          50.00% |          50.95% |
| The EPIC Gamble          |      2.22% |          1 |       8.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       45.44% |          57.14% |          42.14% |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
