Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-09-08 (2024-09-08)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     11.32% |          6 |      19.33 |   23 |     17 |     0 | 57.50% |                    42.20% |                    71.49% |       55.02% |          57.89% |          49.96% |
| UB Reanimator                  |     11.32% |          6 |      26.67 |   17 |     17 |     0 | 50.00% |                    34.07% |                    65.93% |       54.74% |          50.00% |          52.79% |
| Eldrazi                        |      9.43% |          5 |      17.80 |   18 |     12 |     0 | 60.00% |                    42.32% |                    75.41% |       50.01% |          60.00% |          51.00% |
| Elves                          |      7.55% |          4 |      34.00 |    7 |     12 |     0 | 36.84% |                    19.15% |                    58.96% |       52.31% |          35.29% |          40.28% |
| Red Painter                    |      7.55% |          4 |      26.25 |   11 |     11 |     0 | 50.00% |                    30.72% |                    69.28% |       52.60% |          50.00% |          53.52% |
| Red Stompy                     |      5.66% |          3 |      10.33 |   13 |      6 |     0 | 68.42% |                    46.01% |                    84.64% |       54.80% |          70.59% |          53.52% |
| Gruul Stompy                   |      3.77% |          2 |      37.50 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       44.72% |          40.00% |          44.00% |
| Lands                          |      3.77% |          2 |      45.50 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       46.62% |          14.29% |          49.56% |
| Abzan Depths                   |      1.89% |          1 |      49.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       37.74% |           0.00% |           0.00% |
| BR Reanimator                  |      1.89% |          1 |      50.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       40.44% |           0.00% |          37.70% |
| Beanstalk Control (Non-Yorion) |      1.89% |          1 |      41.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       42.49% |          25.00% |          28.53% |
| Beseech Storm                  |      1.89% |          1 |      35.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       46.37% |          33.33% |          66.83% |
| Black Stompy                   |      1.89% |          1 |      36.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       52.28% |          33.33% |          32.58% |
| Cradle Control                 |      1.89% |          1 |      39.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       43.61% |          33.33% |          17.66% |
| Death and Taxes (Yorion)       |      1.89% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       44.22% |          66.67% |          57.38% |
| Doomsday                       |      1.89% |          1 |      46.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       58.10% |          25.00% |          58.86% |
| Golgari Depths                 |      1.89% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       40.00% |          50.00% |          51.92% |
| Jeskai Control                 |      1.89% |          1 |      37.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       47.59% |          33.33% |          32.34% |
| Mono Green Cloudpost           |      1.89% |          1 |      29.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       49.06% |          40.00% |          76.67% |
| Mystic Forge Combo             |      1.89% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       51.66% |          66.67% |          48.16% |
| Naya Depths                    |      1.89% |          1 |       1.00 |    8 |      1 |     0 | 88.89% |                    56.50% |                    98.01% |       57.36% |          88.89% |          68.89% |
| Naya Stompy                    |      1.89% |          1 |      24.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       41.96% |          50.00% |          53.33% |
| Necrodominance Combo           |      1.89% |          1 |      30.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.75% |          50.00% |          58.33% |
| Other Control                  |      1.89% |          1 |      25.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       43.25% |          50.00% |          47.62% |
| Other Graveyard                |      1.89% |          1 |      32.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       55.76% |          50.00% |          31.75% |
| Other Permanent Combo          |      1.89% |          1 |      51.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       39.68% |           0.00% |           9.09% |
| Other Tempo                    |      1.89% |          1 |      27.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       49.51% |          50.00% |          56.57% |
| Paradoxical Outcome            |      1.89% |          1 |      15.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       42.45% |          66.67% |          75.00% |
| Stiflenought                   |      1.89% |          1 |      18.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       45.17% |          66.67% |          56.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
