Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
2024 Asia Legacy Championship (2024-10-12)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Other Aggro                    |      0.49% |          3 |     430.67 |    5 |     11 |     0 | 31.25% |                    14.16% |                    55.60% |       38.76% |          31.25% |          29.64% |
| Soul Cauldron Combo            |      0.49% |          3 |     442.00 |    6 |     12 |     0 | 33.33% |                    16.28% |                    56.25% |       47.72% |          33.33% |          33.33% |
| Stoneblade                     |      0.49% |          3 |     440.00 |    7 |     11 |     0 | 38.89% |                    20.31% |                    61.38% |       51.12% |          38.89% |          44.05% |
| Worldgorger                    |      0.49% |          3 |     563.00 |    2 |      8 |     0 | 20.00% |                     5.67% |                    50.98% |       39.01% |          20.00% |          25.55% |
| 8Cast                          |      0.33% |          2 |     273.00 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       46.77% |          44.44% |          54.50% |
| Bomberman                      |      0.33% |          2 |     303.50 |    6 |     10 |     0 | 37.50% |                    18.48% |                    61.36% |       49.05% |          37.50% |          37.50% |
| Boros Stompy                   |      0.33% |          2 |     362.50 |    6 |     10 |     0 | 37.50% |                    18.48% |                    61.36% |       40.85% |          37.50% |          43.75% |
| Burn/Red Prowess               |      0.33% |          2 |     468.00 |    4 |      9 |     0 | 30.77% |                    12.68% |                    57.63% |       43.02% |          30.77% |          38.11% |
| Death's Shadow                 |      0.33% |          2 |     219.50 |   10 |      7 |     0 | 58.82% |                    36.01% |                    78.39% |       43.12% |          58.82% |          56.86% |
| Dredge                         |      0.33% |          2 |     432.00 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       49.37% |          42.86% |          46.63% |
| Ninjas                         |      0.33% |          2 |     341.00 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       50.98% |          46.67% |          54.52% |
| Other Control                  |      0.33% |          2 |     482.00 |    4 |      9 |     0 | 30.77% |                    12.68% |                    57.63% |       42.92% |          30.77% |          31.32% |
| Other Tempo                    |      0.33% |          2 |     395.00 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       53.70% |          46.15% |          56.10% |
| RUG Cascade                    |      0.33% |          2 |     526.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       48.56% |          33.33% |          34.52% |
| Aluren                         |      0.16% |          1 |     340.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       36.56% |          44.44% |          44.44% |
| BUG Control                    |      0.16% |          1 |     207.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       47.91% |          44.44% |          44.44% |
| Coveted Jewel Combo            |      0.16% |          1 |     411.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       64.82% |          42.86% |          42.86% |
| Creative Technique             |      0.16% |          1 |     352.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       41.45% |          50.00% |          50.00% |
| Displacer Kitten Combo         |      0.16% |          1 |     327.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       61.07% |          57.14% |          57.14% |
| Esper Vial                     |      0.16% |          1 |      86.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       58.98% |          66.67% |          59.26% |
| Goblins (Turbo Muxus)          |      0.16% |          1 |     256.00 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       46.50% |          30.00% |          30.00% |
| Goblins (Vial)                 |      0.16% |          1 |     228.00 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       40.69% |          40.00% |          41.64% |
| Grixis Control                 |      0.16% |          1 |     516.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       42.01% |          20.00% |          20.33% |
| Hogaak                         |      0.16% |          1 |     296.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       43.00% |          55.56% |          55.56% |
| Infect                         |      0.16% |          1 |     157.00 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       39.96% |          50.00% |          35.33% |
| Naya Depths                    |      0.16% |          1 |     561.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       52.90% |          20.00% |          52.00% |
| Nic Fit                        |      0.16% |          1 |     483.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       33.71% |          28.57% |          28.57% |
| Other Vial                     |      0.16% |          1 |      37.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       59.52% |          77.78% |          56.22% |
| RUG Delver                     |      0.16% |          1 |     493.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       48.29% |          40.00% |          40.00% |
| Rakdos Stompy                  |      0.16% |          1 |     249.00 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       42.81% |          30.00% |          30.00% |
| Standstill                     |      0.16% |          1 |     244.00 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       44.87% |          37.50% |          37.50% |
| White Stompy                   |      0.16% |          1 |     421.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       35.48% |          40.00% |          40.00% |
| Yorion Zenith                  |      0.16% |          1 |     391.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       51.74% |          50.00% |          44.44% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
