Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-20 (2024-10-20)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy                     |     14.63% |          6 |      19.33 |   19 |     18 |     0 | 51.35% |                    35.89% |                    66.55% |       49.72% |          51.72% |          49.85% |
| Dimir Tempo                    |      9.76% |          4 |      20.50 |   11 |     12 |     0 | 47.83% |                    29.24% |                    67.04% |       56.40% |          47.62% |          58.32% |
| Doomsday                       |      7.32% |          3 |      23.00 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       58.49% |          42.86% |          49.96% |
| Eldrazi                        |      7.32% |          3 |       9.67 |   14 |      5 |     0 | 73.68% |                    51.21% |                    88.19% |       49.74% |          76.47% |          53.64% |
| UB Reanimator                  |      7.32% |          3 |      18.33 |    9 |      8 |     0 | 52.94% |                    30.96% |                    73.83% |       52.09% |          52.94% |          48.66% |
| BR Reanimator                  |      4.88% |          2 |      33.50 |    3 |      8 |     0 | 27.27% |                     9.75% |                    56.56% |       44.81% |          22.22% |          55.60% |
| Jeskai Control                 |      4.88% |          2 |      10.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       49.91% |          60.00% |          45.60% |
| Red Painter                    |      4.88% |          2 |      23.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       53.41% |          40.00% |          47.39% |
| Beanstalk Control (Non-Yorion) |      2.44% |          1 |      14.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       40.68% |          50.00% |          62.00% |
| Black Phoenix                  |      2.44% |          1 |      40.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       28.05% |           0.00% |           0.00% |
| Death and Taxes (Yorion)       |      2.44% |          1 |      17.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       44.66% |          50.00% |          42.16% |
| Golgari Depths                 |      2.44% |          1 |      30.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       43.70% |          20.00% |          33.64% |
| Merfolk                        |      2.44% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       42.44% |          66.67% |          60.42% |
| Mono Green Cloudpost           |      2.44% |          1 |      39.00 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       40.13% |           0.00% |          35.60% |
| Mystic Forge Combo             |      2.44% |          1 |       1.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       55.78% |          77.78% |          56.08% |
| Naya Stompy                    |      2.44% |          1 |      24.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       32.42% |          50.00% |          20.83% |
| Oops All Spells                |      2.44% |          1 |      37.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       52.35% |           0.00% |          41.96% |
| Other Non Blue                 |      2.44% |          1 |      36.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       47.97% |           0.00% |          25.00% |
| Other Vial                     |      2.44% |          1 |      23.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       63.94% |          50.00% |          67.86% |
| Riddlesmith Combo              |      2.44% |          1 |      38.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       54.91% |           0.00% |          33.33% |
| Sneak and Show                 |      2.44% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.30% |          50.00% |          58.77% |
| Stiflenought                   |      2.44% |          1 |      25.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       54.15% |          33.33% |          52.50% |
| Stoneblade                     |      2.44% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       51.51% |          77.78% |          56.74% |
| The EPIC Storm                 |      2.44% |          1 |      19.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       42.95% |          50.00% |          37.12% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
