Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 64 2024-10-27 (2024-10-27)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     10.29% |          7 |      15.14 |   34 |     19 |     0 | 64.15% |                    50.69% |                    75.70% |       55.35% |          65.96% |          56.32% |
| Eldrazi                        |      8.82% |          6 |      40.33 |   14 |     20 |     0 | 41.18% |                    26.37% |                    57.78% |       53.77% |          41.18% |          53.71% |
| Red Stompy                     |      8.82% |          6 |      24.50 |   23 |     18 |     0 | 56.10% |                    41.04% |                    70.11% |       51.85% |          56.76% |          54.34% |
| Dimir Tempo                    |      5.88% |          4 |      24.50 |   17 |     13 |     0 | 56.67% |                    39.20% |                    72.62% |       56.53% |          57.14% |          55.00% |
| Nadu Combo                     |      5.88% |          4 |      40.00 |   10 |     14 |     0 | 41.67% |                    24.47% |                    61.17% |       51.67% |          41.67% |          49.64% |
| Lands                          |      4.41% |          3 |      26.33 |   12 |      8 |     0 | 60.00% |                    38.66% |                    78.12% |       47.26% |          61.11% |          47.14% |
| Other Tempo                    |      4.41% |          3 |      55.67 |    1 |      7 |     0 | 12.50% |                     2.24% |                    47.09% |       46.78% |          12.50% |          16.92% |
| ANT                            |      2.94% |          2 |      34.00 |    9 |      3 |     0 | 75.00% |                    46.77% |                    91.11% |       49.50% |          75.00% |          62.32% |
| BR Reanimator                  |      2.94% |          2 |      25.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       46.71% |          50.00% |          45.12% |
| Beanstalk Control (Non-Yorion) |      2.94% |          2 |      39.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       42.66% |          50.00% |          36.89% |
| Cephalid Breakfast             |      2.94% |          2 |      42.50 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       45.78% |          40.00% |          49.37% |
| Creative Technique             |      2.94% |          2 |      25.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       45.48% |          50.00% |          48.47% |
| Death and Taxes (Yorion)       |      2.94% |          2 |      58.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       42.92% |          20.00% |          27.43% |
| Doomsday                       |      2.94% |          2 |       7.00 |   11 |      4 |     0 | 73.33% |                    48.05% |                    89.10% |       61.84% |          73.33% |          64.71% |
| Goblins (Vial)                 |      2.94% |          2 |      56.50 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       38.45% |          22.22% |          22.22% |
| Red Painter                    |      2.94% |          2 |      33.50 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       51.85% |          45.45% |          57.71% |
| Riddlesmith Combo              |      2.94% |          2 |      41.00 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       54.80% |          41.67% |          62.05% |
| Stiflenought                   |      2.94% |          2 |      44.50 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       48.14% |          37.50% |          44.19% |
| Golgari Depths                 |      1.47% |          1 |      57.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       38.75% |          25.00% |          39.58% |
| Grixis Control                 |      1.47% |          1 |      49.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       43.97% |          25.00% |          41.67% |
| Gruul Stompy                   |      1.47% |          1 |      60.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       45.96% |           0.00% |          25.00% |
| Jeskai Control                 |      1.47% |          1 |      15.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       56.70% |          71.43% |          67.80% |
| Mono Black Reanimator          |      1.47% |          1 |      46.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       34.25% |          28.57% |          22.38% |
| Mono Green Cloudpost           |      1.47% |          1 |       8.00 |    5 |      3 |     0 | 62.50% |                    30.57% |                    86.32% |       44.83% |          62.50% |          40.03% |
| Mystic Forge Combo             |      1.47% |          1 |      29.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       56.92% |          57.14% |          69.48% |
| Omni-Tell                      |      1.47% |          1 |      42.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       36.54% |          28.57% |          37.73% |
| Other Control                  |      1.47% |          1 |      41.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       48.78% |          33.33% |          26.98% |
| Other Spell Combo              |      1.47% |          1 |      14.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       45.83% |          71.43% |          54.76% |
| Ruby Storm                     |      1.47% |          1 |      68.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       49.88% |           0.00% |          40.48% |
| Sneak and Show                 |      1.47% |          1 |      59.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       52.56% |           0.00% |          44.41% |
| Standstill                     |      1.47% |          1 |      44.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       50.00% |          40.00% |          40.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
