Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13)
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                     | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Eldrazi                  |     13.51% |          5 |       8.80 |   23 |     12 |     0 | 65.71% |                    49.15% |                    79.17% |       52.50% |          68.97% |          58.18% |
| Dimir Tempo              |     10.81% |          4 |      15.25 |   13 |     11 |     0 | 54.17% |                    35.07% |                    72.11% |       57.54% |          54.17% |          56.49% |
| Red Stompy               |     10.81% |          4 |      22.25 |    8 |     12 |     0 | 40.00% |                    21.88% |                    61.34% |       53.42% |          38.89% |          52.87% |
| UB Reanimator            |     10.81% |          4 |      22.00 |   11 |      8 |     0 | 57.89% |                    36.28% |                    76.86% |       53.48% |          57.89% |          55.60% |
| Doomsday                 |      5.41% |          2 |      23.50 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       60.57% |          50.00% |          53.03% |
| Mystic Forge Combo       |      5.41% |          2 |      16.00 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       58.85% |          55.56% |          61.89% |
| ANT                      |      2.70% |          1 |      11.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       44.59% |          66.67% |          51.19% |
| BR Reanimator            |      2.70% |          1 |      36.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       46.92% |           0.00% |          24.24% |
| Black Phoenix            |      2.70% |          1 |      24.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       31.08% |          33.33% |          33.33% |
| Black Stompy             |      2.70% |          1 |      31.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       45.32% |          33.33% |          41.67% |
| Death and Taxes (Yorion) |      2.70% |          1 |      25.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       46.71% |          33.33% |          40.82% |
| Grixis Control           |      2.70% |          1 |      32.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       45.82% |          16.67% |          38.69% |
| Gruul Stompy             |      2.70% |          1 |      37.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       43.24% |           0.00% |           5.00% |
| Jeskai Control           |      2.70% |          1 |      33.00 |    1 |      1 |     0 | 50.00% |                     9.45% |                    90.55% |       46.49% |          50.00% |          46.15% |
| Naya Stompy              |      2.70% |          1 |      26.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       39.85% |          25.00% |          44.64% |
| Ninjas                   |      2.70% |          1 |      16.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       44.22% |          50.00% |          54.07% |
| Other Control            |      2.70% |          1 |      29.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       38.37% |          25.00% |          36.67% |
| Other Tempo              |      2.70% |          1 |       8.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       43.05% |          57.14% |          49.91% |
| Paradoxical Outcome      |      2.70% |          1 |      13.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       35.14% |          50.00% |          41.67% |
| Riddlesmith Combo        |      2.70% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       55.17% |          66.67% |          49.68% |
| The EPIC Storm           |      2.70% |          1 |       7.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       39.19% |          50.00% |          38.46% |
| Worldgorger              |      2.70% |          1 |       4.00 |    5 |      3 |     0 | 62.50% |                    30.57% |                    86.32% |       46.66% |          62.50% |          42.27% |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
