Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-18 (2024-10-18)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Eldrazi                        |     16.28% |          7 |      20.43 |   19 |     16 |     0 | 54.29% |                    38.19% |                    69.53% |       48.78% |          55.17% |          47.30% |
| Red Stompy                     |     16.28% |          7 |      19.43 |   21 |     20 |     0 | 51.22% |                    36.48% |                    65.75% |       54.07% |          51.43% |          48.28% |
| UB Reanimator                  |     11.63% |          5 |      27.40 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       52.73% |          40.00% |          53.63% |
| Mystic Forge Combo             |      9.30% |          4 |      24.00 |    9 |     14 |     0 | 39.13% |                    22.16% |                    59.21% |       56.08% |          39.13% |          58.26% |
| Doomsday                       |      6.98% |          3 |      14.33 |   13 |      7 |     0 | 65.00% |                    43.29% |                    81.88% |       56.67% |          66.67% |          55.28% |
| Red Painter                    |      6.98% |          3 |      17.00 |   10 |      9 |     0 | 52.63% |                    31.71% |                    72.67% |       48.20% |          53.33% |          53.19% |
| The EPIC Storm                 |      6.98% |          3 |      30.00 |    5 |     12 |     0 | 29.41% |                    13.28% |                    53.13% |       41.50% |          29.41% |          44.59% |
| Dimir Tempo                    |      4.65% |          2 |      17.50 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       55.85% |          54.55% |          54.21% |
| BR Reanimator                  |      2.33% |          1 |      22.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       44.05% |          40.00% |          52.36% |
| BUG Control                    |      2.33% |          1 |      34.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       42.64% |          33.33% |          16.67% |
| Beanstalk Control (Non-Yorion) |      2.33% |          1 |      42.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       43.64% |           0.00% |          41.67% |
| Black Stompy                   |      2.33% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.83% |          50.00% |          54.04% |
| Cradle Control                 |      2.33% |          1 |      32.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       36.20% |          33.33% |          15.48% |
| Golgari Depths                 |      2.33% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       45.76% |          77.78% |          43.03% |
| Jeskai Control                 |      2.33% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.10% |          50.00% |          54.57% |
| Mono Black Reanimator          |      2.33% |          1 |      40.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       31.78% |           0.00% |          14.29% |
| Stiflenought                   |      2.33% |          1 |       5.00 |    6 |      1 |     0 | 85.71% |                    48.69% |                    97.43% |       51.68% |          85.71% |          65.73% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
