deck1,deck2,n,w
merfolk,no b/u/g,3,3
merfolk,mud,3,1
merfolk,mono white stoneblade,3,1
merfolk,mono white armageddon,3,0
merfolk,mono black aggro,3,1
merfolk,mesmeric monolith,3,3
maverick,zombies,3,1
maverick,u/w/r delver,3,3
maverick,u/w delver,3,1
maverick,twelvepost,3,0
maverick,tezzeret affinity,3,3
maverick,stompy,3,3
maverick,stasis,3,2
maverick,sea stompy,3,1
maverick,mono green infect,3,2
maverick,mono black aggro,3,2
manaless dredge,stoneblade,3,2
life,zoo,3,1
leyline of singularity,zoo,3,1
leyline helm,stoneblade,3,0
leyline helm,merfolk,3,1
lands,white weenie,3,1
lands,u/w control,3,1
landstill,stax,3,2
landstill,painted stone,3,0
landstill,mono blue control,3,0
lands,life,3,1
kobolds/glimpse,stoneblade,3,1
junk,u/r control,3,3
junk,u/b/g control,3,1
junk,threshold,3,1
junk,tezzeret control,3,2
junk,stax,3,2
junk,scapeshift,3,2
junk,rug visions,3,1
junk,not submitted,3,2
junk,no show,3,1
junk,nic fit,3,0
junk,mono white stoneblade,3,1
junk,miracles,3,0
junk,junk depths,3,1
junk depths,painted stone,3,2
junk depths,maverick,3,1
jund,u/w miracles,3,3
jund,stoneblade,3,2
jund,shardless bug,3,1
jund,no bant,3,1
jeskai stoneblade,reanimator,3,3
jeskai stoneblade,metal worker,3,3
jeskai miracles,u/r delver,3,2
jeskai delver,u/r delver,3,2
jeskai delver,twelvepost,3,2
jeskai delver,sultai delver,3,1
jeskai delver,metalworker,3,3
jeskai delver,lands,3,0
jedi emreka,lands,3,3
infect,u/w/r delver,3,0
infect,tes,3,2
infect,temur delver,3,1
infect,no rug,3,1
infect,no bant,3,2
infect,mono black control,3,1
infect,jeskai stoneblade,3,1
imperial painter,stoneblade,3,3
iggy pop,zoo,3,1
iggy pop,stoneblade,3,2
iggy pop,junk,3,0
hypergenesis,pox,3,1
hypergenesis,omnitell,3,3
hypergenesis,nic fit,3,1
hulk combo,reanimator,3,1
hive mind,terrageddon,3,1
hive mind,no show,3,2
hive mind,mesmeric monolith,3,1
hive mind,hypergenesis,3,0
high tide,twelvepost,3,2
high tide,the walking dead,3,1
high tide,tezzeret metalcraft,3,2
high tide,storm,3,1
high tide,stiflenought,3,1
high tide,shardless bug,3,1
high tide,rug,3,1
high tide,no rug,3,1
high tide,new horizons,3,3
high tide,landstill,3,3
hexmage depths,stoneblade,3,0
hexmage depths,painted stone,3,0
hexmage depths,mono black control,3,2
hexmage depths,junk,3,0
helm of the void,sneak and show,3,3
helm of the void,hive mind,3,0
g/w stoneblade,junk depths,3,3
g/w stoneblade,junk,3,3
g/w stoneblade,hive mind,3,2
g/w/b midrange,reanimator,3,2
g/w/b midrange,pox,3,3
g/w/b midrange,nic fit,3,2
g/w/b midrange,miracleblade,3,1
g/w/b midrange,metalworker,3,1
g/w/b midrange,high tide,3,2
g/w aggro,u/w/r control,3,2
g/w aggro,high tide,3,1
grove of fire,merfolk,3,1
grixis delver,storm,3,1
grixis control,team america,3,1
grixis control,shardless sultai,3,2
grixis control,miracles,3,1
grixis control,lands,3,1
grixis control,jeskai control,3,3
goblins,tezzeret metalcraft,3,1
goblins,team italia,3,2
goblins,sneak attack,3,1
goblins,manaless dredge,3,1
goblins,leyline helm,3,2
goblins,kobolds!,3,3
goblins,jund,3,1
goblins,grixis delver,3,1
goblin bombardment,merfolk,3,0
goat weenie,no rug,3,1
glimpse combo,stoneblade,3,0
glimpse combo,miracleblade,3,1
geddon knight,survival,3,3
geddon knight,merfolk,3,1
g/b/w rock,painted stone,3,3
g/b/w rock,landstill,3,1
g/b pox,u/w landstill,3,1
g/b infect,rug delver,3,1
free glimpse,stoneblade,3,2
freebie glimpse,goblins,3,3
forgemaster combo,u/w stoneblade,3,3
food chain,zoo,3,1
food chain,miracles,3,1
faeries,threshold,3,1
faeries,no bant,3,2
faeries,natural order,3,0
faeries,mono blue control,3,2
faeries,landstill,3,3
eva green,stax,3,3
eva green,show and tell,3,1
eva green,rug delver,3,1
eva green,no rug,3,1
eva green,mono blue control,3,2
eva green,mono black control,3,2
eva green,hive mind,3,2
eva green,faeries,3,0
esper stoneblade,rug visions,3,1
esper stoneblade,omni-tell,3,1
esper control,team america,3,2
esper control,stoneblade,3,2
esper control,high tide,3,0
esper aggro,rug delver,3,1
enchantress,twelvepost,3,1
enchantress,the walking dead,3,2
enchantress,omnitell,3,0
enchantress,mono blue control,3,2
enchantress,junk depths,3,1
enchantress,hexmage depths,3,1
enchantress,g/w/b midrange,3,2
enchantress,g/w aggro,3,2
enchantress,grixis delver,3,2
elves,vampires,3,2
elves,u/w tempo,3,0
elves,u/w/r landstill,3,1
elves,u/r landstill,3,1
elves,threshold,3,1
elves,team italia,3,2
elves,stifle naught,3,1
elves,slivers,3,2
elves,rug visions,3,1
elves,rug,3,1
elves,mono white stax,3,1
elves,mono white aggro,3,1
elves,life,3,1
elves,leyline helm,3,2
elves,landstill,3,1
elves,freebie glimpse,3,2
elves,faeries,3,1
elspeth control,threshold,3,3
eldrazi ramp,team america,3,1
dredge,u/r control,3,2
dredge,u/g infect,3,0
dredge,u/b faeries,3,0
dredge,tezzeret metalcraft,3,2
dredge,rug visions,3,1
dredge,rug,3,1
dredge,r/g aggro,3,3
dredge,no show,3,0
dredge,natural order,3,0
dredge,iggy pop,3,1
dredge,grixis control,3,2
dredge,food chain,3,2
dream halls,threshold,3,1
dream halls,natural order,3,1
dream halls,mono black control,3,3
dream halls,lands,3,3
dreadstill,dredge,3,1
dragon stompy,u/r delver,3,2
dragon stompy,painted stone,3,0
dragon stompy,no bant,3,1
dragon stompy,landstill,3,1
dragon stompy,g/w aggro,3,0
dragon stompy,elves,3,2
doran rock,reanimator,3,0
doomsday,sneak and show,3,0
death's shadow,u/r delver,3,2
deathblade,u/b tezzeret,3,1
deathblade,sneak and show,3,3
death and taxes,zoo,3,0
death and taxes,u/w/r delver,3,0
death and taxes,u/r stiflenaught,3,2
death and taxes,painted stone,3,2
death and taxes,omni-tell,3,1
death and taxes,mud,3,2
death and taxes,miracleblade,3,1
death and taxes,jeskai control,3,1
death and taxes,hive mind,3,0
death and taxes,doomsday,3,2
dead vegetables,omnitell,3,1
deadguy ale,nic fit,3,2
deadguy ale,high tide,3,2
deadguy ale,enchantress,3,1
deadguy ale,death and taxes,3,1
counter-top,vampires,3,3
counter-top,u/w aggro,3,2
counter-top,tezzeret thopters,3,1
counter-top,tes,3,3
counter-top,r/u/g control,3,1
counter-top,rebels,3,2
counter-top,kobolds,3,3
counter-top,g/w stompy,3,2
counter-top,esper control,3,3
counter-top,dreadstill,3,3
counter-top,death and taxes,3,1
cephalid breakfast,show and tell,3,3
cephalid breakfast,painted stone,3,1
cephalid breakfast,omnitell,3,1
cephalid breakfast,no rug,3,1
cephalid breakfast,hive mind,3,0
caw-blade,counter-top,3,2
canadian threshold,cephalid breakfast,3,0
b/w weenie,show and tell,3,1
b/w weenie,reanimator,3,2
b/w weenie,high tide,3,0
b/w weenie,g/w aggro,3,1
b/w vampires,dredge,3,2
b/w tokens,high tide,3,3
b/w control,enchantress,3,3
b/w control,dream halls,3,1
b/w control,burn,3,2
b/w aggro,survival,3,1
b/w aggro,survival,3,1
b/w aggro,rug delver,3,1
b/w aggro,rug delver,3,1
b/w aggro,no bant,3,1
b/w aggro,no bant,3,1
b/w aggro,new horizons,3,1
b/w aggro,new horizons,3,1
b/w aggro,landstill,3,1
b/w aggro,landstill,3,1
b/w aggro,high tide,3,2
b/w aggro,high tide,3,2
b/w aggro,faeries,3,1
b/w aggro,faeries,3,1
burn,wizards,3,2
burn,u/g madness,3,1
burn,u/b tezzeret,3,2
burn,tezzeret metalcraft,3,1
burn,temur delver,3,1
burn,rug visions,3,1
burn,natural order,3,1
burn,mono white aggro,3,1
burn,mono green aggro,3,3
burn,mono-blue control,3,2
burn,jund,3,3
burn,g/w stoneblade,3,3
burn,gw aggro,3,1
burn,grixis delver,3,2
burn,grixis control,3,1
burg delver,dredge,3,2
bug visions,enchantress,3,2
bug,stifle naught,3,1
bug,pox,3,2
bug,no bant,3,1
bug,mud,3,2
bug midrange,zoo,3,1
bug midrange,merfolk,3,1
bug landstill,junk depths,3,2
bug,junk,3,1
bug,food chain,3,1
bug faeries,stoneblade,3,1
bug,enchantress,3,2
bug delver,u/b tezzeret,3,2
bug delver,tes,3,1
bug delver,enchantress,3,3
bug delver,dead vegetables,3,1
b/u/g control,zoo,3,2
bug control,tes,3,2
bug control,rug delver,3,0
bug control,reanimator,3,2
bug control,omnitell,3,0
bug control,metalworker,3,3
bug control,high tide,3,2
bug control,goblins,3,1
b/u/g control,eva green,3,2
bug control,burn,3,0
bug control,bug delver,3,2
b/r control,goblins,3,0
b/r aggro,zoo,3,0
b/r aggro,stoneblade,3,1
b/r aggro,merfolk,3,1
b/r aggro,bant,3,0
boros,rug delver,3,2
boros,goblins,3,1
boros,counter-top,3,0
bomberman,rug delver,3,0
bomberman,dredge,3,0
blue zoo,elves,3,3
blouses,merfolk,3,1
black rack,counter-top,3,1
black rack,burn,3,1
b/g stompy,dredge,3,0
b/g control,maverick,3,2
b/g aggro,bant,3,2
berserk infect,survival,3,2
belcher,u/w aggro,3,0
belcher,u/b tezzeret,3,0
belcher,twelvepost,3,0
belcher,tezzeret affinity,3,2
belcher,slivers,3,2
belcher,scepter chant,3,0
belcher,mud,3,2
belcher,jedi emreka,3,2
belcher,infect,3,0
belcher,hulk rebirth,3,0
belcher,grixis delver,3,0
belcher,bug midrange,3,1
battle of wits,zoo,3,2
battle of wits,stoneblade,3,2
battle of wits,rug delver,3,0
battle of wits,dredge,3,3
battle of wits,belcher,3,0
bant,uwr control,3,2
bant,rug control,3,2
bant,pox,3,2
bant orb,counter-top,3,1
bant,mono white stoneblade,3,1
bant,dragon stompy,3,2
bant,deadguy ale,3,3
bant control,zoo,3,3
bant control,merfolk,3,0
bant,bug delver,3,2
bant aggro,rebels,3,2
bant aggro,g/w aggro,3,1
athens blue,stoneblade,3,1
athens blue,sneak and show,3,2
athens blue,rug delver,3,3
athens blue,reanimator,3,1
athens blue,maverick,3,3
athens blue,elves,3,2
assault loam,painted stone,3,1
assault loam,lands,3,1
assault loam,hypergenesis,3,3
assault loam,high tide,3,0
assault loam,dragon stompy,3,2
armageddon stax,threshold,3,3
armageddon stax,stoneblade,3,1
armageddon stax,sneak and show,3,3
armageddon stax,rug delver,3,0
armageddon stax,eva green,3,2
armageddon stax,belcher,3,2
armageddon lock,merfolk,3,2
ant,white stax,3,1
ant,u/w/r delver,3,2
ant,u/w aggro,3,1
ant,salvagers,3,2
ant,rug visions,3,2
ant,rug,3,2
ant,painter's grindstone,3,2
ant,natural order,3,1
ant,mono black,3,3
ant,miracleblade,3,3
ant,mesmeric monolith,3,1
ant,g/w stoneblade,3,2
ant,dreadstill,3,1
aluren,maverick,3,2
aluren,bug delver,3,1
aluren,belcher,3,1
aluren,ant,3,2
all in red,belcher,3,1
allies,merfolk,3,2
allies,ant,3,0
aggro loam,u/b control,3,1
aggro loam,threshold,3,2
aggro loam,no show,3,0
aggro loam,natural order,3,1
aggro loam,jund,3,2
aggro loam,hypergenesis,3,2
aggro loam,doomsday,3,1
aggro loam,cephalid breakfast,3,2
affinity,u/w tempo,3,1
affinity,u/w control,3,1
affinity,tezzeret control,3,1
affinity,stiflenaught,3,2
affinity,soul sisters,3,2
affinity,new horizons,3,1
affinity,mud,3,2
affinity,mesmeric monolith,3,2
affinity,helm of the void,3,1
affinity,grixis delver,3,2
affinity,explorer rock,3,1
affinity,eldrazi ramp,3,2
affinity,black rack,3,3
affinity,battle of wits,3,1
affinity,assault loam,3,0
ad nauseum,maverick,3,2
ad nauseam,u/r delver,3,3
ad nauseam tendrils,u/r delver,3,1
ad nauseam tendrils,elves,3,1
8 post,stoneblade,3,1
4 color stoneblade,stoneblade,3,1
4 color loam,tes,3,2
4 color loam,show and tell,3,3
4 color landstill,zoo,3,1
4 color landstill,team america,3,1
4 color landstill,bant aggro,3,1
4 color landstill,ant,3,1
4 color landstill,affinity,3,2
4-color delver,elves,3,0
4-color delver,dredge,3,1
4 color control,u/w landstill,3,1
4 color control,lands,3,2
4 color control,ant,3,2
12 post,u/w/r delver,3,0
zombies,zoo,2,1
white stoneblade,zoo,2,1
u/w visions,zoo,2,1
u/w thopters,zoo,2,1
u/w stoneblade,white weenie,2,2
u/w/r stoneblade,zoo,2,0
u/w/r control,u/w/r landstill,2,2
u/w landstill,u/w visions,2,1
u/w landstill,u/w/r landstill,2,0
u/w control,u/w delver,2,1
u/r landstill,zoo,2,1
u/r landstill,u/w landstill,2,0
u/r delver,zombies,2,0
u/r delver,white weenie,2,2
u/r delver,valakut,2,2
u/r delver,u/w stoneblade,2,1
<unknown>,sneak and show,2,0
<unknown>,goblins,2,1
<unknown>,dredge,2,2
<unknown>,bug,2,1
u/g madness,zoo,2,0
u/b trinisphere,u/w stoneblade,2,1
u/b tezzeret,u/r delver,2,1
u/b tempo,u/r delver,2,1
u/b faeries,u/w stoneblade,2,2
u/b delver,u/r delver,2,0
u/b control,zoo,2,1
twelvepost,zoo,2,1
twelvepost,u/w landstill,2,1
twelvepost,u/b tezzeret,2,2
the walking dead,u/b tezzeret,2,1
the epic storm,u/w/r delver,2,1
tezzeret metalcraft,zoo,2,0
tezzeret control,u/w landstill,2,1
tezzeret affinity,u/w stoneblade,2,1
tezzerator,zoo,2,1
tezzerator,threshold,2,1
tes,u/w control,2,1
tes,tezzeret affinity,2,1
temur delver,u/g cloudpost,2,1
team italia,zoo,2,0
team america,white knights,2,0
team america,u/w visions,2,1
team america,u/w/r thopters,2,1
team america,u/r delver,2,0
team america,u/r control,2,1
team america,torpornought,2,1
team america,threshold,2,1
survival,vial ninjas,2,1
survival,u/r control,2,2
sultai delver,u/g cloudpost,2,2
sui black,zoo,2,0
storm,u/w control,2,1
storm,tinfins,2,1
stoneblade,wizards,2,1
stoneblade,walking dead,2,0
stoneblade,u/w/r delver,2,1
stoneblade,u/r landstill,2,0
stoneblade,u/r control,2,1
stoneblade,u/g madness,2,1
stoneblade,u/b faeries,2,0
stoneblade,u/b aggro,2,2
stoneblade,turboland,2,1
stoneblade,tezzeret thopters,2,2
stoneblade,tezzeret control,2,1
stoneblade,tezzeret affinity,2,0
stoneblade affinity,tezzeret affinity,2,2
stiflenought,u/w stoneblade,2,0
stiflenought,u/g madness,2,2
stiflenought,tezzeret thopters,2,2
stiflenaught,threshold,2,1
stiflenaught,survival,2,1
stax,white weenie,2,1
stax,u/w control,2,1
stax,u/b control,2,1
stasis,u/r delver,2,0
stasis,stax,2,0
soul sisters,stoneblade,2,1
solidarity,storm,2,0
sneak attack,zoo,2,2
sneak and show,zombies,2,1
sneak and show,u/w/r control,2,2
sneak and show,the walking dead,2,1
sneak and show,sultai delver,2,1
sneak and show,storm,2,0
slivers,team america,2,0
slivers,storm,2,1
slivers,stoneblade,2,1
singleton affinity,zoo,2,0
show and tell,u/w tempo,2,1
show and tell,u/w/r landstill,2,1
show and tell,u/g madness,2,1
show and tell,threshold,2,1
show and tell,tezzeret metalcraft,2,2
show and tell,sylvan plug,2,0
shared fate,zoo,2,0
shardless sultai,twelvepost,2,2
shardless sultai,sneak and show,2,1
shardless bug,u/r delver,2,1
sea stompy,stoneblade,2,0
sea drake stompy,zoo,2,1
sea drake stompy,stoneblade,2,2
sea drake stompy,show and tell,2,0
scepter chant,zoo,2,1
scapeshift,u/w stoneblade,2,2
scapeshift,stoneblade,2,2
salvagers,team america,2,1
r/w weenie,zoo,2,0
r/w weenie,show and tell,2,1
r/w stoneblade,team america,2,0
r/w/b control,stoneblade,2,0
r/w/b aggro,zoo,2,1
r/w/b aggro,u/w/r control,2,0
r/w aggro,reanimator,2,0
rug visions,u/w visions,2,0
rug visions,tezzeret plating,2,2
rug stiflenought,zoo,2,0
rug delver,u/w/r control,2,2
rug delver,u/w/r aggro,2,2
rug delver,u/b standstill,2,2
rug delver,the epic storm,2,0
rug delver,tezzeret thopters,2,1
rug delver,tezzeret affinity,2,1
rug delver,stiflenaught,2,2
rug delver,soul sisters,2,2
rug delver,slivers,2,2
r/u/g control,show and tell,2,1
rug aggro,zoo,2,2
r/u/g aggro,zoo,2,1
rogues,zoo,2,0
reshape combo,zoo,2,2
red deck wins,u/b/g control,2,2
red deck wins,stax,2,1
rebels,u/r delver,2,1
reanimator,white puresteel,2,0
reanimator,u/w/r miracles,2,2
reanimator,u/w/r control,2,1
reanimator,u/g madness,2,0
reanimator,u/g infect,2,2
reanimator,trinistax,2,1
reanimator,thopter foundry,2,0
reanimator,the epic storm,2,1
reanimator,tezzeret affinity,2,1
reanimator,stiflenaught,2,1
reanimator,sea drake stompy,2,2
reanimator,rug visions,2,2
reanimator,rug control,2,1
reanimator,rockin' reanimator,2,1
reanimator,rebels,2,2
punishing jund,sultai delver,2,1
punishing jund,reanimator,2,0
proteus staff,rug delver,2,0
pox,twelvepost,2,0
pox,the walking dead,2,1
pox,stifle naught,2,2
patron wizards,stoneblade,2,1
painter's grindstone,u/b tezzeret,2,1
painter's grindstone,tes,2,1
painter's grindstone,reanimator,2,1
painter's grindstone,pox,2,2
painted stone,u/w tempo,2,0
painted stone,u/w/r landstill,2,2
painted stone,u/r landstill,2,2
painted stone,u/g madness,2,2
painted stone,u/b control,2,2
painted stone,terrageddon,2,0
painted stone,stiflenought,2,0
painted stone,shardless bug,2,2
painted stone,sea drake stompy,2,0
painted stone,scapeshift,2,1
painted stone,rug visions,2,0
opalescense,stoneblade,2,0
omnitell,u/w control,2,1
omnitell,u/b delver,2,0
omnitell,temur delver,2,1
omnitell,team italia,2,1
omni-tell,storm,2,2
omnitell,stax,2,2
omni-tell,shardless bug,2,2
no zoo,stoneblade,2,0
no u/g,u/w stoneblade,2,0
not submitted,zoo,2,0
no toolbox,zoo,2,1
not found,u/w landstill,2,0
no show,u/w landstill,2,1
no show,rug visions,2,1
no show,reanimator,2,2
no rug,u/w tempo,2,1
no rug,twelvepost,2,0
no rug,turboland,2,2
no rug,tezzeret control,2,2
no rug,tezzeret affinity,2,2
no rug,terrageddon,2,2
no rug,rug,2,2
no naya,no rug,2,1
no green,painted stone,2,2
no bug,stoneblade,2,1
no bant,u/r stiflenought,2,0
no bant,tezzeret thopters,2,2
no bant,stasis,2,2
no bant,sneak and show,2,0
no bant,rug control,2,0
no bant,pyromancer ascension,2,1
no bant,omnitell,2,0
no bant,no show,2,1
no 4 color,zoo,2,1
no 4 color,no rug,2,0
nic fit,thopter sword,2,2
nic fit,stax,2,1
nic fit,painted stone,2,1
new horizons,white weenie,2,2
new horizons,painted stone,2,2
new horizons,no bant,2,1
mud,sultai delver,2,0
mud,stifle naught,2,0
mud,pox,2,1
mono white stoneblade,u/w landstill,2,0
mono white stax,stoneblade,2,0
mono white aggro,tes,2,1
mono white aggro,stoneblade,2,1
mono-white aggro,rug delver,2,1
mono green infect,stoneblade,2,0
mono green aggro,zoo,2,0
mono blue tempo,pox,2,2
mono blue,team america,2,1
mono-blue delver,rug delver,2,2
mono-blue control,white weenie,2,2
mono blue control,u/w/r visions,2,1
mono blue control,stiflenought,2,2
mono blue control,stax,2,2
mono blue control,omnitell,2,2
mono blue control,new horizons,2,2
mono black zombies,u/r delver,2,1
mono black,u/w tempo,2,1
mono black,threshold,2,2
mono black poison,stoneblade,2,0
mono black,painted stone,2,1
mono black midrange,sneak and show,2,1
mono black midrange,reanimator,2,1
mono black control,white weenie,2,1
mono black control,u/g vengevine,2,1
mono black control,stiflenaught,2,1
mono black control,sea drake stompy,2,1
mono black control,painted stone,2,1
miracles,walking dead,2,1
miracles,u/w landstill,2,0
miracles,u/g infect,2,2
miracles,u/g cloudpost,2,0
miracles,u/b tezzeret,2,1
miracles,u/b stax,2,1
miracles,stifle naught,2,1
miracles,sneak and through,2,1
miracles,rug midrange,2,0
miracles,peace helm,2,2
miracles,painter's grindstone,2,0
miracles,mud,2,2
miracles,mono white stax,2,1
miracleblade,u/b stax,2,0
miracleblade,team italia,2,1
miracleblade,sneak and show,2,2
miracleblade,reanimator,2,1
miracleblade,painter's grindstone,2,2
metalworker,u/w/r delver,2,1
metalworker,u/w midrange,2,2
metalworker,u/g madness,2,2
metalworker,u/b tezzeret,2,0
metalworker,twelvepost,2,2
metalworker,thopters,2,1
metalworker,the walking dead,2,1
metalworker,storm,2,0
metalworker,stifle naught,2,2
metalworker,rug,2,1
metalworker,mono black control,2,2
metalworker,mono black aggro,2,2
metalcraft,team america,2,1
metalcraft,stoneblade,2,2
metalcraft,stiflenought,2,0
mesmeric monolith,show and tell,2,1
mesmeric monolith,metalworker,2,2
merfolk,zombies,2,2
merfolk,white knights,2,0
merfolk,vampires,2,2
merfolk,u/w trinkets,2,0
merfolk,u/w/r stoneblade,2,1
merfolk,u/b tezzeret,2,1
merfolk,ubr,2,1
merfolk,turboland,2,2
merfolk,trinket control,2,0
merfolk,trinistax,2,1
merfolk,torpornought,2,2
merfolk,tooth and nail,2,2
merfolk,thopters,2,1
merfolk,tezzeret plating,2,2
merfolk,tezzeret control,2,2
merfolk,tezzeret,2,2
merfolk,sultai delver,2,0
merfolk,soul sisters,2,1
merfolk,shardless sultai,2,0
merfolk,r/w/b control,2,0
merfolk,r/u/g trinkets,2,2
merfolk,rug control,2,2
merfolk,rogue merfolk,2,2
merfolk,r/g/b beatdown,2,0
merfolk,opal leylines,2,2
merfolk,one land storm,2,1
merfolk,not sumbitted,2,1
merfolk,no naya,2,0
merfolk,no land dredge,2,0
merfolk,ninjas!,2,2
merfolk,mono red aggro,2,1
merfolk,mono green berserk,2,2
merfolk,mono blue tempo,2,2
merfolk,mono-blue control,2,1
merfolk,metalcraft,2,0
maverick,u/w stoneblade,2,0
maverick,u/g infect,2,1
maverick,u/b planeswalkers,2,1
maverick,super highlander,2,2
maverick,stiflenought,2,2
maverick,scepter chant,2,2
maverick,rug midrange,2,1
maverick,omniscience combo,2,0
maverick,no show,2,0
maverick,mono white stax,2,2
maverick,mono white shadow,2,2
maverick,mono white armageddon,2,1
maverick,mono green aggro,2,1
masticores!,merfolk,2,0
masknaught,maverick,2,1
manaless dredge,white weenie,2,2
manaless dredge,u/b faeries,2,1
manaless dredge,no rug,2,1
list missing,maverick,2,2
life,painted stone,2,1
leyline of singularity,mono black control,2,1
leyline of singularity,merfolk,2,0
leyline helm,rug delver,2,1
leyline helm,pox,2,1
leyline helm,omnitell,2,0
leyline helm,miracles,2,1
lands,u/w thopters,2,2
lands,u/w tempo,2,1
lands,u/w/r delver,2,2
lands,u/w/r control,2,2
lands,u/w miracles,2,0
lands,u/w landstill,2,2
lands,trinistax,2,1
landstill,white weenie,2,2
landstill,u/w tempo,2,1
landstill,sneak attack,2,1
landstill,sea drake stompy,2,0
landstill,natural order,2,1
landstill,mono black control,2,2
lands,tezzerator,2,1
lands,sultai control,2,2
lands,scepter chant,2,1
lands,rogue merfolk,2,2
lands,punishing jund,2,2
lands,painter's grindstone,2,0
lands,omni-tell,2,1
lands,not submitted,2,1
kobold storm,u/w stoneblade,2,2
kobolds,painted stone,2,0
kobold combo,rug delver,2,0
kavu fire,show and tell,2,0
junk,u/g madness,2,1
junk,thopters,2,0
junk,sneak and show,2,1
junk,omnitell,2,1
junk,no bug,2,0
junk,mono white armageddon,2,1
junk,manaless dredge,2,0
junk,kobolds!,2,1
junk,kavu fire,2,0
junk depths,tes,2,0
junk depths,show and tell,2,1
junk depths,rug,2,0
jund,zoo,2,1
jund,u/w/r miracles,2,0
jund,u/r delver,2,1
jund,the epic storm,2,0
jund,team america,2,1
jund,storm,2,0
jund,omni-tell,2,0
jund,no rug,2,0
jund,miracles,2,2
jund loam,merfolk,2,0
jund,lands,2,2
jund,junk midrange,2,1
jund depths,u/r delver,2,0
jeskai stoneblade,shardless sultai,2,0
jeskai stoneblade,metalworker,2,0
jeskai stoneblade,lands,2,2
jeskai delver,shardless sultai,2,1
jeskai delver,reanimator,2,0
jeskai delver,miracles,2,2
jeskai delver,maverick,2,1
jeskai control,miracles,2,2
jeskai control,jeskai stoneblade,2,1
jeskai ascendancy combo,u/r delver,2,1
jace control,merfolk,2,0
infect,u/w stoneblade,2,2
infect,u/w landstill,2,0
infect,u/r delver,2,1
infect,tezzeret metalcraft,2,0
infect,tezzeret control,2,1
infect,storm,2,0
infect,sneak and show,2,1
infect,rug visions,2,1
infect,mono blue control,2,1
infect,jund,2,2
imperial painter,u/w/r delver,2,0
imperial painter,jeskai delver,2,1
iggy pop,survival,2,1
hypergenesis,u/w control,2,0
hypergenesis,the walking dead,2,1
hypergenesis,team italia,2,2
hypergenesis,rug visions,2,1
hypergenesis,no bant,2,1
hypergenesis,mono black control,2,1
hulk,zoo,2,1
hulk rebirth,maverick,2,1
hulk,reanimator,2,2
hulk,merfolk,2,1
hulk combo,u/w stoneblade,2,1
hulk combo,u/w landstill,2,0
hulk combo,team america,2,0
hulk combo,no bant,2,0
hulk combo,metalworker,2,0
hive mind,u/w/r control,2,2
hive mind,thopter sword,2,2
hive mind,storm,2,2
hive mind,stiflenought,2,1
hive mind,rug visions,2,1
hive mind,painter's grindstone,2,2
hive mind,not submitted,2,2
hive mind,no toolbox,2,0
hive mind,mono-blue control,2,0
high tide,u/w visions,2,0
high tide,u/w/r landstill,2,0
high tide,thopter blade,2,0
high tide,stompy,2,0
high tide,stasis,2,0
high tide,slivers,2,0
high tide,not submitted,2,1
high tide,mono white aggro,2,1
high tide,mono-blue control,2,1
high tide,infect,2,1
hexmage depths,u/r delver,2,1
hexmage depths,team america,2,1
hexmage depths,no bant,2,1
hexmage depths,maverick,2,0
hexmage depths,lands,2,2
helm of the void,white weenie,2,0
helm of the void,team america,2,0
helm of the void,stoneblade,2,2
helm of the void,new horizons,2,1
helm of the void,natural order,2,1
g/w stoneblade,u/w/r stoneblade,2,2
g/w stoneblade,u/w landstill,2,0
g/w stoneblade,show and tell,2,0
g/w stoneblade,manaless dredge,2,2
g/w stoneblade,goblins,2,1
g/w stompy,reanimator,2,0
g/w stompy,merfolk,2,0
g/w humans,maverick,2,0
g/w/b stoneblade,zoo,2,1
g/w/b stoneblade,no rug,2,1
g/w/b stoneblade,merfolk,2,1
g/w/b rock,threshold,2,0
g/w/b rock,stax,2,2
g/w/b rock,new horizons,2,1
g/w/b rock,lands,2,1
g/w/b midrange,u/g infect,2,1
g/w/b midrange,the walking dead,2,1
g/w/b midrange,tes,2,2
g/w/b midrange,painter's grindstone,2,0
g/w/b midrange,mono red aggro,2,0
g/w/b fauna,painted stone,2,1
g/w/b control,threshold,2,2
g/w/b control,goblins,2,0
g/w/b beatdown,merfolk,2,1
g/w/b allies,merfolk,2,1
g/w/b aggro,no rug,2,0
g/w aggro,twelvepost,2,0
g/w aggro,stiflenought,2,1
g/w aggro,painted stone,2,0
g/w aggro,landstill,2,1
g/w aggro,infect,2,0
g/u beatdown,g/w/b beatdown,2,0
grixis welder,rug delver,2,2
grixis tempo,zoo,2,0
grixis faeries,reanimator,2,1
grixis delver,zoo,2,1
grixis delver,u/w control,2,2
grixis delver,temur delver,2,2
grixis delver,shardless bug,2,1
grixis delver,metalworker,2,1
grixis delver,high tide,2,1
grixis control,u/w stoneblade,2,0
grixis control,sultai delver,2,2
grixis control,storm,2,2
grixis control,rug delver,2,0
grixis control,no bant,2,1
grixis control,junk,2,1
grixis control,jeskai miracles,2,1
griselbrand storm,rug delver,2,1
griselbrand storm,reanimator,2,2
grindstone's servant,zoo,2,1
grindstone's servant,threshold,2,1
grindstone's servant,life,2,2
griffin canyon combo,pox,2,0
green & taxes,merfolk,2,1
goblins,zombies,2,2
goblins,wizards,2,2
goblins,white stoneblade,2,2
goblins,walking dead,2,1
goblins,u/r control,2,1
goblins,u/r,2,2
