deck1,deck2,n,w
bant,maverick,38,17
bant,burn,38,21
ant,painted stone,38,17
affinity,show and tell,38,22
merfolk,u/r delver,37,12
merfolk,stax,37,23
landstill,merfolk,37,12
enchantress,maverick,37,20
aggro loam,zoo,37,24
no rug,reanimator,36,19
miracles,omnitell,36,25
metalworker,zoo,36,17
merfolk,omnitell,36,14
maverick,tes,36,21
junk,metalworker,36,21
burn,pox,36,19
bant,elves,36,17
affinity,no bant,36,12
hive mind,reanimator,35,13
goblins,painted stone,35,12
burn,lands,35,19
burn,enchantress,35,12
ant,bant,35,11
painted stone,reanimator,34,19
merfolk,mono black control,34,15
maverick,zoo,34,19
landstill,zoo,34,17
junk,reanimator,34,25
goblins,omnitell,34,11
elves,enchantress,34,23
counter-top,high tide,34,20
bug landstill,stoneblade,34,16
aggro loam,maverick,34,18
affinity,metalworker,34,14
affinity,belcher,34,13
mono blue control,stoneblade,33,12
bug,sneak and show,33,16
bug,maverick,33,9
bant,no rug,33,14
aggro loam,goblins,33,13
rug delver,u/w control,32,19
nic fit,stoneblade,32,12
hive mind,no rug,32,10
high tide,reanimator,32,5
high tide,junk,32,13
g/w aggro,merfolk,32,17
goblins,new horizons,32,13
counter-top,painted stone,32,13
b/w aggro,merfolk,32,19
b/w aggro,merfolk,32,19
bug,u/r delver,32,9
ant,no bant,32,12
aggro loam,dredge,32,17
rug delver,team america,31,20
reanimator,tes,31,20
no bant,reanimator,31,18
mono blue control,zoo,31,15
infect,merfolk,31,6
elves,high tide,31,16
dredge,u/w landstill,31,16
death and taxes,u/r delver,31,13
death and taxes,rug delver,31,16
deadguy ale,rug delver,31,11
cephalid breakfast,merfolk,31,15
ant,maverick,31,22
aggro loam,reanimator,31,13
affinity,sneak and show,31,9
stoneblade,u/w control,30,12
metalworker,u/r delver,30,12
elves,show and tell,30,11
dredge,survival,30,8
counter-top,new horizons,30,14
burn,hive mind,30,11
aggro loam,rug delver,30,4
miracles,u/r delver,29,12
miracles,sneak and show,29,20
metalworker,team america,29,10
enchantress,junk,29,9
dredge,pox,29,15
counter-top,no bant,29,16
burn,u/w stoneblade,29,13
bug,dredge,29,14
belcher,u/r delver,29,15
belcher,miracles,29,9
bant,show and tell,29,15
maverick,nic fit,28,14
hypergenesis,stoneblade,28,10
hypergenesis,rug delver,28,11
hive mind,team america,28,8
g/w/b midrange,rug delver,28,10
enchantress,team america,28,6
dredge,no rug,28,13
dredge,hive mind,28,11
dragon stompy,merfolk,28,6
death and taxes,stoneblade,28,16
b/w weenie,merfolk,28,15
bug landstill,zoo,28,17
miracleblade,rug delver,27,10
hive mind,maverick,27,14
goblins,mono black control,27,14
death and taxes,elves,27,7
counter-top,metalworker,27,16
burn,no bant,27,12
bant,no bant,27,13
ant,enchantress,27,19
affinity,u/w landstill,27,15
affinity,enchantress,27,12
goblins,hive mind,26,12
elves,no bant,26,15
elves,lands,26,15
dream halls,rug delver,26,7
death and taxes,miracles,26,16
counter-top,g/w aggro,26,9
bug landstill,team america,26,12
belcher,junk,26,17
affinity,u/r delver,26,11
pox,reanimator,25,13
merfolk,threshold,25,14
junk,lands,25,12
elves,painted stone,25,15
bant,u/w stoneblade,25,15
ant,high tide,25,15
aluren,merfolk,25,9
sneak and show,u/w control,24,9
rug delver,the walking dead,24,15
painted stone,u/w landstill,24,10
new horizons,reanimator,24,17
merfolk,u/w/r control,24,9
maverick,show and tell,24,14
high tide,sneak and show,24,4
high tide,painted stone,24,10
enchantress,show and tell,24,9
enchantress,lands,24,12
elves,pox,24,13
elves,omnitell,24,8
dredge,u/w stoneblade,24,10
dream halls,merfolk,24,1
counter-top,landstill,24,11
burn,omnitell,24,10
bug,goblins,24,7
belcher,enchantress,24,13
bant,hive mind,24,10
affinity,pox,24,12
mono black control,zoo,23,5
metalworker,reanimator,23,8
junk,u/w landstill,23,6
hive mind,u/w stoneblade,23,13
high tide,show and tell,23,8
high tide,no bant,23,13
eva green,zoo,23,11
elves,hive mind,23,9
deadguy ale,stoneblade,23,10
belcher,painted stone,23,13
aggro loam,belcher,23,9
stax,stoneblade,22,7
painted stone,show and tell,22,8
lands,painted stone,22,8
goblins,tes,22,9
elves,no rug,22,7
counter-top,faeries,22,11
counter-top,eva green,22,8
b/w aggro,counter-top,22,14
b/w aggro,counter-top,22,14
burn,survival,22,9
belcher,survival,22,8
ant,metalworker,22,5
tes,zoo,21,12
maverick,u/w control,21,8
lands,miracles,21,10
g/w/b midrange,maverick,21,6
elves,tes,21,4
dredge,omnitell,21,9
dredge,mono blue control,21,11
death and taxes,reanimator,21,11
deadguy ale,maverick,21,10
counter-top,rug delver,21,9
bug,reanimator,21,15
bug landstill,dredge,21,11
belcher,team america,21,5
belcher,lands,21,11
bant,u/w landstill,21,10
bant,painted stone,21,6
bant,enchantress,21,13
affinity,no rug,21,5
pox,u/r delver,20,12
no rug,team america,20,9
no rug,painted stone,20,12
nic fit,u/r delver,20,11
miracles,pox,20,13
merfolk,white weenie,20,4
merfolk,u/w tempo,20,12
merfolk,rug,20,10
merfolk,pox,20,14
merfolk,nic fit,20,8
lands,new horizons,20,7
lands,maverick,20,10
junk,no rug,20,10
high tide,metalworker,20,10
g/w/b midrange,stoneblade,20,10
goblins,pox,20,7
dredge,hypergenesis,20,10
dredge,eva green,20,12
burn,no rug,20,4
burn,death and taxes,20,8
bug landstill,u/w landstill,20,10
bug,burn,20,3
affinity,u/w stoneblade,20,9
stax,zoo,19,9
reanimator,stax,19,10
mono blue control,reanimator,19,8
miracleblade,stoneblade,19,6
merfolk,u/w control,19,10
junk,rug delver,19,7
hypergenesis,maverick,19,11
goblins,landstill,19,10
dredge,threshold,19,9
dragon stompy,zoo,19,9
bant,high tide,19,8
ant,new horizons,19,7
affinity,miracles,19,5
affinity,lands,19,11
survival,threshold,18,8
omnitell,sneak and show,18,9
nic fit,sneak and show,18,7
merfolk,natural order,18,13
high tide,u/r delver,18,7
g/w/b midrange,miracles,18,9
g/w aggro,goblins,18,14
goblins,stax,18,11
dream halls,maverick,18,9
cephalid breakfast,dredge,18,13
bug,merfolk,18,4
bug delver,rug delver,18,12
belcher,metalworker,18,11
bant,belcher,18,14
assault loam,merfolk,18,10
affinity,survival,18,7
affinity,hive mind,18,8
affinity,bug,18,8
threshold,zoo,17,10
reanimator,survival,17,6
omnitell,u/r delver,17,8
no rug,u/w landstill,17,11
no bant,show and tell,17,10
landstill,survival,17,6
landstill,reanimator,17,9
lands,team america,17,7
g/w/b midrange,goblins,17,11
g/w aggro,zoo,17,6
grixis control,u/r delver,17,13
goblins,no rug,17,6
goblins,mono blue control,17,9
faeries,reanimator,17,6
eva green,reanimator,17,10
dredge,nic fit,17,7
dredge,mono black control,17,13
death and taxes,maverick,17,9
death and taxes,dredge,17,9
counter-top,threshold,17,10
counter-top,stax,17,10
counter-top,mono black control,17,13
canadian threshold,merfolk,17,6
b/w aggro,junk,17,6
b/w aggro,junk,17,6
belcher,show and tell,17,4
belcher,hive mind,17,5
bant,lands,17,5
aggro loam,counter-top,17,8
aggro loam,burn,17,6
affinity,tes,17,4
team america,u/w stoneblade,16,8
team america,tes,16,11
stoneblade,storm,16,9
show and tell,u/w stoneblade,16,7
omnitell,reanimator,16,8
new horizons,survival,16,7
mono blue control,u/w stoneblade,16,7
