Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15	
Steven Borakove	Orzhov (Yorion)	Jakob Thomas	2-1	Chris Pankiewicz	2-1	Rachel Feingersh	2-0	Ruochong Song	1-2	Jason Smith	2-0	Spencer Asral	1-2	Kyle Lisica	2-1	Edward Wightman	2-1	Ben Hewitt	2-0	Jaeden Woltjer	2-0	Jesse Campbell	2-0	Tom Hertfelder	2-1	Paul Raynes	2-0	Jon Barber	1-2	Michael Reed	0-0
Michael Reed	W-U-B-G Reanimator	Luke Tooker	2-0	Adam Barnett	2-1	Vincent Cichinski	2-0	RobinH	1-2	Harry Hackett	0-2	John Slimak	2-0	Jacob Milchman	1-2	westley stiffler	2-1	GrahamOliver	2-0	Max Deresh	2-1	Hart Horton	2-1	MatP21	2-0	Eric Hadam	2-0	Sam Lowe	2-1	Steven Borakove	0-0
Kemper Pogue	Rakdos Painter	Neal Sacks	1-2	Taber	2-1	Niklas Holtmann	2-0	kenton najdzien	2-1	codyphillips1991	0-2	Charlie Arto	2-0	Kiet Ngo	0-2	chalmersac	2-1	Andrew Frank	2-0	WBASnowman	2-0	Daniel Skutt	2-0	Samantha Murphy	2-1	cmwilson252	2-0	Tom Hertfelder	2-1	Avi Lessure	0-0
PatrickVincent	Mono-Red Stompy	Patrick O'Reilly	2-0	Ryan Freeburger	2-0	Casey Steiner	2-1	Jesse Campbell	2-1	GrahamOliver	0-2	Ian Ouellette	1-1	Spencer Warburton	2-0	James Pogue	2-1	LeianXu	2-0	Clair Bigelow	1-2	Joseph Hunt	0-2	doejurko	2-1	Alex Yatsenko	2-0	Ben Hewitt	2-1	RobinH	2-0
Louis Salerno	W-U-B-R-G Sneak and Show	Trevor Sharp	1-2	canj	2-0	newnoobontheblock	0-2	Yossi	2-0	Chris Neuteboom	2-1	TayR9	2-1	Thomas Genzman	1-2	Andrew Yu	2-1	ghostx02	2-1	MoB	2-0	Stephen Dupal	2-1	JaajWiiw	2-0	Beau Barnette	2-0	Wyland Tregear	2-0	Max Gilmore	0-0
Joseph Hunt	Bant Nadu Midrange Combo	indomitable	2-1	AlexanderGrosshans	0-2	Michael LeVine	2-0	Brian Cotton	1-1	EriY1	2-1	Ryan Jiang	2-1	ethantc1999	0-2	Stephen Green	2-0	Sasquatch1313	2-1	Reuben Musselman	2-1	PatrickVincent	2-0	Jaeseok Cho	1-2	Charles Noyce	2-0	Ethan Dunn	2-1	Sergei Pourmal	2-0
Avi Lessure	W-U-B-G Cephalid Breakfast	Weehee17	2-0	Max Garman	0-2	HarlequinZERO	2-1	Fastphotons	2-0	Blaise Koehler	2-0	Anthony Brown	0-2	Daphex	2-1	Julian John	2-0	Robert Arrington	2-1	George Magee	2-1	matthieu dupuy	2-1	Tommy Wray	1-2	Camari Bolger	2-0	ZeeSeeKay	2-1	Kemper Pogue	0-0
Max Gilmore	W-U-B-G Reanimator		Bye	Zach Stamper	0-2	Andrew Hampton	2-1	Zach Lotus	2-1	Justin 'IamActuallyLvL1' Gennari	0-2	Aced5	0-2	Cody Colston	2-1	Neal Sacks	2-1	Willjc	2-0		Bye	Laurent GADCHAUX	2-1	Jessy Hefner	2-1	Jesse Campbell	2-0	Paul Raynes	2-1	Louis Salerno	0-0
Sam Higgins	Orzhov Death and Taxes (Yorion)	Casey Geist	2-1	Matthew Vook	0-2	Miguel Chavez	0-2	Taylor Abbott	2-1	Chrissalvatore121	2-0	Austin Wolf	2-0	Arjun Talpallikar	2-1	kwschlosser	2-1	UrPalAndrew	2-0	Sergei Pourmal	1-2	doejurko	1-1	James Pogue	2-0	ethantc1999	2-1	Ross Berkowitz	2-1	Dan Atkins	2-1
Tom Hertfelder	W-U-B-G Reanimator	Caleb Rider	2-1	John Slimak	2-1	Joshua Cronk	2-0	Taylor Herfindahl	2-1	Jay Wojciechowski	0-2	Lirek Kulik	2-0	Kieran MacDuff	2-1	Eric Ratkowski	1-2	SLEEKYx16	2-1	Sam Castrucci	2-1	Jesse Inman	2-1	Steven Borakove	1-2	faultedform	2-0	Kemper Pogue	1-2	Paul Raynes	2-1
