Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Jack-o'-Lantern                                          |    16 |  2.37% |          15 |           3 |      83-67-2 | 55.26% | 2733-2749-88 |  49.86% |    80-64-2 |    55.48% |
| Sundering Eruption // Volcanic Fissure                   |    16 |  2.37% |          49 |           1 |      37-73-0 | 33.64% | 2779-2743-90 |  50.32% |    37-73-0 |    33.64% |
| Thespian's Stage                                         |    16 |  2.37% |          42 |           0 |      65-70-4 | 48.20% | 2751-2746-86 |  50.04% |    64-69-4 |    48.18% |
| Burning Wish                                             |    15 |  2.23% |          48 |           0 |      58-65-1 | 47.18% | 2758-2751-89 |  50.06% |    58-65-1 |    47.18% |
| Shatterskull Smashing // Shatterskull, the Hammer Pass   |    15 |  2.23% |          34 |           0 |      41-66-0 | 38.32% | 2775-2750-90 |  50.22% |    41-66-0 |    38.32% |
| Taiga                                                    |    15 |  2.23% |          15 |           0 |      48-67-1 | 41.81% | 2768-2749-89 |  50.17% |    47-66-1 |    41.67% |
| Teferi, Time Raveler                                     |    15 |  2.23% |          25 |           1 |      54-64-1 | 45.80% | 2762-2752-89 |  50.09% |    53-63-1 |    45.73% |
| Yggdrasil, Rebirth Engine                                |    15 |  2.23% |          10 |          13 |      56-69-2 | 44.88% | 2760-2747-88 |  50.12% |    55-68-2 |    44.80% |
| Baleful Strix                                            |    14 |  2.08% |          32 |           3 |      61-56-3 | 52.08% | 2755-2760-87 |  49.96% |    60-55-3 |    52.12% |
| Empty the Warrens                                        |    14 |  2.08% |           4 |          14 |      56-64-0 | 46.67% | 2760-2752-90 |  50.07% |    56-64-0 |    46.67% |
| Fiery Confluence                                         |    14 |  2.08% |           1 |          23 |      39-63-0 | 38.24% | 2777-2753-90 |  50.21% |    39-63-0 |    38.24% |
| Fire Magic                                               |    14 |  2.08% |           0 |          14 |      50-51-4 | 49.52% | 2766-2765-86 |  50.01% |    50-51-4 |    49.52% |
| Ghost Quarter                                            |    14 |  2.08% |          13 |           4 |      64-61-3 | 51.17% | 2752-2755-87 |  49.97% |    64-61-3 |    51.17% |
| Goblin Charbelcher                                       |    14 |  2.08% |          10 |          41 |      74-59-2 | 55.56% | 2742-2757-88 |  49.87% |    72-57-2 |    55.73% |
| Grindstone                                               |    14 |  2.08% |          30 |           2 |      47-65-0 | 41.96% | 2769-2751-90 |  50.16% |    46-64-0 |    41.82% |
| Guide of Souls                                           |    14 |  2.08% |          56 |           0 |      64-56-2 | 53.28% | 2752-2760-88 |  49.93% |    63-55-2 |    53.33% |
| Icetill Explorer                                         |    14 |  2.08% |          15 |           0 |      75-60-3 | 55.43% | 2741-2756-87 |  49.87% |    74-59-3 |    55.51% |
| Malevolent Rumble                                        |    14 |  2.08% |          48 |           0 |      73-62-3 | 53.99% | 2743-2754-87 |  49.90% |    73-62-3 |    53.99% |
| Ocelot Pride                                             |    14 |  2.08% |          56 |           0 |      64-56-2 | 53.28% | 2752-2760-88 |  49.93% |    63-55-2 |    53.33% |
| Overlord of the Balemurk                                 |    14 |  2.08% |          52 |           0 |      73-57-6 | 55.88% | 2743-2759-84 |  49.86% |    72-56-4 |    56.06% |
| Painter's Servant                                        |    14 |  2.08% |          55 |           1 |      47-65-0 | 41.96% | 2769-2751-90 |  50.16% |    46-64-0 |    41.82% |
| The Tabernacle at Pendrell Vale                          |    14 |  2.08% |          12 |           2 |      67-58-5 | 53.46% | 2749-2758-85 |  49.92% |    64-55-5 |    53.63% |
| Wishclaw Talisman                                        |    14 |  2.08% |          20 |           0 |      62-56-2 | 52.50% | 2754-2760-88 |  49.95% |    62-56-2 |    52.50% |
| Cunning Wish                                             |    13 |  1.93% |          37 |           0 |      39-55-0 | 41.49% | 2777-2761-90 |  50.14% |    38-54-0 |    41.30% |
| Great Furnace                                            |    13 |  1.93% |          25 |           0 |      39-56-0 | 41.05% | 2777-2760-90 |  50.15% |    39-56-0 |    41.05% |
| It That Heralds the End                                  |    13 |  1.93% |          38 |           0 |      84-54-2 | 60.71% | 2732-2762-88 |  49.73% |    83-53-2 |    60.87% |
| Long Goodbye                                             |    13 |  1.93% |           0 |          13 |      57-49-1 | 53.74% | 2759-2767-89 |  49.93% |    55-47-1 |    53.88% |
| Moonsnare Prototype                                      |    13 |  1.93% |           0 |          13 |      53-58-1 | 47.77% | 2763-2758-89 |  50.04% |    53-58-1 |    47.77% |
| Natural Order                                            |    13 |  1.93% |          43 |           4 |      59-60-2 | 49.59% | 2757-2756-88 |  50.01% |    59-60-2 |    49.59% |
| Opposition Agent                                         |    13 |  1.93% |           7 |          17 |      46-53-4 | 46.60% | 2770-2763-86 |  50.06% |    45-52-4 |    46.53% |
| Ravenous Trap                                            |    13 |  1.93% |           0 |          38 |      38-58-2 | 39.80% | 2778-2758-88 |  50.18% |    38-58-2 |    39.80% |
| Snow-Covered Plains                                      |    13 |  1.93% |          21 |           0 |      38-57-1 | 40.10% | 2778-2759-89 |  50.17% |    37-56-1 |    39.89% |
| Snow-Covered Swamp                                       |    13 |  1.93% |          15 |           0 |      59-56-2 | 51.28% | 2757-2760-88 |  49.97% |    57-54-2 |    51.33% |
| Triumph of Saint Katherine                               |    13 |  1.93% |           8 |          15 |      59-52-5 | 53.02% | 2757-2764-85 |  49.94% |    58-51-5 |    53.07% |
| Unmask                                                   |    13 |  1.93% |          43 |           8 |      53-56-1 | 48.64% | 2763-2760-89 |  50.03% |    50-53-1 |    48.56% |
| Witherbloom Apprentice                                   |    13 |  1.93% |           0 |          29 |      52-56-0 | 48.15% | 2764-2760-90 |  50.04% |    50-54-0 |    48.08% |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger            |    12 |  1.78% |          48 |           0 |      53-48-2 | 52.43% | 2763-2768-88 |  49.96% |    53-48-2 |    52.43% |
| Basalt Monolith                                          |    12 |  1.78% |          15 |           0 |      35-47-0 | 42.68% | 2781-2769-90 |  50.11% |    35-47-0 |    42.68% |
| Chain Lightning                                          |    12 |  1.78% |          20 |           0 |      36-45-1 | 44.51% | 2780-2771-89 |  50.08% |    34-43-1 |    44.23% |
| Chain of Vapor                                           |    12 |  1.78% |           1 |          19 |      64-50-2 | 56.03% | 2752-2766-88 |  49.88% |    64-50-2 |    56.03% |
| Chaos Defiler                                            |    12 |  1.78% |          12 |           0 |      46-51-0 | 47.42% | 2770-2765-90 |  50.04% |    46-51-0 |    47.42% |
| Fiend Artisan                                            |    12 |  1.78% |          32 |           0 |      56-53-2 | 51.35% | 2760-2763-88 |  49.97% |    56-53-2 |    51.35% |
| Goblin Engineer                                          |    12 |  1.78% |          48 |           0 |      38-52-0 | 42.22% | 2778-2764-90 |  50.12% |    38-52-0 |    42.22% |
| Goblin Welder                                            |    12 |  1.78% |          45 |           0 |      38-52-0 | 42.22% | 2778-2764-90 |  50.12% |    38-52-0 |    42.22% |
| Lush Portico                                             |    12 |  1.78% |          12 |           0 |      33-46-2 | 41.98% | 2783-2770-88 |  50.12% |    31-44-2 |    41.56% |
| Mystic Sanctuary                                         |    12 |  1.78% |          15 |           0 |      57-43-3 | 56.80% | 2759-2773-87 |  49.88% |    57-43-3 |    56.80% |
| Plague Engineer                                          |    12 |  1.78% |           3 |          13 |      36-48-5 | 43.26% | 2780-2768-85 |  50.11% |    35-47-5 |    43.10% |
| Raucous Theater                                          |    12 |  1.78% |          14 |           0 |      49-48-2 | 50.51% | 2767-2768-88 |  49.99% |    49-48-2 |    50.51% |
| Recruiter of the Guard                                   |    12 |  1.78% |          40 |           1 |      68-46-7 | 59.09% | 2748-2770-83 |  49.80% |    67-45-5 |    59.40% |
| Talisman of Impulse                                      |    12 |  1.78% |          14 |           0 |      27-49-0 | 35.53% | 2789-2767-90 |  50.19% |    26-48-0 |    35.14% |
| Torpor Orb                                               |    12 |  1.78% |           0 |          16 |      64-51-4 | 55.46% | 2752-2765-86 |  49.88% |    63-50-4 |    55.56% |
| Witherbloom Command                                      |    12 |  1.78% |          24 |           0 |      47-46-2 | 50.53% | 2769-2770-88 |  49.99% |    47-46-2 |    50.53% |
| Anticausal Vestige                                       |    11 |  1.63% |          15 |           0 |      37-47-1 | 44.12% | 2779-2769-89 |  50.09% |    36-46-1 |    43.98% |
| Craterhoof Behemoth                                      |    11 |  1.63% |          11 |           0 |      55-52-1 | 51.39% | 2761-2764-89 |  49.97% |    55-52-1 |    51.39% |
| Cyclonic Rift                                            |    11 |  1.63% |           9 |           3 |      51-47-1 | 52.02% | 2765-2769-89 |  49.96% |    50-46-1 |    52.06% |
| Doorkeeper Thrull                                        |    11 |  1.63% |           9 |          14 |      42-48-2 | 46.74% | 2774-2768-88 |  50.05% |    40-46-2 |    46.59% |
| Elvish Reclaimer                                         |    11 |  1.63% |          31 |           6 |      41-45-2 | 47.73% | 2775-2771-88 |  50.04% |    40-44-2 |    47.67% |
| Forth Eorlingas!                                         |    11 |  1.63% |          16 |           0 |      29-40-3 | 42.36% | 2787-2776-87 |  50.10% |    29-40-3 |    42.36% |
| Keen-Eyed Curator                                        |    11 |  1.63% |           9 |           2 |      48-49-2 | 49.49% | 2768-2767-88 |  50.01% |    48-49-2 |    49.49% |
| Quirion Ranger                                           |    11 |  1.63% |          25 |           0 |      50-52-1 | 49.03% | 2766-2764-89 |  50.02% |    50-52-1 |    49.03% |
| Seasoned Dungeoneer                                      |    11 |  1.63% |          40 |           2 |      39-50-0 | 43.82% | 2777-2766-90 |  50.10% |    38-49-0 |    43.68% |
| Sejiri Steppe                                            |    11 |  1.63% |          11 |           0 |      54-48-4 | 52.83% | 2762-2768-86 |  49.95% |    53-47-4 |    52.88% |
| Shared Summons                                           |    11 |  1.63% |           0 |          11 |      34-46-0 | 42.50% | 2782-2770-90 |  50.11% |    33-45-0 |    42.31% |
| True-Name Nemesis                                        |    11 |  1.63% |          13 |           8 |      32-44-0 | 42.11% | 2784-2772-90 |  50.11% |    32-44-0 |    42.11% |
| Wan Shi Tong, Librarian                                  |    11 |  1.63% |          15 |           0 |      47-48-0 | 49.47% | 2769-2768-90 |  50.01% |    47-48-0 |    49.47% |
| Abhorrent Oculus                                         |    10 |  1.48% |          19 |           2 |      45-43-2 | 51.11% | 2771-2773-88 |  49.98% |    45-43-2 |    51.11% |
| Agatha's Soul Cauldron                                   |    10 |  1.48% |          29 |           0 |      36-43-1 | 45.62% | 2780-2773-89 |  50.06% |    35-42-1 |    45.51% |
| Bridge from Below                                        |    10 |  1.48% |          19 |           0 |      45-38-2 | 54.12% | 2771-2778-88 |  49.94% |    44-37-2 |    54.22% |
| Echo of Eons                                             |    10 |  1.48% |          29 |           8 |      33-46-0 | 41.77% | 2783-2770-90 |  50.12% |    33-46-0 |    41.77% |
| Flickerwisp                                              |    10 |  1.48% |          14 |           0 |      65-39-6 | 61.82% | 2751-2777-84 |  49.77% |    65-39-4 |    62.04% |
| Hide on the Ceiling                                      |    10 |  1.48% |           0 |          11 |      40-38-1 | 51.27% | 2776-2778-89 |  49.98% |    39-37-1 |    51.30% |
| Intuition                                                |    10 |  1.48% |           9 |           2 |      37-39-1 | 48.70% | 2779-2777-89 |  50.02% |    37-39-1 |    48.70% |
| Memory Guardian                                          |    10 |  1.48% |          36 |           2 |      39-40-2 | 49.38% | 2777-2776-88 |  50.01% |    39-40-2 |    49.38% |
| Mishra's Research Desk                                   |    10 |  1.48% |          10 |           0 |      38-44-2 | 46.43% | 2778-2772-88 |  50.05% |    37-43-2 |    46.34% |
| Murderous Cut                                            |    10 |  1.48% |          16 |           0 |      44-40-1 | 52.35% | 2772-2776-89 |  49.96% |    44-40-1 |    52.35% |
| Narset, Parter of Veils                                  |    10 |  1.48% |          16 |           3 |      53-37-3 | 58.60% | 2763-2779-87 |  49.86% |    53-37-3 |    58.60% |
| Noble Hierarch                                           |    10 |  1.48% |          31 |           0 |      45-46-0 | 49.45% | 2771-2770-90 |  50.01% |    45-46-0 |    49.45% |
| Phyrexian Dragon Engine                                  |    10 |  1.48% |          10 |           0 |      31-44-0 | 41.33% | 2785-2772-90 |  50.12% |    31-44-0 |    41.33% |
| Progenitus                                               |    10 |  1.48% |           0 |          10 |      51-42-1 | 54.79% | 2765-2774-89 |  49.92% |    49-40-1 |    55.00% |
| Skyclave Apparition                                      |    10 |  1.48% |          31 |           0 |      65-39-6 | 61.82% | 2751-2777-84 |  49.77% |    65-39-4 |    62.04% |
| Snapcaster Mage                                          |    10 |  1.48% |          15 |           3 |      29-38-1 | 43.38% | 2787-2778-89 |  50.08% |    29-38-1 |    43.38% |
| Snow-Covered Forest                                      |    10 |  1.48% |          19 |           0 |      36-40-2 | 47.44% | 2780-2776-88 |  50.04% |    36-40-2 |    47.44% |
| Stormscale Scion                                         |    10 |  1.48% |           2 |           8 |      46-42-1 | 52.25% | 2770-2774-89 |  49.96% |    45-41-1 |    52.30% |
| Sublime Epiphany                                         |    10 |  1.48% |           0 |          10 |      27-44-0 | 38.03% | 2789-2772-90 |  50.15% |    26-43-0 |    37.68% |
| Sylvan Safekeeper                                        |    10 |  1.48% |          10 |           0 |      48-45-1 | 51.60% | 2768-2771-89 |  49.97% |    48-45-1 |    51.60% |
| Tainted Indulgence                                       |    10 |  1.48% |          22 |           0 |      45-43-0 | 51.14% | 2771-2773-90 |  49.98% |    45-43-0 |    51.14% |
| Talon Gates of Madara                                    |    10 |  1.48% |          16 |           0 |      51-41-1 | 55.38% | 2765-2775-89 |  49.91% |    50-40-1 |    55.49% |
| Through the Breach                                       |    10 |  1.48% |           2 |          12 |      51-39-1 | 56.59% | 2765-2777-89 |  49.89% |    51-39-1 |    56.59% |
| Arena of Glory                                           |     9 |  1.34% |           9 |           0 |      34-36-0 | 48.57% | 2782-2780-90 |  50.02% |    34-36-0 |    48.57% |
| Boomerang Basics                                         |     9 |  1.34% |           8 |          18 |      33-40-0 | 45.21% | 2783-2776-90 |  50.06% |    33-40-0 |    45.21% |
| Caves of Chaos Adventurer                                |     9 |  1.34% |          30 |           0 |      37-41-0 | 47.44% | 2779-2775-90 |  50.04% |    36-40-0 |    47.37% |
| Chancellor of the Annex                                  |     9 |  1.34% |          11 |           5 |      43-38-1 | 53.05% | 2773-2778-89 |  49.96% |    42-37-1 |    53.12% |
| Exploration                                              |     9 |  1.34% |          36 |           0 |      47-39-3 | 54.49% | 2769-2777-87 |  49.93% |    47-39-3 |    54.49% |
| Katara, Waterbending Master                              |     9 |  1.34% |          30 |           0 |      50-36-3 | 57.87% | 2766-2780-87 |  49.88% |    50-36-3 |    57.87% |
| Lion Sash                                                |     9 |  1.34% |           9 |           0 |      60-36-5 | 61.88% | 2756-2780-85 |  49.79% |    60-36-3 |    62.12% |
| Lotleth Giant                                            |     9 |  1.34% |           0 |           9 |      41-39-0 | 51.25% | 2775-2777-90 |  49.98% |    39-37-0 |    51.32% |
| Molten Collapse                                          |     9 |  1.34% |           9 |           4 |      50-39-2 | 56.04% | 2766-2777-88 |  49.90% |    49-38-2 |    56.18% |
| Path to Exile                                            |     9 |  1.34% |           0 |          11 |      46-31-4 | 59.26% | 2770-2785-86 |  49.87% |    45-30-2 |    59.74% |
| Stern Scolding                                           |     9 |  1.34% |           7 |           6 |      34-33-2 | 50.72% | 2782-2783-88 |  49.99% |    34-33-2 |    50.72% |
| Thoughtcast                                              |     9 |  1.34% |          28 |           0 |      44-45-1 | 49.44% | 2772-2771-89 |  50.01% |    44-45-1 |    49.44% |
| Voice of Victory                                         |     9 |  1.34% |          35 |           0 |      53-35-1 | 60.11% | 2763-2781-89 |  49.84% |    52-34-1 |    60.34% |
| Allosaurus Shepherd                                      |     8 |  1.19% |          32 |           0 |      36-39-1 | 48.03% | 2780-2777-89 |  50.03% |    36-39-1 |    48.03% |
| Amped Raptor                                             |     8 |  1.19% |          32 |           0 |      47-31-1 | 60.13% | 2769-2785-89 |  49.86% |    47-31-1 |    60.13% |
| Ancient Grudge                                           |     8 |  1.19% |           0 |          13 |      44-32-1 | 57.79% | 2772-2784-89 |  49.89% |    44-32-1 |    57.79% |
| Anointed Peacekeeper                                     |     8 |  1.19% |          25 |           4 |      31-36-0 | 46.27% | 2785-2780-90 |  50.04% |    31-36-0 |    46.27% |
| Birds of Paradise                                        |     8 |  1.19% |          13 |           0 |      41-34-2 | 54.55% | 2775-2782-88 |  49.94% |    41-34-2 |    54.55% |
| Blast Zone                                               |     8 |  1.19% |           5 |           6 |      26-32-0 | 44.83% | 2790-2784-90 |  50.05% |    26-32-0 |    44.83% |
| Celestial Purge                                          |     8 |  1.19% |           0 |          11 |      55-28-3 | 65.70% | 2761-2788-87 |  49.76% |    55-28-3 |    65.70% |
| Elegant Parlor                                           |     8 |  1.19% |           9 |           0 |      47-31-1 | 60.13% | 2769-2785-89 |  49.86% |    47-31-1 |    60.13% |
| Galvanic Relay                                           |     8 |  1.19% |           0 |           8 |      36-37-0 | 49.32% | 2780-2779-90 |  50.01% |    36-37-0 |    49.32% |
| Goblin Bombardment                                       |     8 |  1.19% |          16 |           0 |      47-31-1 | 60.13% | 2769-2785-89 |  49.86% |    47-31-1 |    60.13% |
| Goblin Cratermaker                                       |     8 |  1.19% |           1 |           8 |      34-32-0 | 51.52% | 2782-2784-90 |  49.98% |    34-32-0 |    51.52% |
| Ignoble Hierarch                                         |     8 |  1.19% |          25 |           0 |      40-33-2 | 54.67% | 2776-2783-88 |  49.94% |    40-33-2 |    54.67% |
| Knight of the Reliquary                                  |     8 |  1.19% |          22 |           0 |      25-32-1 | 43.97% | 2791-2784-89 |  50.06% |    24-31-1 |    43.75% |
| Living Wish                                              |     8 |  1.19% |           9 |           0 |      40-32-1 | 55.48% | 2776-2784-89 |  49.93% |    40-32-1 |    55.48% |
| Mai, Scornful Striker                                    |     8 |  1.19% |           8 |           9 |      19-38-0 | 33.33% | 2797-2778-90 |  50.17% |    18-37-0 |    32.73% |
| Personal Tutor                                           |     8 |  1.19% |          25 |           0 |      40-34-0 | 54.05% | 2776-2782-90 |  49.95% |    40-34-0 |    54.05% |
| Pick Your Poison                                         |     8 |  1.19% |           0 |          12 |      31-30-3 | 50.78% | 2785-2786-87 |  49.99% |    31-30-3 |    50.78% |
| Seething Song                                            |     8 |  1.19% |          26 |           5 |      33-36-0 | 47.83% | 2783-2780-90 |  50.03% |    33-36-0 |    47.83% |
| Shenanigans                                              |     8 |  1.19% |           0 |          10 |      42-37-3 | 53.05% | 2774-2779-87 |  49.96% |    42-37-3 |    53.05% |
| Static Prison                                            |     8 |  1.19% |          13 |           6 |      41-32-1 | 56.08% | 2775-2784-89 |  49.92% |    41-32-1 |    56.08% |
| Sylvan Library                                           |     8 |  1.19% |           9 |           4 |      26-28-2 | 48.21% | 2790-2788-88 |  50.02% |    26-28-2 |    48.21% |
| The Stone Brain                                          |     8 |  1.19% |           0 |           9 |      42-34-0 | 55.26% | 2774-2782-90 |  49.93% |    40-32-0 |    55.56% |
| Urborg, Tomb of Yawgmoth                                 |     8 |  1.19% |          17 |           0 |      21-31-2 | 40.74% | 2795-2785-88 |  50.09% |    20-30-2 |    40.38% |
| Archon of Emeria                                         |     7 |  1.04% |          18 |           5 |      29-34-0 | 46.03% | 2787-2782-90 |  50.04% |    28-33-0 |    45.90% |
| Cecil, Dark Knight // Cecil, Redeemed Paladin            |     7 |  1.04% |          11 |           4 |      17-32-1 | 35.00% | 2799-2784-89 |  50.13% |    17-32-1 |    35.00% |
| Collective Brutality                                     |     7 |  1.04% |          12 |           2 |      32-28-0 | 53.33% | 2784-2788-90 |  49.96% |    32-28-0 |    53.33% |
| Faithless Looting                                        |     7 |  1.04% |          28 |           0 |      36-32-1 | 52.90% | 2780-2784-89 |  49.96% |    36-32-1 |    52.90% |
| Gamble                                                   |     7 |  1.04% |          26 |           1 |      27-32-0 | 45.76% | 2789-2784-90 |  50.04% |    27-32-0 |    45.76% |
| Legolas's Quick Reflexes                                 |     7 |  1.04% |          16 |           4 |      35-31-2 | 52.94% | 2781-2785-88 |  49.96% |    34-30-2 |    53.03% |
| Mystical Dispute                                         |     7 |  1.04% |           0 |           8 |      29-27-1 | 51.75% | 2787-2789-89 |  49.98% |    29-27-1 |    51.75% |
| Peer into the Abyss                                      |     7 |  1.04% |           0 |           7 |      29-27-1 | 51.75% | 2787-2789-89 |  49.98% |    29-27-1 |    51.75% |
| Reclamation Sage                                         |     7 |  1.04% |           2 |           5 |      29-33-0 | 46.77% | 2787-2783-90 |  50.04% |    29-33-0 |    46.77% |
| Retrofitter Foundry                                      |     7 |  1.04% |           9 |           0 |      27-29-2 | 48.28% | 2789-2787-88 |  50.02% |    26-28-2 |    48.21% |
| Roiling Dragonstorm                                      |     7 |  1.04% |          14 |           0 |      24-29-0 | 45.28% | 2792-2787-90 |  50.04% |    24-29-0 |    45.28% |
| Thought Monitor                                          |     7 |  1.04% |          15 |           0 |      41-34-1 | 54.61% | 2775-2782-89 |  49.94% |    41-34-1 |    54.61% |
| Assassin's Trophy                                        |     6 |  0.89% |           2 |          10 |      22-26-0 | 45.83% | 2794-2790-90 |  50.04% |    21-25-0 |    45.65% |
| Cephalid Illusionist                                     |     6 |  0.89% |          24 |           0 |      25-27-0 | 48.08% | 2791-2789-90 |  50.02% |    25-27-0 |    48.08% |
| Chain of Smog                                            |     6 |  0.89% |           0 |          24 |      22-27-0 | 44.90% | 2794-2789-90 |  50.04% |    22-27-0 |    44.90% |
| Counterbalance                                           |     6 |  0.89% |           1 |           5 |      44-24-1 | 64.49% | 2772-2792-89 |  49.82% |    42-22-1 |    65.38% |
| Echoing Deeps                                            |     6 |  0.89% |           6 |           0 |      16-25-1 | 39.29% | 2800-2791-89 |  50.08% |    15-24-1 |    38.75% |
| Elemental Eruption                                       |     6 |  0.89% |           0 |           6 |      27-26-1 | 50.93% | 2789-2790-89 |  49.99% |    27-26-1 |    50.93% |
| Eumidian Hatchery                                        |     6 |  0.89% |          23 |           0 |      24-25-1 | 49.00% | 2792-2791-89 |  50.01% |    24-25-1 |    49.00% |
| Feed the Cycle                                           |     6 |  0.89% |           2 |           5 |      40-22-1 | 64.29% | 2776-2794-89 |  49.84% |    40-22-1 |    64.29% |
| Firemind's Foresight                                     |     6 |  0.89% |           0 |           6 |      18-25-0 | 41.86% | 2798-2791-90 |  50.06% |    18-25-0 |    41.86% |
| Flame of Anor                                            |     6 |  0.89% |          20 |           0 |      22-23-4 | 48.98% | 2794-2793-86 |  50.01% |    22-23-4 |    48.98% |
| Loran of the Third Path                                  |     6 |  0.89% |           0 |           6 |      29-22-2 | 56.60% | 2787-2794-88 |  49.94% |    29-22-2 |    56.60% |
| Pyrogoyf                                                 |     6 |  0.89% |          20 |           0 |       7-27-0 | 20.59% | 2809-2789-90 |  50.18% |     7-27-0 |    20.59% |
| Rite of Flame                                            |     6 |  0.89% |          23 |           1 |      28-26-0 | 51.85% | 2788-2790-90 |  49.98% |    28-26-0 |    51.85% |
| Shallow Grave                                            |     6 |  0.89% |          17 |           0 |      26-26-0 | 50.00% | 2790-2790-90 |  50.00% |    25-25-0 |    50.00% |
| Sheoldred, the Apocalypse                                |     6 |  0.89% |           5 |           4 |      20-29-0 | 40.82% | 2796-2787-90 |  50.08% |    20-29-0 |    40.82% |
| Shuko                                                    |     6 |  0.89% |          15 |           0 |      25-27-0 | 48.08% | 2791-2789-90 |  50.02% |    25-27-0 |    48.08% |
| Smallpox                                                 |     6 |  0.89% |          24 |           0 |      24-25-1 | 49.00% | 2792-2791-89 |  50.01% |    24-25-1 |    49.00% |
| Stormchaser's Talent                                     |     6 |  0.89% |          21 |           0 |      18-22-1 | 45.12% | 2798-2794-89 |  50.04% |    18-22-1 |    45.12% |
| Supreme Verdict                                          |     6 |  0.89% |           5 |           3 |      30-28-1 | 51.69% | 2786-2788-89 |  49.98% |    30-28-1 |    51.69% |
| Talisman of Creativity                                   |     6 |  0.89% |           6 |           0 |      16-26-0 | 38.10% | 2800-2790-90 |  50.09% |    16-26-0 |    38.10% |
| Terminus                                                 |     6 |  0.89% |           7 |           5 |      39-24-5 | 61.03% | 2777-2792-85 |  49.87% |    39-24-5 |    61.03% |
| Touch the Spirit Realm                                   |     6 |  0.89% |           6 |           4 |      23-30-0 | 43.40% | 2793-2786-90 |  50.06% |    22-29-0 |    43.14% |
| Alpha Deathclaw                                          |     5 |  0.74% |           1 |           4 |      34-19-2 | 63.64% | 2782-2797-88 |  49.87% |    34-19-2 |    63.64% |
| Auroral Procession                                       |     5 |  0.74% |           7 |           0 |      13-22-0 | 37.14% | 2803-2794-90 |  50.08% |    13-22-0 |    37.14% |
| Cling to Dust                                            |     5 |  0.74% |           3 |           2 |      17-16-3 | 51.39% | 2799-2800-87 |  49.99% |    17-16-3 |    51.39% |
| Dead // Gone                                             |     5 |  0.74% |           0 |           8 |      11-24-0 | 31.43% | 2805-2792-90 |  50.11% |    11-24-0 |    31.43% |
| Desperate Ritual                                         |     5 |  0.74% |          19 |           0 |      20-23-0 | 46.51% | 2796-2793-90 |  50.03% |    20-23-0 |    46.51% |
| Energy Flux                                              |     5 |  0.74% |           0 |           8 |      19-19-0 | 50.00% | 2797-2797-90 |  50.00% |    18-18-0 |    50.00% |
| Flagstones of Trokair                                    |     5 |  0.74% |           7 |           0 |      16-20-1 | 44.59% | 2800-2796-89 |  50.04% |    15-19-1 |    44.29% |
| Floodpits Drowner                                        |     5 |  0.74% |          14 |           0 |      10-21-0 | 32.26% | 2806-2795-90 |  50.10% |    10-21-0 |    32.26% |
| Gemstone Caverns                                         |     5 |  0.74% |           5 |           0 |      35-21-1 | 62.28% | 2781-2795-89 |  49.88% |    34-20-1 |    62.73% |
| Goblin Rabblemaster                                      |     5 |  0.74% |          17 |           0 |      20-22-0 | 47.62% | 2796-2794-90 |  50.02% |    20-22-0 |    47.62% |
| Hogaak, Arisen Necropolis                                |     5 |  0.74% |          13 |           0 |      16-19-0 | 45.71% | 2800-2797-90 |  50.03% |    16-19-0 |    45.71% |
| Hurkyl's Recall                                          |     5 |  0.74% |           0 |           6 |      21-23-0 | 47.73% | 2795-2793-90 |  50.02% |    21-23-0 |    47.73% |
| Ideas Unbound                                            |     5 |  0.74% |           5 |           0 |      26-21-0 | 55.32% | 2790-2795-90 |  49.96% |    26-21-0 |    55.32% |
| Ingenious Infiltrator                                    |     5 |  0.74% |          10 |           0 |      22-21-0 | 51.16% | 2794-2795-90 |  49.99% |    22-21-0 |    51.16% |
| Jeska's Will                                             |     5 |  0.74% |          13 |           4 |      25-22-0 | 53.19% | 2791-2794-90 |  49.97% |    25-22-0 |    53.19% |
| Llanowar Elves                                           |     5 |  0.74% |          16 |           0 |      28-25-1 | 52.78% | 2788-2791-89 |  49.97% |    28-25-1 |    52.78% |
| Metallic Rebuke                                          |     5 |  0.74% |           8 |           0 |      26-26-1 | 50.00% | 2790-2790-89 |  50.00% |    26-26-1 |    50.00% |
| Ornithopter                                              |     5 |  0.74% |          13 |           0 |      22-21-0 | 51.16% | 2794-2795-90 |  49.99% |    22-21-0 |    51.16% |
| Outland Liberator // Frenzied Trapbreaker                |     5 |  0.74% |           5 |           1 |      17-22-1 | 43.75% | 2799-2794-89 |  50.04% |    17-22-1 |    43.75% |
| Phyrexian Devourer                                       |     5 |  0.74% |           5 |           0 |      20-23-0 | 46.51% | 2796-2793-90 |  50.03% |    20-23-0 |    46.51% |
