Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Mishra's Bauble                                          |   110 | 16.32% |         420 |           0 |   488-457-12 | 51.62% | 2328-2359-78 |  49.67% | 426-395-12 |    51.86% |
| Karakas                                                  |   109 | 16.17% |         144 |           4 |   483-443-26 | 52.10% | 2333-2373-64 |  49.58% | 407-367-20 |    52.52% |
| Urza's Saga                                              |   109 | 16.17% |         416 |           0 |   438-462-13 | 48.69% | 2378-2354-77 |  50.25% | 353-377-13 |    48.38% |
| Engineered Explosives                                    |   107 | 15.88% |           3 |         138 |   509-446-22 | 53.22% | 2307-2370-68 |  49.34% | 431-368-18 |    53.86% |
| Bloodstained Mire                                        |   106 | 15.73% |         170 |           0 |   413-440-14 | 48.44% | 2403-2376-76 |  50.28% | 366-393-14 |    48.25% |
| Plains                                                   |   105 | 15.58% |         188 |           0 |   467-425-25 | 52.29% | 2349-2391-65 |  49.56% | 396-354-19 |    52.73% |
| Pithing Needle                                           |   102 | 15.13% |          73 |          41 |   407-427-15 | 48.82% | 2409-2389-75 |  50.21% | 329-349-15 |    48.56% |
| Verdant Catacombs                                        |   102 | 15.13% |         199 |           0 |   444-425-17 | 51.07% | 2372-2391-73 |  49.80% | 387-368-11 |    51.24% |
| City of Traitors                                         |   100 | 14.84% |         234 |           2 |    401-431-6 | 48.21% | 2415-2385-84 |  50.31% |  341-371-6 |    47.91% |
| Stock Up                                                 |    98 | 14.54% |         367 |           1 |    397-426-9 | 48.26% | 2419-2390-81 |  50.30% |  337-366-9 |    47.96% |
| Thundering Falls                                         |    97 | 14.39% |          97 |           0 |    372-405-6 | 47.89% | 2444-2411-84 |  50.33% |  327-360-6 |    47.62% |
| Tormod's Crypt                                           |    96 | 14.24% |          13 |         108 |   402-404-12 | 49.88% | 2414-2412-78 |  50.02% | 341-343-10 |    49.86% |
| Atraxa, Grand Unifier                                    |    95 | 14.09% |         289 |           1 |    379-411-8 | 47.99% | 2437-2405-82 |  50.32% |  313-345-8 |    47.60% |
