Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Basalt Monolith                                              |    30 |  3.21% |     136-122-2 | 52.69% |          31 |           0 |    19-28-1 |    40.62% |      16-14-0 |       53.33% |          15-12-0 |          55.56% |
| Rest in Peace                                                |    30 |  3.21% |    118-126-12 | 48.44% |           0 |          45 |    21-23-0 |    47.73% |      10-14-0 |       41.67% |          14-15-2 |          48.39% |
| Void Mirror                                                  |    29 |  3.10% |     127-132-4 | 49.05% |           0 |          39 |    22-20-1 |    52.33% |      12-16-1 |       43.10% |          14-21-0 |          40.00% |
| Thundertrap Trainer                                          |    29 |  3.10% |    121-115-11 | 51.21% |         107 |           0 |    15-23-2 |    40.00% |       9-13-0 |       40.91% |          19-12-3 |          60.29% |
| Sejiri Steppe                                                |    29 |  3.10% |     116-132-3 | 46.81% |          29 |           0 |    19-18-1 |    51.32% |       8-19-0 |       29.63% |          15-21-0 |          41.67% |
| Gaea's Will                                                  |    29 |  3.10% |     108-124-2 | 46.58% |          30 |           0 |     7-33-0 |    17.50% |       13-8-0 |       61.90% |           8-18-0 |          30.77% |
| Snapcaster Mage                                              |    29 |  3.10% |    107-112-14 | 48.93% |          48 |           0 |    14-20-2 |    41.67% |       7-17-0 |       29.17% |          12-18-4 |          41.18% |
| Cabal Ritual                                                 |    28 |  2.99% |     132-126-2 | 51.15% |          72 |           6 |    13-24-1 |    35.53% |      14-16-0 |       46.67% |          15-12-0 |          55.56% |
| Chaos Defiler                                                |    28 |  2.99% |     127-118-7 | 51.79% |          25 |           4 |    24-21-1 |    53.26% |      10-13-0 |       43.48% |          15-19-1 |          44.29% |
| Great Furnace                                                |    28 |  2.99% |     124-118-6 | 51.21% |          61 |           0 |    25-22-1 |    53.12% |      10-15-0 |       40.00% |          17-17-1 |          50.00% |
| Snow-Covered Island                                          |    28 |  2.99% |     111-111-9 | 50.00% |          41 |           0 |     8-19-0 |    29.63% |       10-9-0 |       52.63% |          12-20-2 |          38.24% |
| Thought-Knot Seer                                            |    28 |  2.99% |     110-130-2 | 45.87% |         107 |           3 |    20-20-0 |    50.00% |       9-14-0 |       39.13% |          17-18-0 |          48.57% |
| Twisted Image                                                |    27 |  2.88% |     90-108-11 | 45.69% |           1 |          26 |    12-12-1 |    50.00% |       7-12-0 |       36.84% |          12-12-1 |          50.00% |
| Goblin Engineer                                              |    27 |  2.88% |     117-114-6 | 50.63% |         107 |           0 |    23-20-1 |    53.41% |       9-14-0 |       39.13% |          14-17-1 |          45.31% |
| Goblin Welder                                                |    27 |  2.88% |     117-114-6 | 50.63% |         106 |           0 |    23-20-1 |    53.41% |       9-14-0 |       39.13% |          14-17-1 |          45.31% |
| Mystic Sanctuary                                             |    26 |  2.78% |      69-104-9 | 40.38% |          31 |           0 |     9-15-2 |    38.46% |        4-6-0 |       40.00% |          11-16-1 |          41.07% |
| Phyrexian Dragon Engine                                      |    26 |  2.78% |     117-110-6 | 51.50% |          26 |           0 |    23-18-1 |    55.95% |       9-14-0 |       39.13% |          14-17-1 |          45.31% |
| Eldrazi Temple                                               |    26 |  2.78% |     107-122-1 | 46.74% |         103 |           0 |    19-18-0 |    51.35% |       9-12-0 |       42.86% |          16-17-0 |          48.48% |
| Burning Wish                                                 |    25 |  2.67% |      92-105-2 | 46.73% |          71 |           0 |     7-23-0 |    23.33% |       11-8-0 |       57.89% |           9-13-0 |          40.91% |
| Arid Mesa                                                    |    25 |  2.67% |       88-96-5 | 47.88% |          61 |           0 |    26-21-1 |    55.21% |       6-10-0 |       37.50% |           7-14-2 |          34.78% |
| Trinisphere                                                  |    25 |  2.67% |      73-103-6 | 41.76% |          29 |          26 |     9-21-0 |    30.00% |        5-6-2 |       46.15% |          11-11-0 |          50.00% |
| Elvish Reclaimer                                             |    25 |  2.67% |     113-113-5 | 50.00% |          71 |           9 |    24-20-0 |    54.55% |       5-15-0 |       25.00% |           9-16-0 |          36.00% |
| Eldrazi Linebreaker                                          |    25 |  2.67% |     106-117-1 | 47.54% |          99 |           0 |    18-17-0 |    51.43% |       9-12-0 |       42.86% |          16-17-0 |          48.48% |
| Wastescape Battlemage                                        |    25 |  2.67% |     106-117-1 | 47.54% |          81 |           8 |    18-17-0 |    51.43% |       9-12-0 |       42.86% |          16-17-0 |          48.48% |
| Reality Smasher                                              |    25 |  2.67% |     104-118-1 | 46.86% |          74 |           0 |    19-18-0 |    51.35% |       9-11-0 |       45.00% |          16-17-0 |          48.48% |
| Underground Mortuary                                         |    25 |  2.67% |     103-107-3 | 49.06% |          26 |           0 |    15-22-0 |    40.54% |       8-10-1 |       44.74% |          10-15-1 |          40.38% |
| Talon Gates of Madara                                        |    24 |  2.56% |      99-105-4 | 48.56% |          25 |           1 |    21-18-1 |    53.75% |       5-14-0 |       26.32% |           8-15-0 |          34.78% |
| Sire of Seven Deaths                                         |    24 |  2.56% |      91-112-1 | 44.85% |          24 |          10 |    13-14-0 |    48.15% |        9-9-0 |       50.00% |          11-16-0 |          40.74% |
| Plateau                                                      |    24 |  2.56% |       87-98-5 | 47.11% |          34 |           0 |    19-20-0 |    48.72% |       5-17-0 |       22.73% |           9-13-2 |          41.67% |
| Opposition Agent                                             |    24 |  2.56% |      63-102-6 | 38.60% |          13 |          32 |    10-17-2 |    37.93% |       3-11-1 |       23.33% |           6-12-1 |          34.21% |
| Elvish Spirit Guide                                          |    24 |  2.56% |     109-107-2 | 50.46% |          87 |           4 |    13-27-0 |    32.50% |      11-16-0 |       40.74% |          14-13-0 |          51.85% |
| Secluded Courtyard                                           |    24 |  2.56% |     102-112-1 | 47.67% |          86 |           0 |    17-15-0 |    53.12% |       9-11-0 |       45.00% |          15-17-0 |          46.88% |
| Boggart Trawler // Boggart Bog                               |    24 |  2.56% |     100-108-0 | 48.08% |          71 |           0 |    15-17-0 |    46.88% |      11-17-0 |       39.29% |          12-18-0 |          40.00% |
| Chain Lightning                                              |    23 |  2.46% |       88-98-1 | 47.33% |          45 |           0 |    14-16-0 |    46.67% |        8-5-0 |       61.54% |          11-20-0 |          35.48% |
| Echo of Eons                                                 |    23 |  2.46% |      83-100-1 | 45.38% |          52 |          19 |     5-27-0 |    15.62% |       11-7-0 |       61.11% |           7-12-0 |          36.84% |
| Dead // Gone                                                 |    23 |  2.46% |       69-96-2 | 41.92% |           4 |          55 |     6-10-0 |    37.50% |        6-9-1 |       40.62% |           12-8-0 |          60.00% |
| Snuff Out                                                    |    23 |  2.46% |      118-94-5 | 55.53% |          21 |          40 |    23-17-1 |    57.32% |      10-12-1 |       45.65% |          13-16-0 |          44.83% |
| Witch Enchanter // Witch-Blessed Meadow                      |    23 |  2.46% |      111-96-4 | 53.55% |          51 |           0 |    21-18-1 |    53.75% |       8-13-0 |       38.10% |          13-16-1 |          45.00% |
| Delver of Secrets // Insectile Aberration                    |    22 |  2.35% |       83-85-8 | 49.43% |          71 |           0 |    15-18-0 |    45.45% |        6-4-0 |       60.00% |            8-8-2 |          50.00% |
| Empty the Warrens                                            |    22 |  2.35% |       80-94-3 | 46.05% |           0 |          22 |     7-20-0 |    25.93% |       11-9-0 |       55.00% |           5-15-0 |          25.00% |
| Shadowy Backstreet                                           |    22 |  2.35% |       78-80-4 | 49.38% |          32 |           0 |    18-19-1 |    48.68% |       6-13-0 |       31.58% |            6-9-1 |          40.62% |
| Stony Silence                                                |    22 |  2.35% |       70-93-6 | 43.20% |           1 |          36 |     8-16-0 |    33.33% |        5-9-0 |       35.71% |           5-16-1 |          25.00% |
| Sneak Attack                                                 |    21 |  2.24% |       89-94-1 | 48.64% |          83 |           0 |     7-23-1 |    24.19% |       15-9-0 |       62.50% |           8-13-0 |          38.10% |
| Forth Eorlingas!                                             |    21 |  2.24% |       83-94-6 | 46.99% |          22 |           5 |    14-12-0 |    53.85% |       7-15-0 |       31.82% |           9-19-1 |          32.76% |
| Griselbrand                                                  |    21 |  2.24% |       80-98-0 | 44.94% |          36 |           1 |     8-15-0 |    34.78% |      10-11-0 |       47.62% |           11-9-0 |          55.00% |
| Mindbreak Trap                                               |    21 |  2.24% |       78-90-2 | 46.47% |           0 |          45 |    12-13-0 |    48.00% |        6-8-0 |       42.86% |           4-18-0 |          18.18% |
| Phyrexian Dreadnought                                        |    21 |  2.24% |       71-85-9 | 45.76% |          76 |           1 |    20-15-0 |    57.14% |        4-7-0 |       36.36% |           6-10-2 |          38.89% |
| Up the Beanstalk                                             |    21 |  2.24% |       67-89-7 | 43.25% |          81 |           0 |    11-13-4 |    46.43% |        8-8-0 |       50.00% |          10-14-0 |          41.67% |
| Cloudpost                                                    |    21 |  2.24% |      103-81-8 | 55.73% |          84 |           0 |    17-23-2 |    42.86% |        5-7-1 |       42.31% |           18-7-0 |          72.00% |
| Glimmerpost                                                  |    21 |  2.24% |      103-81-8 | 55.73% |          65 |           0 |    17-23-2 |    42.86% |        5-7-1 |       42.31% |           18-7-0 |          72.00% |
| Wastes                                                       |    20 |  2.14% |       88-97-0 | 47.57% |          28 |           0 |    17-15-0 |    53.12% |        9-9-0 |       50.00% |          14-13-0 |          51.85% |
| Cling to Dust                                                |    20 |  2.14% |      72-82-10 | 46.95% |          29 |           0 |    10-13-3 |    44.23% |       6-11-0 |       35.29% |           11-7-2 |          60.00% |
| Spider-Punk                                                  |    20 |  2.14% |       69-85-1 | 44.84% |           7 |          37 |     5-22-0 |    18.52% |        8-8-0 |       50.00% |           5-12-0 |          29.41% |
| Into the Flood Maw                                           |    20 |  2.14% |       66-87-1 | 43.18% |           0 |          34 |     8-21-0 |    27.59% |        8-9-0 |       47.06% |           6-11-0 |          35.29% |
| Toxic Deluge                                                 |    20 |  2.14% |       59-75-6 | 44.29% |           0 |          28 |     6-14-1 |    30.95% |        6-9-1 |       40.62% |            6-6-3 |          50.00% |
| Grist, the Hunger Tide                                       |    19 |  2.03% |       92-77-1 | 54.41% |          23 |           1 |    18-13-1 |    57.81% |        9-8-0 |       52.94% |          10-18-0 |          35.71% |
| Natural Order                                                |    19 |  2.03% |       91-78-4 | 53.76% |          52 |           4 |    16-13-0 |    55.17% |       5-10-0 |       33.33% |           6-13-0 |          31.58% |
| Brotherhood's End                                            |    19 |  2.03% |       80-88-3 | 47.66% |           0 |          23 |     8-20-1 |    29.31% |       13-9-0 |       59.09% |           7-13-0 |          35.00% |
| Devourer of Destiny                                          |    19 |  2.03% |       74-88-0 | 45.68% |          33 |           0 |    13-11-0 |    54.17% |        8-7-0 |       53.33% |          10-15-0 |          40.00% |
| Witherbloom Command                                          |    19 |  2.03% |       74-78-9 | 48.76% |          32 |           3 |     12-6-4 |    63.64% |       12-9-0 |       57.14% |           11-8-1 |          57.50% |
| Baleful Strix                                                |    18 |  1.92% |      90-71-11 | 55.52% |          33 |           1 |    13-12-2 |    51.85% |        6-7-0 |       46.15% |          13-15-1 |          46.55% |
| Narset, Parter of Veils                                      |    18 |  1.92% |      87-74-13 | 53.74% |          21 |           6 |    12-17-3 |    42.19% |        3-8-0 |       27.27% |          12-13-1 |          48.08% |
| Doomsday                                                     |    18 |  1.92% |       86-73-1 | 54.06% |          57 |          13 |     9-16-1 |    36.54% |       13-8-0 |       61.90% |           9-11-0 |          45.00% |
| Twinshot Sniper                                              |    18 |  1.92% |       64-82-1 | 43.88% |           0 |          34 |     11-8-1 |    57.50% |       6-10-0 |       37.50% |           7-14-0 |          33.33% |
| Voice of Victory                                             |    18 |  1.92% |       64-77-2 | 45.45% |          52 |           4 |    13-17-0 |    43.33% |        2-9-0 |       18.18% |           8-10-1 |          44.74% |
| Street Wraith                                                |    17 |  1.82% |       81-71-1 | 53.27% |          32 |           6 |    11-14-1 |    44.23% |       13-8-0 |       61.90% |            9-9-0 |          50.00% |
| Overlord of the Balemurk                                     |    17 |  1.82% |       75-68-4 | 52.38% |          61 |           0 |    17-15-1 |    53.03% |       6-10-0 |       37.50% |           6-11-1 |          36.11% |
| Ignoble Hierarch                                             |    17 |  1.82% |       71-72-3 | 49.66% |          63 |           0 |    20-12-1 |    62.12% |        5-7-0 |       41.67% |           4-14-0 |          22.22% |
| Ocelot Pride                                                 |    17 |  1.82% |       60-72-3 | 45.56% |          68 |           0 |    11-16-0 |    40.74% |       3-10-0 |       23.08% |            5-8-1 |          39.29% |
| Guide of Souls                                               |    17 |  1.82% |       60-72-3 | 45.56% |          68 |           0 |    11-16-0 |    40.74% |       3-10-0 |       23.08% |            5-8-1 |          39.29% |
| Hullbreacher                                                 |    17 |  1.82% |       57-68-1 | 45.63% |           9 |          16 |    14-13-0 |    51.85% |        3-8-0 |       27.27% |           4-14-0 |          22.22% |
| Urza's Bauble                                                |    17 |  1.82% |       56-69-3 | 44.92% |          26 |           0 |     7-12-0 |    36.84% |        6-3-0 |       66.67% |           2-12-1 |          16.67% |
| Taiga                                                        |    17 |  1.82% |       51-70-2 | 42.28% |          19 |           0 |     8-14-0 |    36.36% |        8-5-0 |       61.54% |           2-14-0 |          12.50% |
| Nulldrifter                                                  |    17 |  1.82% |       51-67-7 | 43.60% |          60 |           0 |    15-13-0 |    53.57% |        4-5-0 |       44.44% |           3-10-1 |          25.00% |
| Edge of Autumn                                               |    16 |  1.71% |       78-65-1 | 54.51% |          21 |           3 |     9-13-1 |    41.30% |       13-7-0 |       65.00% |            9-9-0 |          50.00% |
| Consider                                                     |    16 |  1.71% |       78-65-1 | 54.51% |          16 |           0 |     9-13-1 |    41.30% |       13-7-0 |       65.00% |            9-9-0 |          50.00% |
| Infernal Tutor                                               |    16 |  1.71% |       65-68-1 | 48.88% |          63 |           0 |     5-15-0 |    25.00% |        5-6-0 |       45.45% |            6-8-0 |          42.86% |
| Song of Creation                                             |    16 |  1.71% |       53-67-1 | 44.21% |          16 |           0 |     4-19-0 |    17.39% |        9-4-0 |       69.23% |           3-11-0 |          21.43% |
| Flame of Anor                                                |    16 |  1.71% |       49-62-8 | 44.54% |          57 |           0 |      4-8-0 |    33.33% |       5-10-0 |       33.33% |            5-8-3 |          40.62% |
| Allosaurus Shepherd                                          |    15 |  1.60% |       89-62-2 | 58.82% |          45 |           0 |    12-10-0 |    54.55% |        6-5-0 |       54.55% |           8-10-0 |          44.44% |
| Birds of Paradise                                            |    15 |  1.60% |       85-63-2 | 57.33% |          45 |           0 |    15-11-0 |    57.69% |        7-3-0 |       70.00% |            9-7-0 |          56.25% |
| Haywire Mite                                                 |    15 |  1.60% |       78-68-2 | 53.38% |           2 |          14 |    13-16-0 |    44.83% |       10-9-0 |       52.63% |           12-8-0 |          60.00% |
| Snow-Covered Swamp                                           |    15 |  1.60% |       76-67-5 | 53.04% |          15 |           0 |      5-9-0 |    35.71% |       10-8-0 |       55.56% |           9-11-0 |          45.00% |
| Tishana's Tidebinder                                         |    15 |  1.60% |       74-57-5 | 56.25% |          29 |           6 |    10-15-2 |    40.74% |        4-5-1 |       45.00% |           14-4-0 |          77.78% |
| Arena of Glory                                               |    15 |  1.60% |       68-63-4 | 51.85% |          17 |           0 |    13-13-1 |    50.00% |        4-9-0 |       30.77% |           9-11-1 |          45.24% |
| Back to Basics                                               |    15 |  1.60% |       67-63-4 | 51.49% |          16 |           5 |     6-13-0 |    31.58% |       6-10-0 |       37.50% |          10-11-1 |          47.73% |
| Minor Misstep                                                |    15 |  1.60% |      67-57-11 | 53.70% |          17 |           3 |     8-11-0 |    42.11% |        6-7-0 |       46.15% |            9-6-2 |          58.82% |
| Ad Nauseam                                                   |    15 |  1.60% |       64-65-1 | 49.62% |          15 |           0 |     5-14-0 |    26.32% |        5-6-0 |       45.45% |            6-7-0 |          46.15% |
| Eldrazi Confluence                                           |    15 |  1.60% |       57-55-5 | 50.85% |          27 |           1 |     9-16-0 |    36.00% |        4-3-1 |       56.25% |            9-4-0 |          69.23% |
| Fell the Profane // Fell Mire                                |    15 |  1.60% |       52-64-0 | 44.83% |          56 |           0 |     9-11-0 |    45.00% |        6-7-0 |       46.15% |            8-9-0 |          47.06% |
| Commercial District                                          |    15 |  1.60% |       44-62-1 | 41.59% |          15 |           0 |     5-13-0 |    27.78% |        8-5-0 |       61.54% |           2-11-0 |          15.38% |
| Helm of Obedience                                            |    15 |  1.60% |       34-68-3 | 33.81% |          16 |          13 |     7-13-1 |    35.71% |        1-6-1 |       18.75% |           1-11-0 |           8.33% |
| Quirion Ranger                                               |    14 |  1.50% |       75-58-0 | 56.39% |          29 |           0 |     9-10-0 |    47.37% |        6-5-0 |       54.55% |           8-10-0 |          44.44% |
| Pact of Negation                                             |    14 |  1.50% |       70-65-0 | 51.85% |          49 |           1 |      9-9-0 |    50.00% |       7-12-0 |       36.84% |           12-7-0 |          63.16% |
| Agadeem's Awakening // Agadeem, the Undercrypt               |    14 |  1.50% |       69-66-0 | 51.11% |          52 |           0 |     9-12-0 |    42.86% |       8-11-0 |       42.11% |            9-8-0 |          52.94% |
| Wishclaw Talisman                                            |    14 |  1.50% |       65-63-1 | 50.78% |          44 |           0 |     6-14-1 |    30.95% |        5-5-0 |       50.00% |            6-5-0 |          54.55% |
| Lavinia, Azorius Renegade                                    |    14 |  1.50% |       65-60-4 | 51.94% |           0 |          20 |      7-9-1 |    44.12% |        2-7-0 |       22.22% |          10-11-0 |          47.62% |
| It That Heralds the End                                      |    14 |  1.50% |       61-66-1 | 48.05% |          34 |           0 |    10-10-0 |    50.00% |        5-7-0 |       41.67% |            9-9-0 |          50.00% |
| Aether Vial                                                  |    14 |  1.50% |       57-52-2 | 52.25% |          55 |           0 |    16-12-1 |    56.90% |        3-8-0 |       27.27% |            5-7-1 |          42.31% |
| Raucous Theater                                              |    14 |  1.50% |       52-59-1 | 46.88% |          14 |           0 |     3-11-0 |    21.43% |        2-7-0 |       22.22% |            4-7-1 |          37.50% |
| Long Goodbye                                                 |    14 |  1.50% |       49-59-1 | 45.41% |           1 |          17 |     6-11-1 |    36.11% |       3-10-0 |       23.08% |            7-7-0 |          50.00% |
| Cursed Totem                                                 |    14 |  1.50% |       41-56-1 | 42.35% |           0 |          16 |    11-16-0 |    40.74% |        3-7-0 |       30.00% |            1-7-0 |          12.50% |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger                |    14 |  1.50% |       40-55-2 | 42.27% |          52 |           0 |    10-10-0 |    50.00% |        1-8-0 |       11.11% |            4-6-1 |          40.91% |
| Craterhoof Behemoth                                          |    13 |  1.39% |       80-55-2 | 59.12% |          13 |           0 |     11-8-0 |    57.89% |        5-5-0 |       50.00% |           7-10-0 |          41.18% |
| Balustrade Spy                                               |    13 |  1.39% |       64-62-0 | 50.79% |          52 |           0 |      9-9-0 |    50.00% |       6-11-0 |       35.29% |            9-8-0 |          52.94% |
| Undercity Informer                                           |    13 |  1.39% |       64-62-0 | 50.79% |          52 |           0 |      9-9-0 |    50.00% |       6-11-0 |       35.29% |            9-8-0 |          52.94% |
| Yorion, Sky Nomad                                            |    13 |  1.39% |       64-47-4 | 57.39% |          13 |           0 |    13-10-2 |    56.00% |        4-9-0 |       30.77% |           11-5-1 |          67.65% |
| Wight of the Reliquary                                       |    13 |  1.39% |       60-56-2 | 51.69% |          52 |           0 |    14-10-0 |    58.33% |        4-7-0 |       36.36% |            4-8-0 |          33.33% |
| Echoing Deeps                                                |    13 |  1.39% |       59-52-4 | 53.04% |          16 |           1 |     9-10-0 |    47.37% |        1-8-0 |       11.11% |            7-7-0 |          50.00% |
| White Orchid Phantom                                         |    13 |  1.39% |       58-48-3 | 54.59% |          23 |           9 |    15-12-1 |    55.36% |        4-7-0 |       36.36% |            7-5-1 |          57.69% |
| Stoneforge Mystic                                            |    13 |  1.39% |       55-48-2 | 53.33% |          52 |           0 |    12-11-1 |    52.08% |        3-9-0 |       25.00% |            4-6-1 |          40.91% |
| Kaldra Compleat                                              |    13 |  1.39% |       55-48-2 | 53.33% |          13 |           0 |    12-11-1 |    52.08% |        3-9-0 |       25.00% |            4-6-1 |          40.91% |
| Path to Exile                                                |    13 |  1.39% |       51-47-4 | 51.96% |           0 |          17 |    14-12-1 |    53.70% |        3-8-0 |       27.27% |            2-5-1 |          31.25% |
| Torpor Orb                                                   |    13 |  1.39% |       47-55-6 | 46.30% |          33 |           5 |     13-9-0 |    59.09% |        4-6-0 |       40.00% |            6-6-1 |          50.00% |
| Runehorn Hellkite                                            |    13 |  1.39% |       44-58-1 | 43.20% |          13 |           0 |     3-16-0 |    15.79% |        8-4-0 |       66.67% |            2-8-0 |          20.00% |
| Void Snare                                                   |    13 |  1.39% |       44-56-1 | 44.06% |           0 |          13 |     4-14-0 |    22.22% |        7-4-0 |       63.64% |            3-9-0 |          25.00% |
| Molten Collapse                                              |    13 |  1.39% |       44-52-2 | 45.92% |          15 |           6 |      4-9-0 |    30.77% |        0-5-0 |        0.00% |            3-3-1 |          50.00% |
| Galvanic Relay                                               |    13 |  1.39% |       40-53-2 | 43.16% |          23 |          13 |     4-12-0 |    25.00% |        8-4-0 |       66.67% |            3-8-0 |          27.27% |
| Seat of the Synod                                            |    13 |  1.39% |       40-52-2 | 43.62% |          50 |           0 |     7-15-0 |    31.82% |        2-3-0 |       40.00% |            4-9-0 |          30.77% |
| Emry, Lurker of the Loch                                     |    13 |  1.39% |       40-52-2 | 43.62% |          49 |           0 |     7-15-0 |    31.82% |        2-3-0 |       40.00% |            4-9-0 |          30.77% |
| Gamble                                                       |    13 |  1.39% |       36-55-1 | 39.67% |          49 |           0 |     4-12-0 |    25.00% |        7-4-0 |       63.64% |            2-8-0 |          20.00% |
| Springheart Nantuko                                          |    12 |  1.28% |       81-51-3 | 61.11% |          21 |           0 |     11-9-1 |    54.76% |        7-4-0 |       63.64% |            9-5-0 |          64.29% |
| Silent Gravestone                                            |    12 |  1.28% |       64-54-0 | 54.24% |           2 |          10 |     8-14-0 |    36.36% |        4-5-0 |       44.44% |            6-5-0 |          54.55% |
| Poxwalkers                                                   |    12 |  1.28% |       60-59-0 | 50.42% |          23 |           0 |      8-9-0 |    47.06% |       6-11-0 |       35.29% |            8-8-0 |          50.00% |
| Bridge from Below                                            |    12 |  1.28% |       60-59-0 | 50.42% |          12 |           0 |      8-9-0 |    47.06% |       6-11-0 |       35.29% |            8-8-0 |          50.00% |
| Eldrazi Obligator                                            |    12 |  1.28% |       56-58-1 | 49.13% |           3 |          19 |     10-6-0 |    62.50% |        3-7-0 |       30.00% |           11-6-0 |          64.71% |
| Flickerwisp                                                  |    12 |  1.28% |       56-43-3 | 56.37% |          23 |           0 |    14-10-1 |    58.00% |        3-7-0 |       30.00% |            6-5-1 |          54.17% |
| Bonecrusher Giant // Stomp                                   |    12 |  1.28% |       54-52-1 | 50.93% |           4 |          22 |     6-12-0 |    33.33% |        6-5-0 |       54.55% |            6-6-0 |          50.00% |
| Lair of the Hydra                                            |    12 |  1.28% |       54-51-2 | 51.40% |          12 |           0 |     12-9-0 |    57.14% |        4-6-0 |       40.00% |            3-7-0 |          30.00% |
| Unmask                                                       |    12 |  1.28% |       48-52-2 | 48.04% |          38 |           2 |     10-8-1 |    55.26% |        5-3-0 |       62.50% |            4-8-0 |          33.33% |
| Pre-War Formalwear                                           |    12 |  1.28% |       48-44-2 | 52.13% |          12 |           0 |     11-8-1 |    57.50% |        3-8-0 |       27.27% |            3-5-1 |          38.89% |
| Approach of the Second Sun                                   |    12 |  1.28% |       43-53-0 | 44.79% |           1 |          11 |     4-12-0 |    25.00% |        8-5-0 |       61.54% |            3-9-0 |          25.00% |
| Aether Spellbomb                                             |    12 |  1.28% |       43-44-5 | 49.46% |          12 |           1 |     7-10-1 |    41.67% |        3-4-0 |       42.86% |            4-6-1 |          40.91% |
| Cunning Wish                                                 |    12 |  1.28% |       41-47-0 | 46.59% |          30 |           3 |      6-8-0 |    42.86% |        5-6-0 |       45.45% |            7-5-0 |          58.33% |
| Pulverize                                                    |    12 |  1.28% |       35-50-1 | 41.28% |           0 |          12 |     4-12-0 |    25.00% |        7-4-0 |       63.64% |            2-8-0 |          20.00% |
| Chord of Calling                                             |    11 |  1.18% |       73-47-2 | 60.66% |          40 |           0 |    10-10-0 |    50.00% |        6-3-0 |       66.67% |            8-5-0 |          61.54% |
| Skyclave Apparition                                          |    11 |  1.18% |       55-40-3 | 57.65% |          26 |           1 |     13-9-1 |    58.70% |        3-7-0 |       30.00% |            6-5-1 |          54.17% |
| Recruiter of the Guard                                       |    11 |  1.18% |       54-41-2 | 56.70% |          39 |           0 |     13-8-1 |    61.36% |        3-8-0 |       27.27% |            5-4-1 |          55.00% |
| Outland Liberator // Frenzied Trapbreaker                    |    11 |  1.18% |       48-43-5 | 52.60% |           0 |          11 |      8-9-2 |    47.37% |        2-3-0 |       40.00% |            4-4-0 |          50.00% |
| Personal Tutor                                               |    11 |  1.18% |       47-46-1 | 50.53% |          33 |           1 |     4-12-1 |    26.47% |        4-5-0 |       44.44% |            3-6-0 |          33.33% |
| Kolaghan's Command                                           |    11 |  1.18% |       45-44-7 | 50.52% |          18 |           3 |     10-6-2 |    61.11% |        2-6-0 |       25.00% |            5-8-1 |          39.29% |
| Vault of Whispers                                            |    11 |  1.18% |       38-43-0 | 46.91% |          43 |           0 |     2-10-0 |    16.67% |        3-3-0 |       50.00% |            4-3-0 |          57.14% |
| Shared Summons                                               |    11 |  1.18% |       38-43-0 | 46.91% |           0 |          11 |      6-8-0 |    42.86% |        4-4-0 |       50.00% |            7-5-0 |          58.33% |
| Blast Zone                                                   |    11 |  1.18% |       38-41-5 | 48.21% |           8 |           4 |      2-9-1 |    20.83% |        3-4-0 |       42.86% |            4-3-0 |          57.14% |
| Metallic Rebuke                                              |    11 |  1.18% |       37-47-2 | 44.19% |          27 |           0 |     7-14-0 |    33.33% |        2-2-0 |       50.00% |            3-8-0 |          27.27% |
| Thoughtcast                                                  |    11 |  1.18% |       36-47-1 | 43.45% |          43 |           0 |     7-13-0 |    35.00% |        2-2-0 |       50.00% |            4-9-0 |          30.77% |
| Steel Wrecking Ball                                          |    10 |  1.07% |       49-45-2 | 52.08% |           0 |          10 |      6-6-1 |    50.00% |        5-4-0 |       55.56% |            7-7-0 |          50.00% |
| Chain of Vapor                                               |    10 |  1.07% |       41-38-0 | 51.90% |           6 |          13 |     3-12-0 |    20.00% |        3-2-0 |       60.00% |            4-8-0 |          33.33% |
| Snow-Covered Plains                                          |    10 |  1.07% |       30-37-4 | 45.07% |          12 |           0 |     3-11-0 |    21.43% |        2-4-0 |       33.33% |            5-5-1 |          50.00% |
| Echoing Truth                                                |    10 |  1.07% |       28-42-1 | 40.14% |           3 |          13 |      0-3-0 |     0.00% |        4-2-0 |       66.67% |            7-5-0 |          58.33% |
| Murderous Cut                                                |    10 |  1.07% |       25-40-6 | 39.44% |          10 |           1 |      5-2-2 |    66.67% |        4-4-0 |       50.00% |            2-6-1 |          27.78% |
| Sheoldred, the Apocalypse                                    |    10 |  1.07% |       23-45-1 | 34.06% |          10 |           3 |      4-6-0 |    40.00% |        1-7-1 |       16.67% |            1-4-0 |          20.00% |
| Shaman en-Kor                                                |     9 |  0.96% |       61-40-2 | 60.19% |          10 |           0 |      9-8-0 |    52.94% |        5-4-0 |       55.56% |            6-2-0 |          75.00% |
