Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Orcish Bowmasters                                            |   203 | 21.69% |    748-812-58 | 48.02% |         591 |          38 | 112-135-11 |    45.54% |      75-86-3 |       46.65% |         93-116-8 |          44.70% |
| Atraxa, Grand Unifier                                        |   198 | 21.15% |    893-823-38 | 52.00% |         270 |           1 |  144-150-9 |    49.01% |      92-95-3 |       49.21% |        102-129-3 |          44.23% |
| Bloodstained Mire                                            |   197 | 21.05% |    772-811-51 | 48.81% |         326 |           0 |  115-149-9 |    43.77% |      78-83-2 |       48.47% |         95-130-7 |          42.46% |
| Engineered Explosives                                        |   191 | 20.41% |    802-797-46 | 50.15% |           2 |         233 |  118-138-6 |    46.18% |      82-77-3 |       51.54% |         98-128-4 |          43.48% |
| The One Ring                                                 |   187 | 19.98% |    801-775-23 | 50.81% |         655 |          34 |  134-161-5 |    45.50% |      71-86-3 |       45.31% |         103-81-1 |          55.95% |
| Karakas                                                      |   184 | 19.66% |    750-774-29 | 49.23% |         208 |          10 |  149-155-7 |    49.04% |      59-91-0 |       39.33% |          80-94-3 |          46.05% |
| Grafdigger's Cage                                            |   183 | 19.55% |    714-778-45 | 47.92% |          22 |         205 |  117-137-5 |    46.14% |      73-77-0 |       48.67% |        77-102-11 |          43.42% |
| Verdant Catacombs                                            |   179 | 19.12% |    778-767-34 | 50.35% |         335 |           0 | 119-133-11 |    47.34% |      82-85-1 |       49.11% |         83-116-2 |          41.79% |
| Surgical Extraction                                          |   176 | 18.80% |    645-727-49 | 47.11% |          31 |         272 |  102-143-6 |    41.83% |      62-62-0 |       50.00% |         73-95-10 |          43.82% |
| Reanimate                                                    |   173 | 18.48% |    797-726-39 | 52.27% |         625 |          14 | 132-129-10 |    50.55% |      84-88-3 |       48.86% |         97-113-4 |          46.26% |
| Plains                                                       |   173 | 18.48% |    727-726-42 | 50.03% |         271 |           1 |  141-140-6 |    50.17% |      50-77-0 |       39.37% |          77-99-5 |          43.92% |
| Pyroblast                                                    |   170 | 18.16% |    681-708-48 | 49.06% |         109 |         297 |  101-127-5 |    44.42% |      69-69-0 |       50.00% |        74-107-12 |          41.45% |
| Prismatic Ending                                             |   167 | 17.84% |    773-700-45 | 52.40% |         173 |         163 |  141-142-4 |    49.83% |      57-68-0 |       45.60% |          87-90-5 |          49.18% |
| Tropical Island                                              |   167 | 17.84% |    767-703-34 | 52.13% |         263 |           0 |  137-138-9 |    49.82% |      70-70-0 |       50.00% |          82-94-2 |          46.63% |
| Tundra                                                       |   167 | 17.84% |    728-696-46 | 51.09% |         340 |           0 |  134-137-5 |    49.46% |      55-68-0 |       44.72% |          86-95-5 |          47.58% |
| Entomb                                                       |   157 | 16.77% |    734-654-33 | 52.81% |         622 |           0 |  117-117-8 |    50.00% |      76-71-3 |       51.67% |         93-103-3 |          47.49% |
| Soul-Guide Lantern                                           |   154 | 16.45% |    658-632-19 | 50.99% |         153 |          19 |  112-123-3 |    47.69% |      54-69-0 |       43.90% |          84-71-2 |          54.14% |
| Archon of Cruelty                                            |   152 | 16.24% |    701-628-33 | 52.68% |         164 |           1 |  117-113-8 |    50.84% |      72-70-3 |       50.69% |          84-99-3 |          45.97% |
| Animate Dead                                                 |   151 | 16.13% |    693-627-33 | 52.44% |         231 |           1 |  118-109-8 |    51.91% |      71-70-3 |       50.35% |          81-96-3 |          45.83% |
| Bitter Triumph                                               |   148 | 15.81% |    656-627-32 | 51.10% |          38 |         177 |  101-113-6 |    47.27% |      65-66-2 |       49.62% |         79-105-3 |          43.05% |
| Windswept Heath                                              |   145 | 15.49% |    679-610-30 | 52.62% |         322 |           0 |  132-123-6 |    51.72% |      48-65-0 |       42.48% |          69-74-3 |          48.29% |
| Mox Opal                                                     |   142 | 15.17% |    597-585-13 | 50.50% |         258 |           0 |   97-135-3 |    41.91% |      58-59-0 |       49.57% |          61-74-0 |          45.19% |
| Karn, the Great Creator                                      |   140 | 14.96% |    628-577-20 | 52.08% |         505 |          11 |  107-131-6 |    45.08% |      55-57-2 |       49.12% |          73-62-1 |          54.04% |
| Mountain                                                     |   140 | 14.96% |    566-595-26 | 48.78% |         532 |           0 |   87-101-4 |    46.35% |      52-68-1 |       43.39% |          75-87-6 |          46.43% |
| Tormod's Crypt                                               |   139 | 14.85% |    637-570-23 | 52.72% |          45 |         138 |  108-129-6 |    45.68% |      56-56-1 |       50.00% |          78-66-2 |          54.11% |
| Ensnaring Bridge                                             |   138 | 14.74% |    625-564-18 | 52.53% |          47 |         130 |  107-121-6 |    47.01% |      55-63-1 |       46.64% |          72-65-2 |          52.52% |
| Boseiju, Who Endures                                         |   138 | 14.74% |    572-598-20 | 48.91% |         161 |          75 |   94-113-5 |    45.52% |      56-68-0 |       45.16% |          54-79-2 |          40.74% |
| Nihil Spellbomb                                              |   138 | 14.74% |    469-558-44 | 45.85% |         214 |          48 |    62-89-8 |    41.51% |      44-57-0 |       43.56% |          52-81-6 |          39.57% |
| Forest                                                       |   137 | 14.64% |    600-594-22 | 50.25% |         178 |           0 |  112-101-6 |    52.51% |      50-74-0 |       40.32% |          59-80-2 |          42.55% |
| Kozilek's Command                                            |   136 | 14.53% |    625-565-15 | 52.49% |         539 |           2 |  107-119-5 |    47.40% |      55-60-1 |       47.84% |          78-61-0 |          56.12% |
| Hedge Maze                                                   |   135 | 14.42% |    614-567-29 | 51.94% |         136 |           0 |  121-112-7 |    51.88% |      46-60-0 |       43.40% |          67-75-2 |          47.22% |
| Force of Vigor                                               |   133 | 14.21% |    604-581-26 | 50.95% |           0 |         312 |  118-101-7 |    53.76% |      50-70-0 |       41.67% |          59-81-1 |          42.20% |
| Savannah                                                     |   132 | 14.10% |    638-564-28 | 53.01% |         149 |           0 |  126-116-7 |    52.01% |      47-57-0 |       45.19% |          72-72-2 |          50.00% |
| Mycosynth Lattice                                            |   132 | 14.10% |    605-546-17 | 52.53% |           0 |         132 |  103-122-6 |    45.89% |      51-55-2 |       48.15% |          72-60-1 |          54.51% |
| City of Traitors                                             |   129 | 13.78% |    548-568-14 | 49.12% |         350 |           0 |    87-99-2 |    46.81% |      56-61-2 |       47.90% |          83-75-2 |          52.50% |
| Leyline of the Void                                          |   124 | 13.25% |    481-520-14 | 48.08% |          32 |         439 |    80-93-4 |    46.33% |      47-56-1 |       45.67% |          62-72-0 |          46.27% |
| Volcanic Island                                              |   123 | 13.14% |    485-508-41 | 48.89% |         323 |           0 |    67-94-4 |    41.82% |      50-40-0 |       55.56% |          52-69-9 |          43.46% |
| Cavern of Souls                                              |   120 | 12.82% |    540-524-18 | 50.74% |         231 |          61 |    95-96-2 |    49.74% |      45-51-0 |       46.88% |          63-79-1 |          44.41% |
| Glaring Fleshraker                                           |   116 | 12.39% |     525-488-9 | 51.81% |         461 |           0 |    91-96-3 |    48.68% |      50-53-0 |       48.54% |          60-55-0 |          52.17% |
| Endurance                                                    |   113 | 12.07% |    521-484-28 | 51.79% |         124 |         122 |    99-85-8 |    53.65% |      44-56-0 |       44.00% |          49-67-2 |          42.37% |
| Dauthi Voidwalker                                            |   113 | 12.07% |    473-464-26 | 50.47% |          58 |         241 |    85-76-6 |    52.69% |      46-51-4 |       47.52% |          52-73-3 |          41.80% |
| Urza's Tower                                                 |   110 | 11.75% |    518-443-14 | 53.85% |         440 |           0 |   89-101-5 |    46.92% |      46-48-1 |       48.95% |          62-44-0 |          58.49% |
| Planar Nexus                                                 |   110 | 11.75% |    518-443-14 | 53.85% |         440 |           0 |   89-101-5 |    46.92% |      46-48-1 |       48.95% |          62-44-0 |          58.49% |
| Nadu, Winged Wisdom                                          |   108 | 11.54% |    540-457-23 | 54.07% |         431 |           0 |   103-93-3 |    52.51% |      38-43-0 |       46.91% |          57-57-2 |          50.00% |
| Nomads en-Kor                                                |   108 | 11.54% |    540-457-23 | 54.07% |         427 |           0 |   103-93-3 |    52.51% |      38-43-0 |       46.91% |          57-57-2 |          50.00% |
| Meticulous Archive                                           |   108 | 11.54% |    466-451-28 | 50.79% |         110 |           0 |    87-88-4 |    49.72% |      34-41-0 |       45.33% |          55-59-3 |          48.29% |
| Sheoldred's Edict                                            |   107 | 11.43% |    370-440-38 | 45.87% |          43 |         109 |    45-64-7 |    41.81% |      33-40-1 |       45.27% |          47-66-4 |          41.88% |
| Liquimetal Coating                                           |   105 | 11.22% |    481-435-13 | 52.48% |           0 |         105 |    78-92-4 |    45.98% |      46-41-1 |       52.84% |          55-47-1 |          53.88% |
| Grim Monolith                                                |   105 | 11.22% |     480-436-8 | 52.38% |         386 |           2 |    85-91-3 |    48.32% |      46-48-0 |       48.94% |          56-50-0 |          52.83% |
| Simian Spirit Guide                                          |   105 | 11.22% |    453-459-12 | 49.68% |         336 |           0 |    69-81-1 |    46.03% |      39-55-1 |       41.58% |          66-61-2 |          51.94% |
| Veil of Summer                                               |   102 | 10.90% |    437-430-14 | 50.40% |         136 |         108 |    70-89-4 |    44.17% |      51-45-0 |       53.12% |          38-62-1 |          38.12% |
| Chalice of the Void                                          |    99 | 10.58% |     418-423-8 | 49.71% |         360 |          14 |    71-72-2 |    49.66% |      31-40-1 |       43.75% |          70-52-1 |          57.32% |
| Ghost Vacuum                                                 |    97 | 10.36% |    416-419-24 | 49.83% |          40 |          90 |    90-81-1 |    52.62% |      32-43-0 |       42.67% |          46-55-3 |          45.67% |
| Ugin, Eye of the Storms                                      |    96 | 10.26% |    442-388-10 | 53.21% |         154 |           3 |    76-86-4 |    46.99% |      41-41-0 |       50.00% |          50-43-0 |          53.76% |
| Kaito, Bane of Nightmares                                    |    96 | 10.26% |    328-385-32 | 46.17% |         182 |           2 |    40-59-3 |    40.69% |      29-35-0 |       45.31% |          37-55-5 |          40.72% |
| Blood Moon                                                   |    95 | 10.15% |    374-393-19 | 48.79% |         156 |          65 |    67-64-2 |    51.13% |      29-38-1 |       43.38% |          57-50-4 |          53.15% |
| Thassa's Oracle                                              |    94 | 10.04% |    441-408-14 | 51.91% |          99 |           5 |    74-80-2 |    48.08% |      36-42-0 |       46.15% |          49-58-1 |          45.83% |
| Chrome Mox                                                   |    93 |  9.94% |     368-394-7 | 48.31% |         347 |           3 |    49-73-0 |    40.16% |      33-40-1 |       45.27% |          48-50-1 |          48.99% |
| Marsh Flats                                                  |    91 |  9.72% |    402-357-21 | 52.88% |         179 |           0 |    71-68-2 |    51.06% |      30-43-3 |       41.45% |          51-50-2 |          50.49% |
| Urza's Workshop                                              |    90 |  9.62% |     419-366-8 | 53.34% |         355 |           0 |    75-79-3 |    48.73% |      40-41-0 |       49.38% |          44-39-0 |          53.01% |
| Manifold Key                                                 |    90 |  9.62% |     418-366-8 | 53.28% |         292 |           0 |    72-78-3 |    48.04% |      41-41-0 |       50.00% |          44-38-0 |          53.66% |
| Flusterstorm                                                 |    90 |  9.62% |    374-399-13 | 48.41% |          43 |          82 |    57-76-3 |    43.01% |      33-44-0 |       42.86% |          42-55-1 |          43.37% |
| Lavaspur Boots                                               |    90 |  9.62% |    354-379-10 | 48.32% |          90 |           0 |    66-58-1 |    53.20% |      31-46-0 |       40.26% |          50-50-2 |          50.00% |
| Tezzeret, Cruel Captain                                      |    89 |  9.51% |     408-365-7 | 52.76% |         287 |           1 |    71-79-3 |    47.39% |      39-41-0 |       48.75% |          42-39-0 |          51.85% |
| Portable Hole                                                |    88 |  9.40% |     413-357-7 | 53.60% |          61 |          92 |    73-79-3 |    48.06% |      39-42-0 |       48.15% |          44-37-0 |          54.32% |
| Mystic Forge                                                 |    87 |  9.29% |     409-354-7 | 53.57% |         150 |          75 |    71-76-3 |    48.33% |      41-41-0 |       50.00% |          43-38-0 |          53.09% |
| Lightning Bolt                                               |    87 |  9.29% |    347-352-30 | 49.66% |         318 |           6 |    61-59-3 |    50.81% |      32-28-0 |       53.33% |          38-51-8 |          43.30% |
| Magus of the Moon                                            |    87 |  9.29% |    320-366-15 | 46.72% |         184 |          59 |    50-71-0 |    41.32% |      28-38-1 |       42.54% |          45-44-3 |          50.54% |
| Carpet of Flowers                                            |    86 |  9.19% |    390-357-14 | 52.17% |           0 |         172 |    65-68-5 |    48.91% |      43-41-0 |       51.19% |          38-52-1 |          42.31% |
| Fury                                                         |    86 |  9.19% |    354-366-13 | 49.18% |         178 |          88 |    56-69-2 |    44.88% |      31-38-1 |       45.00% |          49-46-2 |          51.55% |
| Collector Ouphe                                              |    84 |  8.97% |    409-351-16 | 53.74% |          19 |          75 |    77-61-3 |    55.67% |      30-34-0 |       46.88% |          38-54-1 |          41.40% |
| Dark Ritual                                                  |    83 |  8.87% |     324-360-5 | 47.39% |         332 |           0 |    39-73-2 |    35.09% |      37-38-1 |       49.34% |          30-46-0 |          39.47% |
| Red Elemental Blast                                          |    82 |  8.76% |    310-345-17 | 47.40% |          43 |          99 |    50-63-1 |    44.30% |      27-27-0 |       50.00% |          35-51-2 |          40.91% |
| Perilous Snare                                               |    81 |  8.65% |     384-333-5 | 53.53% |           0 |          82 |    65-73-1 |    47.12% |      37-41-0 |       47.44% |          41-35-0 |          53.95% |
| Meltdown                                                     |    81 |  8.65% |    327-323-28 | 50.29% |           0 |         104 |    48-57-3 |    45.83% |      29-22-0 |       56.86% |          37-44-7 |          46.02% |
| Teferi, Time Raveler                                         |    78 |  8.33% |    347-326-17 | 51.52% |         111 |          13 |    54-67-4 |    44.80% |      27-35-0 |       43.55% |          37-40-2 |          48.10% |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki       |    77 |  8.23% |    324-326-11 | 49.85% |         303 |           0 |    56-52-1 |    51.83% |      25-36-1 |       41.13% |          50-44-2 |          53.12% |
| Narcomoeba                                                   |    76 |  8.12% |    355-333-14 | 51.57% |         163 |           1 |    65-64-2 |    50.38% |      23-34-0 |       40.35% |          40-45-1 |          47.09% |
| Dread Return                                                 |    75 |  8.01% |    352-330-13 | 51.58% |          75 |           0 |    65-63-1 |    50.78% |      23-34-0 |       40.35% |          40-45-1 |          47.09% |
| Memory's Journey                                             |    74 |  7.91% |    348-327-13 | 51.53% |          73 |           1 |    64-63-1 |    50.39% |      23-34-0 |       40.35% |          39-45-1 |          46.47% |
| Voltaic Key                                                  |    74 |  7.91% |     331-302-5 | 52.27% |          88 |           0 |    56-64-2 |    46.72% |      33-35-0 |       48.53% |          36-30-0 |          54.55% |
| Green Sun's Zenith                                           |    73 |  7.80% |    363-304-16 | 54.32% |         287 |           0 |    72-57-3 |    55.68% |      25-32-0 |       43.86% |          33-44-1 |          42.95% |
| Thundering Falls                                             |    73 |  7.80% |    281-298-21 | 48.58% |          76 |           0 |    43-55-1 |    43.94% |      26-22-0 |       54.17% |          30-40-5 |          43.33% |
| Nethergoyf                                                   |    72 |  7.69% |    236-295-21 | 44.66% |         271 |           0 |    32-46-1 |    41.14% |      21-25-0 |       45.65% |          24-42-2 |          36.76% |
| Dryad Arbor                                                  |    71 |  7.59% |    359-296-14 | 54.71% |          87 |           0 |    71-57-3 |    55.34% |      25-32-0 |       43.86% |          33-42-1 |          44.08% |
| Mishra's Bauble                                              |    70 |  7.48% |    258-286-23 | 47.53% |         265 |           0 |    42-54-2 |    43.88% |      23-18-0 |       56.10% |          27-41-5 |          40.41% |
| Stock Up                                                     |    69 |  7.37% |    281-283-13 | 49.83% |         237 |           1 |    44-66-3 |    40.27% |      31-27-1 |       53.39% |          36-34-1 |          51.41% |
| Lórien Revealed                                              |    69 |  7.37% |    251-285-24 | 46.96% |         109 |           0 |    41-51-8 |    45.00% |      18-25-1 |       42.05% |          36-41-2 |          46.84% |
| Unlicensed Hearse                                            |    67 |  7.16% |     271-299-8 | 47.58% |          17 |          97 |    43-54-0 |    44.33% |      18-32-1 |       36.27% |          38-27-1 |          58.33% |
| Expedition Map                                               |    67 |  7.16% |     262-289-6 | 47.58% |          67 |           1 |    51-54-4 |    48.62% |      21-33-0 |       38.89% |          21-32-0 |          39.62% |
| Sylvan Safekeeper                                            |    65 |  6.94% |    332-270-14 | 55.03% |          73 |           2 |    66-53-3 |    55.33% |      25-29-0 |       46.30% |          32-34-1 |          48.51% |
| Paradox Engine                                               |    63 |  6.73% |     295-255-5 | 53.60% |           1 |          63 |    44-50-2 |    46.88% |      32-29-0 |       52.46% |          35-22-0 |          61.40% |
| Once Upon a Time                                             |    62 |  6.62% |     289-274-8 | 51.31% |         190 |           0 |    53-47-2 |    52.94% |      23-34-0 |       40.35% |          31-40-0 |          43.66% |
| Cephalid Illusionist                                         |    62 |  6.62% |    288-268-13 | 51.76% |         248 |           0 |    56-54-1 |    50.90% |      17-23-0 |       42.50% |          31-37-1 |          45.65% |
| Shuko                                                        |    62 |  6.62% |    288-268-13 | 51.76% |         124 |           0 |    56-54-1 |    50.90% |      17-23-0 |       42.50% |          31-37-1 |          45.65% |
| Bayou                                                        |    62 |  6.62% |    250-269-12 | 48.21% |         106 |           1 |    43-40-5 |    51.70% |      24-30-0 |       44.44% |          24-39-1 |          38.28% |
| Bojuka Bog                                                   |    62 |  6.62% |    243-281-11 | 46.45% |          63 |           0 |    45-47-2 |    48.94% |      15-38-0 |       28.30% |          23-35-1 |          39.83% |
| Wrath of the Skies                                           |    61 |  6.52% |    220-244-19 | 47.52% |           5 |          95 |    40-46-3 |    46.63% |      21-31-0 |       40.38% |          26-30-4 |          46.67% |
| Dress Down                                                   |    61 |  6.52% |    214-253-22 | 46.01% |         115 |          20 |    35-52-2 |    40.45% |      17-23-0 |       42.50% |          26-32-4 |          45.16% |
| Badlands                                                     |    59 |  6.30% |    202-238-14 | 46.04% |          79 |           0 |    30-50-2 |    37.80% |      15-20-0 |       42.86% |          19-35-4 |          36.21% |
| Lion's Eye Diamond                                           |    57 |  6.09% |     230-244-3 | 48.53% |         148 |          11 |    25-58-1 |    30.36% |      30-21-0 |       58.82% |          22-29-0 |          43.14% |
| Emrakul, the Aeons Torn                                      |    56 |  5.98% |     219-235-5 | 48.26% |         105 |          10 |    26-56-1 |    31.93% |      24-25-0 |       48.98% |          29-29-0 |          50.00% |
| Agatha's Soul Cauldron                                       |    55 |  5.88% |     262-235-8 | 52.67% |          40 |          37 |    44-39-2 |    52.94% |      18-25-0 |       41.86% |          27-30-1 |          47.41% |
| Dragon's Rage Channeler                                      |    55 |  5.88% |    211-219-18 | 49.11% |         220 |           0 |    34-35-1 |    49.29% |      21-13-0 |       61.76% |          23-29-5 |          44.74% |
