Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Elvish Spirit Guide                                          |    24 |  2.56% |          87 |           4 |   109-107-0 | 50.46% | 3842-3844-0 |  49.99% |  108-106-0 |    50.47% |    13-27-0 |    32.50% |      11-16-0 |       40.74% |          14-13-0 |          51.85% |          8 |      3.74% |            29 |             0 |          0 |        --- |           0 |           0 |
| Secluded Courtyard                                           |    24 |  2.56% |          86 |           0 |   102-112-0 | 47.66% | 3849-3839-0 |  50.07% |   97-107-0 |    47.55% |    17-15-0 |    53.12% |       9-11-0 |       45.00% |          15-17-0 |          46.88% |          7 |      3.27% |            26 |             0 |          0 |        --- |           0 |           0 |
| Boggart Trawler // Boggart Bog                               |    24 |  2.56% |          71 |           0 |   100-108-0 | 48.08% | 3851-3843-0 |  50.05% |   97-105-0 |    48.02% |    15-17-0 |    46.88% |      11-17-0 |       39.29% |          12-18-0 |          40.00% |          6 |      2.80% |            21 |             0 |          0 |        --- |           0 |           0 |
| Plateau                                                      |    24 |  2.56% |          34 |           0 |     87-98-0 | 47.03% | 3864-3853-0 |  50.07% |    85-96-0 |    46.96% |    19-20-0 |    48.72% |       5-17-0 |       22.73% |           9-13-0 |          40.91% |          4 |      1.87% |             5 |             0 |          0 |        --- |           0 |           0 |
| Talon Gates of Madara                                        |    24 |  2.56% |          25 |           1 |    99-105-0 | 48.53% | 3852-3846-0 |  50.04% |   98-104-0 |    48.51% |    21-18-0 |    53.85% |       5-14-0 |       26.32% |           8-15-0 |          34.78% |          6 |      2.80% |             7 |             0 |          0 |        --- |           0 |           0 |
| Sire of Seven Deaths                                         |    24 |  2.56% |          24 |          10 |    91-112-0 | 44.83% | 3860-3839-0 |  50.14% |   87-108-0 |    44.62% |    13-14-0 |    48.15% |        9-9-0 |       50.00% |          11-16-0 |          40.74% |          6 |      2.80% |             6 |             4 |          0 |        --- |           0 |           0 |
| Opposition Agent                                             |    24 |  2.56% |          13 |          32 |    63-102-0 | 38.18% | 3888-3849-0 |  50.25% |   63-102-0 |    38.18% |    10-17-0 |    37.04% |       3-11-0 |       21.43% |           6-12-0 |          33.33% |          3 |      1.40% |             0 |             4 |          0 |        --- |           0 |           0 |
| Echo of Eons                                                 |    23 |  2.46% |          52 |          19 |    83-100-0 | 45.36% | 3868-3851-0 |  50.11% |    80-97-0 |    45.20% |     5-27-0 |    15.62% |       11-7-0 |       61.11% |           7-12-0 |          36.84% |          2 |      0.93% |             3 |             2 |          0 |        --- |           0 |           0 |
| Witch Enchanter // Witch-Blessed Meadow                      |    23 |  2.46% |          51 |           0 |    111-96-0 | 53.62% | 3840-3855-0 |  49.90% |   108-93-0 |    53.73% |    21-18-0 |    53.85% |       8-13-0 |       38.10% |          13-16-0 |          44.83% |          7 |      3.27% |            15 |             0 |          0 |        --- |           0 |           0 |
| Chain Lightning                                              |    23 |  2.46% |          45 |           0 |     88-98-0 | 47.31% | 3863-3853-0 |  50.06% |    87-97-0 |    47.28% |    14-16-0 |    46.67% |        8-5-0 |       61.54% |          11-20-0 |          35.48% |          3 |      1.40% |             3 |             0 |          0 |        --- |           0 |           0 |
| Snuff Out                                                    |    23 |  2.46% |          21 |          40 |    120-95-0 | 55.81% | 3831-3856-0 |  49.84% |   119-94-0 |    55.87% |    24-17-0 |    58.54% |      10-13-0 |       43.48% |          13-16-0 |          44.83% |          8 |      3.74% |             5 |            14 |          1 |     12.50% |           0 |           1 |
| Dead // Gone                                                 |    23 |  2.46% |           4 |          55 |     69-96-0 | 41.82% | 3882-3855-0 |  50.17% |    67-94-0 |    41.61% |     6-10-0 |    37.50% |        6-9-0 |       40.00% |           12-8-0 |          60.00% |          2 |      0.93% |             0 |             5 |          0 |        --- |           0 |           0 |
| Delver of Secrets // Insectile Aberration                    |    22 |  2.35% |          71 |           0 |     83-85-0 | 49.40% | 3868-3866-0 |  50.01% |    81-83-0 |    49.39% |    15-18-0 |    45.45% |        6-4-0 |       60.00% |            8-8-0 |          50.00% |          4 |      1.87% |            12 |             0 |          0 |        --- |           0 |           0 |
| Shadowy Backstreet                                           |    22 |  2.35% |          32 |           0 |     78-80-0 | 49.37% | 3873-3871-0 |  50.01% |    77-79-0 |    49.36% |    18-19-0 |    48.65% |       6-13-0 |       31.58% |            6-9-0 |          40.00% |          3 |      1.40% |             6 |             0 |          0 |        --- |           0 |           0 |
| Stony Silence                                                |    22 |  2.35% |           1 |          36 |     70-93-0 | 42.94% | 3881-3858-0 |  50.15% |    68-91-0 |    42.77% |     8-16-0 |    33.33% |        5-9-0 |       35.71% |           5-16-0 |          23.81% |          2 |      0.93% |             0 |             4 |          0 |        --- |           0 |           0 |
| Empty the Warrens                                            |    22 |  2.35% |           0 |          22 |     80-94-0 | 45.98% | 3871-3857-0 |  50.09% |    77-91-0 |    45.83% |     7-20-0 |    25.93% |       11-9-0 |       55.00% |           5-15-0 |          25.00% |          2 |      0.93% |             0 |             2 |          0 |        --- |           0 |           0 |
| Cloudpost                                                    |    21 |  2.24% |          84 |           0 |    103-81-0 | 55.98% | 3848-3870-0 |  49.86% |   103-81-0 |    55.98% |    17-23-0 |    42.50% |        5-7-0 |       41.67% |           18-7-0 |          72.00% |          4 |      1.87% |            16 |             0 |          0 |        --- |           0 |           0 |
| Sneak Attack                                                 |    21 |  2.24% |          83 |           0 |     89-94-0 | 48.63% | 3862-3857-0 |  50.03% |    86-91-0 |    48.59% |     7-23-0 |    23.33% |       15-9-0 |       62.50% |           8-13-0 |          38.10% |          5 |      2.34% |            19 |             0 |          0 |        --- |           0 |           0 |
| Up the Beanstalk                                             |    21 |  2.24% |          81 |           0 |     67-89-0 | 42.95% | 3884-3862-0 |  50.14% |    63-85-0 |    42.57% |    11-13-0 |    45.83% |        8-8-0 |       50.00% |          10-14-0 |          41.67% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Phyrexian Dreadnought                                        |    21 |  2.24% |          76 |           1 |     71-85-0 | 45.51% | 3880-3866-0 |  50.09% |    70-84-0 |    45.45% |    20-15-0 |    57.14% |        4-7-0 |       36.36% |           6-10-0 |          37.50% |          4 |      1.87% |            14 |             0 |          0 |        --- |           0 |           0 |
| Glimmerpost                                                  |    21 |  2.24% |          65 |           0 |    103-81-0 | 55.98% | 3848-3870-0 |  49.86% |   103-81-0 |    55.98% |    17-23-0 |    42.50% |        5-7-0 |       41.67% |           18-7-0 |          72.00% |          4 |      1.87% |            12 |             0 |          0 |        --- |           0 |           0 |
| Griselbrand                                                  |    21 |  2.24% |          36 |           1 |     80-98-0 | 44.94% | 3871-3853-0 |  50.12% |    79-97-0 |    44.89% |     8-15-0 |    34.78% |      10-11-0 |       47.62% |           11-9-0 |          55.00% |          5 |      2.34% |            11 |             0 |          0 |        --- |           0 |           0 |
| Forth Eorlingas!                                             |    21 |  2.24% |          22 |           5 |     83-94-0 | 46.89% | 3868-3857-0 |  50.07% |    83-94-0 |    46.89% |    14-12-0 |    53.85% |       7-15-0 |       31.82% |           9-19-0 |          32.14% |          5 |      2.34% |             7 |             0 |          0 |        --- |           0 |           0 |
| Mindbreak Trap                                               |    21 |  2.24% |           0 |          45 |     78-90-0 | 46.43% | 3873-3861-0 |  50.08% |    76-88-0 |    46.34% |    12-13-0 |    48.00% |        6-8-0 |       42.86% |           4-18-0 |          18.18% |          3 |      1.40% |             0 |             8 |          0 |        --- |           0 |           0 |
| Cling to Dust                                                |    20 |  2.14% |          29 |           0 |     72-82-0 | 46.75% | 3879-3869-0 |  50.06% |    71-81-0 |    46.71% |    10-13-0 |    43.48% |       6-11-0 |       35.29% |           11-7-0 |          61.11% |          4 |      1.87% |             6 |             0 |          0 |        --- |           0 |           0 |
| Wastes                                                       |    20 |  2.14% |          28 |           0 |     88-97-0 | 47.57% | 3863-3854-0 |  50.06% |    87-96-0 |    47.54% |    17-15-0 |    53.12% |        9-9-0 |       50.00% |          14-13-0 |          51.85% |          6 |      2.80% |             8 |             0 |          0 |        --- |           0 |           0 |
| Spider-Punk                                                  |    20 |  2.14% |           7 |          37 |     69-85-0 | 44.81% | 3882-3866-0 |  50.10% |    67-83-0 |    44.67% |     5-22-0 |    18.52% |        8-8-0 |       50.00% |           5-12-0 |          29.41% |          2 |      0.93% |             3 |             2 |          0 |        --- |           0 |           0 |
| Into the Flood Maw                                           |    20 |  2.14% |           0 |          34 |     66-87-0 | 43.14% | 3885-3864-0 |  50.14% |    65-86-0 |    43.05% |     8-21-0 |    27.59% |        8-9-0 |       47.06% |           6-11-0 |          35.29% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Toxic Deluge                                                 |    20 |  2.14% |           0 |          28 |     60-76-0 | 44.12% | 3891-3875-0 |  50.10% |    59-75-0 |    44.03% |     6-15-0 |    28.57% |        7-9-0 |       43.75% |            6-6-0 |          50.00% |          3 |      1.40% |             0 |             5 |          1 |     12.50% |           0 |           2 |
| Natural Order                                                |    19 |  2.03% |          52 |           4 |     91-78-0 | 53.85% | 3860-3873-0 |  49.92% |    91-78-0 |    53.85% |    16-13-0 |    55.17% |       5-10-0 |       33.33% |           6-13-0 |          31.58% |          6 |      2.80% |            14 |             3 |          0 |        --- |           0 |           0 |
| Devourer of Destiny                                          |    19 |  2.03% |          33 |           0 |     74-88-0 | 45.68% | 3877-3863-0 |  50.09% |    72-86-0 |    45.57% |    13-11-0 |    54.17% |        8-7-0 |       53.33% |          10-15-0 |          40.00% |          5 |      2.34% |             8 |             0 |          0 |        --- |           0 |           0 |
| Witherbloom Command                                          |    19 |  2.03% |          32 |           3 |     75-79-0 | 48.70% | 3876-3872-0 |  50.03% |    73-77-0 |    48.67% |     12-7-0 |    63.16% |       13-9-0 |       59.09% |           11-8-0 |          57.89% |          3 |      1.40% |             7 |             0 |          1 |     12.50% |           3 |           0 |
| Grist, the Hunger Tide                                       |    19 |  2.03% |          23 |           1 |     93-78-0 | 54.39% | 3858-3873-0 |  49.90% |    91-76-0 |    54.49% |    18-14-0 |    56.25% |       10-8-0 |       55.56% |          10-18-0 |          35.71% |          5 |      2.34% |             6 |             0 |          1 |     12.50% |           2 |           0 |
| Brotherhood's End                                            |    19 |  2.03% |           0 |          23 |     80-88-0 | 47.62% | 3871-3863-0 |  50.05% |    78-86-0 |    47.56% |     8-20-0 |    28.57% |       13-9-0 |       59.09% |           7-13-0 |          35.00% |          5 |      2.34% |             0 |             6 |          0 |        --- |           0 |           0 |
| Doomsday                                                     |    18 |  1.92% |          57 |          13 |     86-74-0 | 53.75% | 3865-3877-0 |  49.92% |    85-73-0 |    53.80% |     9-17-0 |    34.62% |       13-8-0 |       61.90% |           9-11-0 |          45.00% |          3 |      1.40% |             8 |             4 |          1 |     12.50% |           0 |           4 |
| Voice of Victory                                             |    18 |  1.92% |          52 |           4 |     64-77-0 | 45.39% | 3887-3874-0 |  50.08% |    63-76-0 |    45.32% |    13-17-0 |    43.33% |        2-9-0 |       18.18% |           8-10-0 |          44.44% |          3 |      1.40% |             8 |             2 |          0 |        --- |           0 |           0 |
| Baleful Strix                                                |    18 |  1.92% |          33 |           1 |     90-71-0 | 55.90% | 3861-3880-0 |  49.88% |    89-70-0 |    55.97% |    13-12-0 |    52.00% |        6-7-0 |       46.15% |          13-15-0 |          46.43% |          6 |      2.80% |            12 |             0 |          0 |        --- |           0 |           0 |
| Narset, Parter of Veils                                      |    18 |  1.92% |          21 |           6 |     87-74-0 | 54.04% | 3864-3877-0 |  49.92% |    84-71-0 |    54.19% |    12-17-0 |    41.38% |        3-8-0 |       27.27% |          12-13-0 |          48.00% |          6 |      2.80% |             4 |             2 |          0 |        --- |           0 |           0 |
| Twinshot Sniper                                              |    18 |  1.92% |           0 |          34 |     64-82-0 | 43.84% | 3887-3869-0 |  50.12% |    62-80-0 |    43.66% |     11-8-0 |    57.89% |       6-10-0 |       37.50% |           7-14-0 |          33.33% |          3 |      1.40% |             0 |             6 |          0 |        --- |           0 |           0 |
| Ocelot Pride                                                 |    17 |  1.82% |          68 |           0 |     60-72-0 | 45.45% | 3891-3879-0 |  50.08% |    59-71-0 |    45.38% |    11-16-0 |    40.74% |       3-10-0 |       23.08% |            5-8-0 |          38.46% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Guide of Souls                                               |    17 |  1.82% |          68 |           0 |     60-72-0 | 45.45% | 3891-3879-0 |  50.08% |    59-71-0 |    45.38% |    11-16-0 |    40.74% |       3-10-0 |       23.08% |            5-8-0 |          38.46% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Ignoble Hierarch                                             |    17 |  1.82% |          63 |           0 |     71-72-0 | 49.65% | 3880-3879-0 |  50.01% |    71-72-0 |    49.65% |    20-12-0 |    62.50% |        5-7-0 |       41.67% |           4-14-0 |          22.22% |          4 |      1.87% |            16 |             0 |          0 |        --- |           0 |           0 |
| Overlord of the Balemurk                                     |    17 |  1.82% |          61 |           0 |     75-68-0 | 52.45% | 3876-3883-0 |  49.95% |    74-67-0 |    52.48% |    17-15-0 |    53.12% |       6-10-0 |       37.50% |           6-11-0 |          35.29% |          4 |      1.87% |            15 |             0 |          0 |        --- |           0 |           0 |
| Nulldrifter                                                  |    17 |  1.82% |          60 |           0 |     51-67-0 | 43.22% | 3900-3884-0 |  50.10% |    50-66-0 |    43.10% |    15-13-0 |    53.57% |        4-5-0 |       44.44% |           3-10-0 |          23.08% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Street Wraith                                                |    17 |  1.82% |          32 |           6 |     81-72-0 | 52.94% | 3870-3879-0 |  49.94% |    79-70-0 |    53.02% |    11-15-0 |    42.31% |       13-8-0 |       61.90% |            9-9-0 |          50.00% |          3 |      1.40% |             6 |             2 |          1 |     12.50% |           0 |           2 |
| Urza's Bauble                                                |    17 |  1.82% |          26 |           0 |     56-69-0 | 44.80% | 3895-3882-0 |  50.08% |    55-68-0 |    44.72% |     7-12-0 |    36.84% |        6-3-0 |       66.67% |           2-12-0 |          14.29% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Taiga                                                        |    17 |  1.82% |          19 |           0 |     51-70-0 | 42.15% | 3900-3881-0 |  50.12% |    49-68-0 |    41.88% |     8-14-0 |    36.36% |        8-5-0 |       61.54% |           2-14-0 |          12.50% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Hullbreacher                                                 |    17 |  1.82% |           9 |          16 |     57-68-0 | 45.60% | 3894-3883-0 |  50.07% |    55-66-0 |    45.45% |    14-13-0 |    51.85% |        3-8-0 |       27.27% |           4-14-0 |          22.22% |          3 |      1.40% |             1 |             3 |          0 |        --- |           0 |           0 |
| Infernal Tutor                                               |    16 |  1.71% |          63 |           0 |     65-68-0 | 48.87% | 3886-3883-0 |  50.02% |    63-66-0 |    48.84% |     5-15-0 |    25.00% |        5-6-0 |       45.45% |            6-8-0 |          42.86% |          3 |      1.40% |            12 |             0 |          0 |        --- |           0 |           0 |
| Flame of Anor                                                |    16 |  1.71% |          57 |           0 |     49-62-0 | 44.14% | 3902-3889-0 |  50.08% |    49-62-0 |    44.14% |      4-8-0 |    33.33% |       5-10-0 |       33.33% |            5-8-0 |          38.46% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Edge of Autumn                                               |    16 |  1.71% |          21 |           3 |     78-66-0 | 54.17% | 3873-3885-0 |  49.92% |    77-65-0 |    54.23% |     9-14-0 |    39.13% |       13-7-0 |       65.00% |            9-9-0 |          50.00% |          3 |      1.40% |             4 |             1 |          1 |     12.50% |           0 |           1 |
| Consider                                                     |    16 |  1.71% |          16 |           0 |     78-66-0 | 54.17% | 3873-3885-0 |  49.92% |    77-65-0 |    54.23% |     9-14-0 |    39.13% |       13-7-0 |       65.00% |            9-9-0 |          50.00% |          3 |      1.40% |             3 |             0 |          1 |     12.50% |           1 |           0 |
| Song of Creation                                             |    16 |  1.71% |          16 |           0 |     53-67-0 | 44.17% | 3898-3884-0 |  50.09% |    51-65-0 |    43.97% |     4-19-0 |    17.39% |        9-4-0 |       69.23% |           3-11-0 |          21.43% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Fell the Profane // Fell Mire                                |    15 |  1.60% |          56 |           0 |     52-64-0 | 44.83% | 3899-3887-0 |  50.08% |    52-64-0 |    44.83% |     9-11-0 |    45.00% |        6-7-0 |       46.15% |            8-9-0 |          47.06% |          3 |      1.40% |            12 |             0 |          0 |        --- |           0 |           0 |
| Allosaurus Shepherd                                          |    15 |  1.60% |          45 |           0 |     89-62-0 | 58.94% | 3862-3889-0 |  49.83% |    88-61-0 |    59.06% |    12-10-0 |    54.55% |        6-5-0 |       54.55% |           8-10-0 |          44.44% |          5 |      2.34% |            14 |             0 |          0 |        --- |           0 |           0 |
| Birds of Paradise                                            |    15 |  1.60% |          45 |           0 |     85-63-0 | 57.43% | 3866-3888-0 |  49.86% |    82-60-0 |    57.75% |    15-11-0 |    57.69% |        7-3-0 |       70.00% |            9-7-0 |          56.25% |          6 |      2.80% |            21 |             0 |          0 |        --- |           0 |           0 |
| Tishana's Tidebinder                                         |    15 |  1.60% |          29 |           6 |     74-57-0 | 56.49% | 3877-3894-0 |  49.89% |    74-57-0 |    56.49% |    10-15-0 |    40.00% |        4-5-0 |       44.44% |           14-4-0 |          77.78% |          3 |      1.40% |             6 |             0 |          0 |        --- |           0 |           0 |
| Eldrazi Confluence                                           |    15 |  1.60% |          27 |           1 |     57-55-0 | 50.89% | 3894-3896-0 |  49.99% |    57-55-0 |    50.89% |     9-16-0 |    36.00% |        4-3-0 |       57.14% |            9-4-0 |          69.23% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Minor Misstep                                                |    15 |  1.60% |          17 |           3 |     67-57-0 | 54.03% | 3884-3894-0 |  49.94% |    67-57-0 |    54.03% |     8-11-0 |    42.11% |        6-7-0 |       46.15% |            9-6-0 |          60.00% |          3 |      1.40% |             4 |             0 |          0 |        --- |           0 |           0 |
| Arena of Glory                                               |    15 |  1.60% |          17 |           0 |     68-63-0 | 51.91% | 3883-3888-0 |  49.97% |    68-63-0 |    51.91% |    13-13-0 |    50.00% |        4-9-0 |       30.77% |           9-11-0 |          45.00% |          5 |      2.34% |             5 |             0 |          0 |        --- |           0 |           0 |
| Helm of Obedience                                            |    15 |  1.60% |          16 |          13 |     34-68-0 | 33.33% | 3917-3883-0 |  50.22% |    34-68-0 |    33.33% |     7-13-0 |    35.00% |        1-6-0 |       14.29% |           1-11-0 |           8.33% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Back to Basics                                               |    15 |  1.60% |          16 |           5 |     67-63-0 | 51.54% | 3884-3888-0 |  49.97% |    66-62-0 |    51.56% |     6-13-0 |    31.58% |       6-10-0 |       37.50% |          10-11-0 |          47.62% |          4 |      1.87% |             5 |             1 |          0 |        --- |           0 |           0 |
| Snow-Covered Swamp                                           |    15 |  1.60% |          15 |           0 |     76-67-0 | 53.15% | 3875-3884-0 |  49.94% |    75-66-0 |    53.19% |      5-9-0 |    35.71% |       10-8-0 |       55.56% |           9-11-0 |          45.00% |          5 |      2.34% |             5 |             0 |          0 |        --- |           0 |           0 |
| Ad Nauseam                                                   |    15 |  1.60% |          15 |           0 |     64-65-0 | 49.61% | 3887-3886-0 |  50.01% |    62-63-0 |    49.60% |     5-14-0 |    26.32% |        5-6-0 |       45.45% |            6-7-0 |          46.15% |          3 |      1.40% |             3 |             0 |          0 |        --- |           0 |           0 |
| Commercial District                                          |    15 |  1.60% |          15 |           0 |     44-62-0 | 41.51% | 3907-3889-0 |  50.12% |    42-60-0 |    41.18% |     5-13-0 |    27.78% |        8-5-0 |       61.54% |           2-11-0 |          15.38% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Haywire Mite                                                 |    15 |  1.60% |           2 |          14 |     79-69-0 | 53.38% | 3872-3882-0 |  49.94% |    78-68-0 |    53.42% |    13-17-0 |    43.33% |       11-9-0 |       55.00% |           12-8-0 |          60.00% |          4 |      1.87% |             0 |             4 |          1 |     12.50% |           0 |           1 |
| Aether Vial                                                  |    14 |  1.50% |          55 |           0 |     57-52-0 | 52.29% | 3894-3899-0 |  49.97% |    56-51-0 |    52.34% |    16-12-0 |    57.14% |        3-8-0 |       27.27% |            5-7-0 |          41.67% |          3 |      1.40% |            12 |             0 |          0 |        --- |           0 |           0 |
| Agadeem's Awakening // Agadeem, the Undercrypt               |    14 |  1.50% |          52 |           0 |     69-66-0 | 51.11% | 3882-3885-0 |  49.98% |    68-65-0 |    51.13% |     9-12-0 |    42.86% |       8-11-0 |       42.11% |            9-8-0 |          52.94% |          5 |      2.34% |            19 |             0 |          0 |        --- |           0 |           0 |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger                |    14 |  1.50% |          52 |           0 |     40-55-0 | 42.11% | 3911-3896-0 |  50.10% |    39-54-0 |    41.94% |    10-10-0 |    50.00% |        1-8-0 |       11.11% |            4-6-0 |          40.00% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Pact of Negation                                             |    14 |  1.50% |          49 |           1 |     70-65-0 | 51.85% | 3881-3886-0 |  49.97% |    69-64-0 |    51.88% |      9-9-0 |    50.00% |       7-12-0 |       36.84% |           12-7-0 |          63.16% |          5 |      2.34% |            20 |             0 |          0 |        --- |           0 |           0 |
| Wishclaw Talisman                                            |    14 |  1.50% |          44 |           0 |     65-63-0 | 50.78% | 3886-3888-0 |  49.99% |    63-61-0 |    50.81% |     6-14-0 |    30.00% |        5-5-0 |       50.00% |            6-5-0 |          54.55% |          3 |      1.40% |            10 |             0 |          0 |        --- |           0 |           0 |
| It That Heralds the End                                      |    14 |  1.50% |          34 |           0 |     61-66-0 | 48.03% | 3890-3885-0 |  50.03% |    60-65-0 |    48.00% |    10-10-0 |    50.00% |        5-7-0 |       41.67% |            9-9-0 |          50.00% |          4 |      1.87% |            10 |             0 |          0 |        --- |           0 |           0 |
| Quirion Ranger                                               |    14 |  1.50% |          29 |           0 |     75-58-0 | 56.39% | 3876-3893-0 |  49.89% |    74-57-0 |    56.49% |     9-10-0 |    47.37% |        6-5-0 |       54.55% |           8-10-0 |          44.44% |          4 |      1.87% |             8 |             0 |          0 |        --- |           0 |           0 |
| Raucous Theater                                              |    14 |  1.50% |          14 |           0 |     52-59-0 | 46.85% | 3899-3892-0 |  50.04% |    52-59-0 |    46.85% |     3-11-0 |    21.43% |        2-7-0 |       22.22% |            4-7-0 |          36.36% |          3 |      1.40% |             3 |             0 |          0 |        --- |           0 |           0 |
| Long Goodbye                                                 |    14 |  1.50% |           1 |          17 |     49-59-0 | 45.37% | 3902-3892-0 |  50.06% |    49-59-0 |    45.37% |     6-11-0 |    35.29% |       3-10-0 |       23.08% |            7-7-0 |          50.00% |          2 |      0.93% |             0 |             4 |          0 |        --- |           0 |           0 |
| Lavinia, Azorius Renegade                                    |    14 |  1.50% |           0 |          20 |     65-60-0 | 52.00% | 3886-3891-0 |  49.97% |    65-60-0 |    52.00% |      7-9-0 |    43.75% |        2-7-0 |       22.22% |          10-11-0 |          47.62% |          4 |      1.87% |             0 |             5 |          0 |        --- |           0 |           0 |
| Cursed Totem                                                 |    14 |  1.50% |           0 |          16 |     41-56-0 | 42.27% | 3910-3895-0 |  50.10% |    41-56-0 |    42.27% |    11-16-0 |    40.74% |        3-7-0 |       30.00% |            1-7-0 |          12.50% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Undercity Informer                                           |    13 |  1.39% |          52 |           0 |     64-62-0 | 50.79% | 3887-3889-0 |  49.99% |    63-61-0 |    50.81% |      9-9-0 |    50.00% |       6-11-0 |       35.29% |            9-8-0 |          52.94% |          5 |      2.34% |            20 |             0 |          0 |        --- |           0 |           0 |
| Balustrade Spy                                               |    13 |  1.39% |          52 |           0 |     64-62-0 | 50.79% | 3887-3889-0 |  49.99% |    63-61-0 |    50.81% |      9-9-0 |    50.00% |       6-11-0 |       35.29% |            9-8-0 |          52.94% |          5 |      2.34% |            20 |             0 |          0 |        --- |           0 |           0 |
| Wight of the Reliquary                                       |    13 |  1.39% |          52 |           0 |     60-56-0 | 51.72% | 3891-3895-0 |  49.97% |    60-56-0 |    51.72% |    14-10-0 |    58.33% |        4-7-0 |       36.36% |            4-8-0 |          33.33% |          4 |      1.87% |            16 |             0 |          0 |        --- |           0 |           0 |
| Stoneforge Mystic                                            |    13 |  1.39% |          52 |           0 |     55-48-0 | 53.40% | 3896-3903-0 |  49.96% |    55-48-0 |    53.40% |    12-11-0 |    52.17% |        3-9-0 |       25.00% |            4-6-0 |          40.00% |          3 |      1.40% |            12 |             0 |          0 |        --- |           0 |           0 |
| Seat of the Synod                                            |    13 |  1.39% |          50 |           0 |     40-52-0 | 43.48% | 3911-3899-0 |  50.08% |    40-52-0 |    43.48% |     7-15-0 |    31.82% |        2-3-0 |       40.00% |            4-9-0 |          30.77% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Emry, Lurker of the Loch                                     |    13 |  1.39% |          49 |           0 |     40-52-0 | 43.48% | 3911-3899-0 |  50.08% |    40-52-0 |    43.48% |     7-15-0 |    31.82% |        2-3-0 |       40.00% |            4-9-0 |          30.77% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Gamble                                                       |    13 |  1.39% |          49 |           0 |     36-55-0 | 39.56% | 3915-3896-0 |  50.12% |    35-54-0 |    39.33% |     4-12-0 |    25.00% |        7-4-0 |       63.64% |            2-8-0 |          20.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Torpor Orb                                                   |    13 |  1.39% |          33 |           5 |     47-55-0 | 46.08% | 3904-3896-0 |  50.05% |    46-54-0 |    46.00% |     13-9-0 |    59.09% |        4-6-0 |       40.00% |            6-6-0 |          50.00% |          3 |      1.40% |             7 |             1 |          0 |        --- |           0 |           0 |
| Galvanic Relay                                               |    13 |  1.39% |          23 |          13 |     40-53-0 | 43.01% | 3911-3898-0 |  50.08% |    39-52-0 |    42.86% |     4-12-0 |    25.00% |        8-4-0 |       66.67% |            3-8-0 |          27.27% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| White Orchid Phantom                                         |    13 |  1.39% |          23 |           9 |     58-48-0 | 54.72% | 3893-3903-0 |  49.94% |    57-47-0 |    54.81% |    15-12-0 |    55.56% |        4-7-0 |       36.36% |            7-5-0 |          58.33% |          3 |      1.40% |             4 |             4 |          0 |        --- |           0 |           0 |
