Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Brazen Borrower // Petty Theft                               |   314 | 33.55% |         522 |         122 | 1286-1290-0 | 49.92% | 2665-2661-0 |  50.04% |  888-892-0 |    49.89% |  199-221-0 |    47.38% |    131-122-0 |       51.78% |        151-194-0 |          43.77% |         73 |     34.11% |           124 |            33 |          3 |     37.50% |           6 |           1 |
| Swamp                                                        |   313 | 33.44% |         397 |           0 | 1257-1286-0 | 49.43% | 2694-2665-0 |  50.27% |  862-891-0 |    49.17% |  197-229-0 |    46.24% |    117-132-0 |       46.99% |        144-188-0 |          43.37% |         70 |     32.71% |            81 |             0 |          4 |     50.00% |           5 |           0 |
| Underground Sea                                              |   307 | 32.80% |         948 |           0 | 1279-1262-0 | 50.33% | 2672-2689-0 |  49.84% |  894-877-0 |    50.48% |  184-227-0 |    44.77% |    129-129-0 |       50.00% |        153-192-0 |          44.35% |         71 |     33.18% |           227 |             0 |          3 |     37.50% |          10 |           0 |
| Urza's Saga                                                  |   306 | 32.69% |        1113 |           5 | 1328-1299-0 | 50.55% | 2623-2652-0 |  49.73% |  897-868-0 |    50.82% |  245-251-0 |    49.40% |    110-138-0 |       44.35% |        152-160-0 |          48.72% |         75 |     35.05% |           270 |             1 |          5 |     62.50% |          19 |           0 |
| Murktide Regent                                              |   302 | 32.26% |         654 |          27 | 1234-1240-0 | 49.88% | 2717-2711-0 |  50.06% |  869-875-0 |    49.83% |  189-206-0 |    47.85% |    123-119-0 |       50.83% |        145-192-0 |          43.03% |         72 |     33.64% |           155 |            12 |          2 |     25.00% |           5 |           0 |
| Pithing Needle                                               |   295 | 31.52% |         166 |         200 | 1333-1251-0 | 51.59% | 2618-2700-0 |  49.23% |  916-834-0 |    52.34% |  251-238-0 |    51.33% |    109-136-0 |       44.49% |        149-157-0 |          48.69% |         77 |     35.98% |            41 |            58 |          5 |     62.50% |           4 |           2 |
| Undercity Sewers                                             |   281 | 30.02% |         416 |           0 | 1176-1161-0 | 50.32% | 2775-2790-0 |  49.87% |  860-845-0 |    50.44% |  168-211-0 |    44.33% |    123-116-0 |       51.46% |        145-178-0 |          44.89% |         67 |     31.31% |           106 |             0 |          3 |     37.50% |           5 |           0 |
| Lotus Petal                                                  |   277 | 29.59% |         941 |           1 | 1218-1181-0 | 50.77% | 2733-2770-0 |  49.66% |  828-791-0 |    51.14% |  192-242-0 |    44.24% |    128-132-0 |       49.23% |        137-157-0 |          46.60% |         67 |     31.31% |           230 |             0 |          4 |     50.00% |          14 |           0 |
| Scalding Tarn                                                |   266 | 28.42% |         500 |           0 | 1088-1083-0 | 50.12% | 2863-2868-0 |  49.96% |  807-802-0 |    50.16% |  164-195-0 |    45.68% |    116-108-0 |       51.79% |        115-172-0 |          40.07% |         57 |     26.64% |            99 |             0 |          3 |     37.50% |           3 |           0 |
| Null Rod                                                     |   259 | 27.67% |           2 |         376 |  968-1082-0 | 47.22% | 2983-2869-0 |  50.97% |  703-817-0 |    46.25% |  166-186-0 |    47.16% |     90-104-0 |       46.39% |        112-137-0 |          44.98% |         47 |     21.96% |             0 |            70 |          0 |        --- |           0 |           0 |
| Barrowgoyf                                                   |   254 | 27.14% |          80 |         535 | 1044-1045-0 | 49.98% | 2907-2906-0 |  50.01% |  780-781-0 |    49.97% |  164-180-0 |    47.67% |    106-109-0 |       49.30% |        123-161-0 |          43.31% |         59 |     27.57% |            22 |           127 |          3 |     37.50% |           2 |           7 |
| Fatal Push                                                   |   248 | 26.50% |         351 |         346 | 1029-1028-0 | 50.02% | 2922-2923-0 |  49.99% |  787-786-0 |    50.03% |  157-171-0 |    47.87% |    106-104-0 |       50.48% |        126-155-0 |          44.84% |         60 |     28.04% |            54 |           105 |          3 |     37.50% |           1 |           7 |
| Swords to Plowshares                                         |   221 | 23.61% |         704 |         158 |   972-924-0 | 51.27% | 2979-3027-0 |  49.60% |  754-706-0 |    51.64% |  187-182-0 |    50.68% |     72-101-0 |       41.62% |        110-124-0 |          47.01% |         58 |     27.10% |           169 |            55 |          1 |     12.50% |           2 |           2 |
| Hydroblast                                                   |   217 | 23.18% |           0 |         335 |   824-880-0 | 48.36% | 3127-3071-0 |  50.45% |  622-678-0 |    47.85% |  128-159-0 |    44.60% |      74-69-0 |       51.75% |         88-121-0 |          42.11% |         42 |     19.63% |             0 |            63 |          0 |        --- |           0 |           0 |
| Dismember                                                    |   211 | 22.54% |          15 |         364 |   960-914-0 | 51.23% | 2991-3037-0 |  49.62% |  755-709-0 |    51.57% |  157-166-0 |    48.61% |      78-94-0 |       45.35% |        115-126-0 |          47.72% |         56 |     26.17% |             4 |            95 |          3 |     37.50% |           0 |           5 |
| Orcish Bowmasters                                            |   203 | 21.69% |         591 |          38 |   749-814-0 | 47.92% | 3202-3137-0 |  50.51% |  587-652-0 |    47.38% |  112-136-0 |    45.16% |      76-87-0 |       46.63% |         93-116-0 |          44.50% |         37 |     17.29% |           109 |             5 |          2 |     25.00% |           6 |           0 |
| Atraxa, Grand Unifier                                        |   198 | 21.15% |         270 |           1 |   895-826-0 | 52.00% | 3056-3125-0 |  49.44% |  708-639-0 |    52.56% |  145-151-0 |    48.99% |      92-97-0 |       48.68% |        102-129-0 |          44.16% |         55 |     25.70% |            68 |             1 |          3 |     37.50% |           3 |           0 |
| Bloodstained Mire                                            |   197 | 21.05% |         326 |           0 |   773-813-0 | 48.74% | 3178-3138-0 |  50.32% |  618-658-0 |    48.43% |  115-150-0 |    43.40% |      79-84-0 |       48.47% |         95-130-0 |          42.22% |         44 |     20.56% |            67 |             0 |          2 |     25.00% |           2 |           0 |
| Engineered Explosives                                        |   191 | 20.41% |           2 |         233 |   804-799-0 | 50.16% | 3147-3152-0 |  49.96% |  665-660-0 |    50.19% |  119-138-0 |    46.30% |      82-79-0 |       50.93% |         98-128-0 |          43.36% |         50 |     23.36% |             0 |            64 |          2 |     25.00% |           0 |           2 |
| The One Ring                                                 |   187 | 19.98% |         655 |          34 |   804-777-0 | 50.85% | 3147-3174-0 |  49.79% |  651-624-0 |    51.06% |  136-161-0 |    45.79% |      71-86-0 |       45.22% |         104-82-0 |          55.91% |         43 |     20.09% |           157 |             8 |          3 |     37.50% |          12 |           0 |
| Karakas                                                      |   184 | 19.66% |         208 |          10 |   750-774-0 | 49.21% | 3201-3177-0 |  50.19% |  605-629-0 |    49.03% |  149-155-0 |    49.01% |      59-91-0 |       39.33% |          80-94-0 |          45.98% |         39 |     18.22% |            46 |             1 |          0 |        --- |           0 |           0 |
| Grafdigger's Cage                                            |   183 | 19.55% |          22 |         205 |   714-778-0 | 47.86% | 3237-3173-0 |  50.50% |  570-634-0 |    47.34% |  117-137-0 |    46.06% |      73-77-0 |       48.67% |         77-102-0 |          43.02% |         38 |     17.76% |             5 |            40 |          0 |        --- |           0 |           0 |
| Verdant Catacombs                                            |   179 | 19.12% |         335 |           0 |   781-770-0 | 50.35% | 3170-3181-0 |  49.91% |  632-621-0 |    50.44% |  120-135-0 |    47.06% |      83-86-0 |       49.11% |         83-116-0 |          41.71% |         45 |     21.03% |            79 |             0 |          3 |     37.50% |           6 |           0 |
| Surgical Extraction                                          |   176 | 18.80% |          31 |         272 |   645-727-0 | 47.01% | 3306-3224-0 |  50.63% |  511-593-0 |    46.29% |  102-143-0 |    41.63% |      62-62-0 |       50.00% |          73-95-0 |          43.45% |         30 |     14.02% |             4 |            46 |          0 |        --- |           0 |           0 |
| Reanimate                                                    |   173 | 18.48% |         625 |          14 |   799-729-0 | 52.29% | 3152-3222-0 |  49.45% |  654-584-0 |    52.83% |  133-130-0 |    50.57% |      84-90-0 |       48.28% |         97-113-0 |          46.19% |         51 |     23.83% |           187 |             5 |          3 |     37.50% |          12 |           0 |
| Plains                                                       |   173 | 18.48% |         271 |           1 |   728-727-0 | 50.03% | 3223-3224-0 |  49.99% |  594-593-0 |    50.04% |  141-140-0 |    50.18% |      51-78-0 |       39.53% |          77-99-0 |          43.75% |         42 |     19.63% |            59 |             0 |          1 |     12.50% |           1 |           0 |
| Pyroblast                                                    |   170 | 18.16% |         109 |         297 |   681-708-0 | 49.03% | 3270-3243-0 |  50.21% |  565-592-0 |    48.83% |  101-127-0 |    44.30% |      69-69-0 |       50.00% |         74-107-0 |          40.88% |         33 |     15.42% |            28 |            56 |          0 |        --- |           0 |           0 |
| Tundra                                                       |   167 | 17.84% |         340 |           0 |   729-697-0 | 51.12% | 3222-3254-0 |  49.75% |  605-573-0 |    51.36% |  134-137-0 |    49.45% |      56-69-0 |       44.80% |          86-95-0 |          47.51% |         44 |     20.56% |            88 |             0 |          1 |     12.50% |           2 |           0 |
| Tropical Island                                              |   167 | 17.84% |         263 |           0 |   768-704-0 | 52.17% | 3183-3247-0 |  49.50% |  632-568-0 |    52.67% |  137-138-0 |    49.82% |      71-71-0 |       50.00% |          82-94-0 |          46.59% |         44 |     20.56% |            67 |             0 |          1 |     12.50% |           1 |           0 |
| Prismatic Ending                                             |   167 | 17.84% |         173 |         163 |   774-701-0 | 52.47% | 3177-3250-0 |  49.43% |  642-569-0 |    53.01% |  141-142-0 |    49.82% |      58-69-0 |       45.67% |          87-90-0 |          49.15% |         48 |     22.43% |            44 |            54 |          1 |     12.50% |           1 |           1 |
| Entomb                                                       |   157 | 16.77% |         622 |           0 |   736-657-0 | 52.84% | 3215-3294-0 |  49.39% |  618-539-0 |    53.41% |  118-118-0 |    50.00% |      76-73-0 |       51.01% |         93-103-0 |          47.45% |         47 |     21.96% |           185 |             0 |          3 |     37.50% |          12 |           0 |
| Soul-Guide Lantern                                           |   154 | 16.45% |         153 |          19 |   661-634-0 | 51.04% | 3290-3317-0 |  49.80% |  549-522-0 |    51.26% |  114-123-0 |    48.10% |      54-69-0 |       43.90% |          85-72-0 |          54.14% |         37 |     17.29% |            41 |             0 |          3 |     37.50% |           4 |           0 |
