2025 North America Legacy Championship (2025-10-12)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  | Top |  % of   | Top 217 |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings | 217 | Top 217 |  Pen.   |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
| Mono Green Cloudpost           |  0.64% |     6 |     49.05% |   24 |     23 |     0 | 51.06% |    51.06% | 51.71% |   53.94% |   1 |   0.46% |  16.67% |
| Other Stompy                   |  0.64% |     6 |     30.58% |   13 |     23 |     0 | 36.11% |    36.11% | 47.40% |   36.04% |   0 |   0.00% |   0.00% |
| Other Permanent Combo          |  0.53% |     5 |     37.67% |   14 |     21 |     0 | 40.00% |    40.00% | 46.05% |   48.43% |   0 |   0.00% |   0.00% |
| Rakdos Reanimator              |  0.53% |     5 |     31.76% |   17 |     21 |     0 | 44.74% |    44.74% | 42.30% |   43.46% |   1 |   0.46% |  20.00% |
| 8Cast                          |  0.42% |     4 |     19.28% |    5 |     17 |     0 | 22.73% |    22.73% | 41.93% |   40.27% |   0 |   0.00% |   0.00% |
| Black Midrange                 |  0.42% |     4 |     36.31% |    9 |     18 |     0 | 33.33% |    33.33% | 37.01% |   31.09% |   0 |   0.00% |   0.00% |
| Elves                          |  0.42% |     4 |     44.92% |   13 |     15 |     0 | 46.43% |    46.43% | 47.76% |   54.70% |   0 |   0.00% |   0.00% |
| Esper Control                  |  0.42% |     4 |     24.23% |    9 |     18 |     0 | 33.33% |    33.33% | 44.20% |   47.67% |   1 |   0.46% |  25.00% |
| Esper Tempo                    |  0.42% |     4 |     66.00% |   23 |     18 |     0 | 56.10% |    56.10% | 53.04% |   56.04% |   2 |   0.92% |  50.00% |
| Infect                         |  0.42% |     4 |     36.04% |   11 |     17 |     0 | 39.29% |    39.29% | 38.09% |   39.76% |   0 |   0.00% |   0.00% |
| Other Tempo                    |  0.42% |     4 |     18.51% |    5 |     16 |     0 | 23.81% |    23.81% | 38.68% |   30.56% |   0 |   0.00% |   0.00% |
| Stoneblade                     |  0.42% |     4 |     40.28% |   15 |     16 |     0 | 48.39% |    48.39% | 40.98% |   46.52% |   1 |   0.46% |  25.00% |
| Goblins (Vial)                 |  0.32% |     3 |     27.37% |    6 |     11 |     0 | 35.29% |    35.29% | 37.99% |   25.46% |   0 |   0.00% |   0.00% |
| Mono Black Reanimator          |  0.32% |     3 |     45.80% |   13 |     14 |     0 | 48.15% |    48.15% | 51.56% |   48.67% |   1 |   0.46% |  33.33% |
| Worldgorger                    |  0.32% |     3 |     44.81% |   14 |     15 |     0 | 48.28% |    48.28% | 44.99% |   44.81% |   1 |   0.46% |  33.33% |
| Beanstalk Control (Yorion)     |  0.21% |     2 |     80.40% |   14 |      9 |     0 | 60.87% |    60.87% | 41.55% |   46.52% |   1 |   0.46% |  50.00% |
| Boros Stompy                   |  0.21% |     2 |     87.98% |   19 |     11 |     0 | 63.33% |    63.33% | 54.90% |   53.29% |   2 |   0.92% | 100.00% |
| Food Chain                     |  0.21% |     2 |     42.58% |    6 |      8 |     0 | 42.86% |    42.86% | 54.40% |   39.29% |   0 |   0.00% |   0.00% |
| Golgari Depths                 |  0.21% |     2 |     22.35% |    3 |      8 |     0 | 27.27% |    27.27% | 28.85% |   39.39% |   0 |   0.00% |   0.00% |
| Loam                           |  0.21% |     2 |     12.02% |    2 |     11 |     0 | 15.38% |    15.38% | 34.38% |   19.23% |   0 |   0.00% |   0.00% |
| Maverick                       |  0.21% |     2 |     73.89% |   13 |     10 |     0 | 56.52% |    56.52% | 43.85% |   55.07% |   1 |   0.46% |  50.00% |
| Naya Stompy                    |  0.21% |     2 |     39.99% |    6 |      8 |     0 | 42.86% |    42.86% | 51.28% |   52.68% |   1 |   0.46% |  50.00% |
| Selesnya Depths                |  0.21% |     2 |     67.27% |   12 |      9 |     0 | 57.14% |    57.14% | 51.06% |   56.33% |   1 |   0.46% |  50.00% |
| Standstill                     |  0.21% |     2 |     21.72% |    3 |     10 |     0 | 23.08% |    23.08% | 32.79% |   23.08% |   0 |   0.00% |   0.00% |
| 4C Uro Control (Non-Yorion)    |  0.11% |     1 |     92.90% |   10 |      5 |     0 | 66.67% |    66.67% | 58.42% |   66.67% |   1 |   0.46% | 100.00% |
| 8Mulch                         |  0.11% |     1 |     54.45% |    4 |      4 |     0 | 50.00% |    50.00% | 56.41% |   50.00% |   0 |   0.00% |   0.00% |
| Bomberman                      |  0.11% |     1 |      8.26% |    1 |      5 |     0 | 16.67% |    16.67% | 47.35% |   16.67% |   0 |   0.00% |   0.00% |
| Creative Technique             |  0.11% |     1 |     52.86% |    4 |      4 |     0 | 50.00% |    50.00% | 43.38% |   51.93% |   0 |   0.00% |   0.00% |
| Death and Taxes (60 Card)      |  0.11% |     1 |     65.25% |    5 |      4 |     0 | 55.56% |    55.56% | 42.25% |   43.20% |   0 |   0.00% |   0.00% |
| Esper Vial                     |  0.11% |     1 |     94.17% |   10 |      5 |     0 | 66.67% |    66.67% | 55.13% |   61.11% |   1 |   0.46% | 100.00% |
| High Tide                      |  0.11% |     1 |     11.33% |    1 |      5 |     0 | 16.67% |    16.67% | 39.35% |   25.00% |   0 |   0.00% |   0.00% |
| Merfolk                        |  0.11% |     1 |     11.23% |    1 |      4 |     0 | 20.00% |    20.00% | 54.75% |   36.67% |   0 |   0.00% |   0.00% |
| Naya Depths                    |  0.11% |     1 |     42.16% |    3 |      4 |     0 | 42.86% |    42.86% | 45.55% |   42.86% |   0 |   0.00% |   0.00% |
| Ninjas                         |  0.11% |     1 |     29.87% |    2 |      3 |     0 | 40.00% |    40.00% | 47.34% |   36.43% |   0 |   0.00% |   0.00% |
| Other Graveyard                |  0.11% |     1 |     62.18% |    4 |      3 |     0 | 57.14% |    57.14% | 55.56% |   57.14% |   0 |   0.00% |   0.00% |
| Ruby Storm                     |  0.11% |     1 |     75.53% |    5 |      3 |     0 | 62.50% |    62.50% | 64.14% |   62.50% |   0 |   0.00% |   0.00% |
| Sultai Control                 |  0.11% |     1 |     98.94% |   12 |      3 |     0 | 80.00% |    80.00% | 47.86% |   76.67% |   1 |   0.46% | 100.00% |
| Temur Cascade                  |  0.11% |     1 |     61.97% |    4 |      4 |     0 | 50.00% |    50.00% | 42.42% |   48.33% |   0 |   0.00% |   0.00% |
| Tin Fins                       |  0.11% |     1 |     55.19% |    4 |      2 |     0 | 66.67% |    66.67% | 53.39% |   66.67% |   0 |   0.00% |   0.00% |
| White Stompy                   |  0.11% |     1 |     86.97% |    9 |      6 |     0 | 60.00% |    60.00% | 49.40% |   41.11% |   1 |   0.46% | 100.00% |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
| All Tempo                      | 13.56% |   128 |     45.37% |  462 |    519 |     0 | 47.09% |    46.58% | 49.36% |   49.32% |  24 |  11.06% |  18.75% |
| All Nadu                       | 11.44% |   108 |     58.16% |  541 |    458 |     0 | 54.15% |    54.69% | 52.66% |   51.97% |  35 |  16.13% |  32.41% |
| All Beanstalk                  |  2.12% |    20 |     41.61% |   64 |     85 |     0 | 42.95% |    42.66% | 42.24% |   39.87% |   2 |   0.92% |  10.00% |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
