Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Burning Wish                                               |    26 |  3.07% |         26 |          0 |     93-96-0 | 49.21% | 4104-4101-0 |  50.02% |    90-93-0 |    49.18% |          4 |      3.60% |             4 |             0 |
| Cephalid Illusionist                                       |    26 |  3.07% |         26 |          0 |     87-98-0 | 47.03% | 4110-4099-0 |  50.07% |    85-96-0 |    46.96% |          2 |      1.80% |             2 |             0 |
| Exploration                                                |    26 |  3.07% |         26 |          0 |     67-86-0 | 43.79% | 4130-4111-0 |  50.12% |    66-85-0 |    43.71% |          0 |        --- |             0 |             0 |
| Nomads en-Kor                                              |    26 |  3.07% |         26 |          0 |     87-98-0 | 47.03% | 4110-4099-0 |  50.07% |    85-96-0 |    46.96% |          2 |      1.80% |             2 |             0 |
| Rest in Peace                                              |    26 |  3.07% |          0 |         26 |     73-98-0 | 42.69% | 4124-4099-0 |  50.15% |    73-98-0 |    42.69% |          1 |      0.90% |             0 |             1 |
| Shared Summons                                             |    26 |  3.07% |          0 |         26 |    89-100-0 | 47.09% | 4108-4097-0 |  50.07% |    87-98-0 |    47.03% |          2 |      1.80% |             0 |             2 |
| Shuko                                                      |    26 |  3.07% |         26 |          0 |     87-98-0 | 47.03% | 4110-4099-0 |  50.07% |    85-96-0 |    46.96% |          2 |      1.80% |             2 |             0 |
| Sneak Attack                                               |    26 |  3.07% |         25 |          1 |   100-105-0 | 48.78% | 4097-4092-0 |  50.03% |   98-103-0 |    48.76% |          4 |      3.60% |             4 |             0 |
| Street Wraith                                              |    26 |  3.07% |         26 |          0 |    104-91-0 | 53.33% | 4093-4106-0 |  49.92% |   100-87-0 |    53.48% |          4 |      3.60% |             4 |             0 |
| Void Mirror                                                |    26 |  3.07% |          0 |         26 |     81-97-0 | 45.51% | 4116-4100-0 |  50.10% |    79-95-0 |    45.40% |          2 |      1.80% |             0 |             2 |
| Wastes                                                     |    26 |  3.07% |         26 |          0 |    112-99-0 | 53.08% | 4085-4098-0 |  49.92% |   106-93-0 |    53.27% |          5 |      4.50% |             5 |             0 |
| Archon of Cruelty                                          |    25 |  2.95% |         25 |          0 |   105-100-0 | 51.22% | 4092-4097-0 |  49.97% |   100-95-0 |    51.28% |          5 |      4.50% |             5 |             0 |
| Badgermole Cub                                             |    25 |  2.95% |         25 |          0 |    118-85-0 | 58.13% | 4079-4112-0 |  49.80% |   115-82-0 |    58.38% |          5 |      4.50% |             5 |             0 |
| Consider                                                   |    25 |  2.95% |         25 |          0 |    102-85-0 | 54.55% | 4095-4112-0 |  49.90% |    98-81-0 |    54.75% |          4 |      3.60% |             4 |             0 |
| Doomsday                                                   |    25 |  2.95% |         25 |          0 |    102-85-0 | 54.55% | 4095-4112-0 |  49.90% |    98-81-0 |    54.75% |          4 |      3.60% |             4 |             0 |
| Edge of Autumn                                             |    25 |  2.95% |         25 |          0 |    102-85-0 | 54.55% | 4095-4112-0 |  49.90% |    98-81-0 |    54.75% |          4 |      3.60% |             4 |             0 |
| Elvish Spirit Guide                                        |    25 |  2.95% |         25 |          0 |     87-89-0 | 49.43% | 4110-4108-0 |  50.01% |    87-89-0 |    49.43% |          3 |      2.70% |             3 |             0 |
| Empty the Warrens                                          |    25 |  2.95% |          0 |         25 |     84-92-0 | 47.73% | 4113-4105-0 |  50.05% |    82-90-0 |    47.67% |          3 |      2.70% |             0 |             3 |
| Leyline Binding                                            |    25 |  2.95% |         25 |          0 |    121-92-0 | 56.81% | 4076-4105-0 |  49.82% |   119-90-0 |    56.94% |          8 |      7.21% |             8 |             0 |
| Sublime Epiphany                                           |    25 |  2.95% |          0 |         25 |     93-97-0 | 48.95% | 4104-4100-0 |  50.02% |    92-96-0 |    48.94% |          3 |      2.70% |             0 |             3 |
| Wight of the Reliquary                                     |    25 |  2.95% |         25 |          0 |    100-90-0 | 52.63% | 4097-4107-0 |  49.94% |    96-86-0 |    52.75% |          4 |      3.60% |             4 |             0 |
| Baleful Strix                                              |    24 |  2.83% |         24 |          0 |     75-75-0 | 50.00% | 4122-4122-0 |  50.00% |    74-74-0 |    50.00% |          1 |      0.90% |             1 |             0 |
| Natural Order                                              |    24 |  2.83% |         24 |          0 |    107-82-0 | 56.61% | 4090-4115-0 |  49.85% |   105-80-0 |    56.76% |          5 |      4.50% |             5 |             0 |
| Sejiri Steppe                                              |    24 |  2.83% |         23 |          1 |     69-76-0 | 47.59% | 4128-4121-0 |  50.04% |    68-75-0 |    47.55% |          0 |        --- |             0 |             0 |
| Triumph of Saint Katherine                                 |    24 |  2.83% |          7 |         19 |     86-81-0 | 51.50% | 4111-4116-0 |  49.97% |    86-81-0 |    51.50% |          2 |      1.80% |             0 |             2 |
| Xander's Lounge                                            |    24 |  2.83% |         24 |          0 |    112-89-0 | 55.72% | 4085-4108-0 |  49.86% |   110-87-0 |    55.84% |          7 |      6.31% |             7 |             0 |
| Boggart Trawler // Boggart Bog                             |    23 |  2.71% |         23 |          0 |     91-79-0 | 53.53% | 4106-4118-0 |  49.93% |    90-78-0 |    53.57% |          3 |      2.70% |             3 |             0 |
| Orim's Chant                                               |    23 |  2.71% |         21 |          5 |     73-85-0 | 46.20% | 4124-4112-0 |  50.07% |    71-83-0 |    46.10% |          2 |      1.80% |             1 |             1 |
| Skyclave Apparition                                        |    23 |  2.71% |         23 |          1 |     87-77-0 | 53.05% | 4110-4120-0 |  49.94% |    85-75-0 |    53.12% |          3 |      2.70% |             3 |             0 |
| Trinisphere                                                |    23 |  2.71% |         12 |         13 |     71-86-0 | 45.22% | 4126-4111-0 |  50.09% |    71-86-0 |    45.22% |          1 |      0.90% |             0 |             1 |
| Ad Nauseam                                                 |    22 |  2.59% |         22 |          0 |     92-81-0 | 53.18% | 4105-4116-0 |  49.93% |    90-79-0 |    53.25% |          3 |      2.70% |             3 |             0 |
| Basalt Monolith                                            |    22 |  2.59% |         22 |          0 |     68-78-0 | 46.58% | 4129-4119-0 |  50.06% |    68-78-0 |    46.58% |          1 |      0.90% |             1 |             0 |
| Brotherhood's End                                          |    22 |  2.59% |          0 |         22 |     86-91-0 | 48.59% | 4111-4106-0 |  50.03% |    85-90-0 |    48.57% |          3 |      2.70% |             0 |             3 |
| Flame of Anor                                              |    22 |  2.59% |         22 |          0 |     76-78-0 | 49.35% | 4121-4119-0 |  50.01% |    75-77-0 |    49.34% |          3 |      2.70% |             3 |             0 |
| Grindstone                                                 |    22 |  2.59% |         22 |          3 |     69-87-0 | 44.23% | 4128-4110-0 |  50.11% |    66-84-0 |    44.00% |          1 |      0.90% |             1 |             0 |
| Infernal Tutor                                             |    22 |  2.59% |         22 |          0 |     92-81-0 | 53.18% | 4105-4116-0 |  49.93% |    90-79-0 |    53.25% |          3 |      2.70% |             3 |             0 |
| Painter's Servant                                          |    22 |  2.59% |         22 |          0 |     69-87-0 | 44.23% | 4128-4110-0 |  50.11% |    66-84-0 |    44.00% |          1 |      0.90% |             1 |             0 |
| Recruiter of the Guard                                     |    22 |  2.59% |         22 |          0 |     86-74-0 | 53.75% | 4111-4123-0 |  49.93% |    85-73-0 |    53.80% |          3 |      2.70% |             3 |             0 |
| Snow-Covered Island                                        |    22 |  2.59% |         22 |          0 |     90-81-0 | 52.63% | 4107-4116-0 |  49.95% |    88-79-0 |    52.69% |          4 |      3.60% |             4 |             0 |
| Urza's Bauble                                              |    22 |  2.59% |         22 |          0 |     88-81-0 | 52.07% | 4109-4116-0 |  49.96% |    86-79-0 |    52.12% |          5 |      4.50% |             5 |             0 |
| Yorion, Sky Nomad                                          |    22 |  2.59% |          0 |         22 |    105-77-0 | 57.69% | 4092-4120-0 |  49.83% |   103-75-0 |    57.87% |          6 |      5.41% |             0 |             6 |
| Lair of the Hydra                                          |    21 |  2.48% |         21 |          0 |     85-70-0 | 54.84% | 4112-4127-0 |  49.91% |    84-69-0 |    54.90% |          3 |      2.70% |             3 |             0 |
| Sundering Eruption // Volcanic Fissure                     |    21 |  2.48% |         21 |          0 |     68-84-0 | 44.74% | 4129-4113-0 |  50.10% |    66-82-0 |    44.59% |          2 |      1.80% |             2 |             0 |
| Chaos Defiler                                              |    20 |  2.36% |         15 |          5 |     79-80-0 | 49.69% | 4118-4117-0 |  50.01% |    76-77-0 |    49.67% |          3 |      2.70% |             1 |             2 |
| Defense Grid                                               |    20 |  2.36% |         10 |         15 |     66-79-0 | 45.52% | 4131-4118-0 |  50.08% |    65-78-0 |    45.45% |          4 |      3.60% |             1 |             4 |
| Eldrazi Confluence                                         |    20 |  2.36% |         16 |          6 |     84-67-0 | 55.63% | 4113-4130-0 |  49.90% |    83-66-0 |    55.70% |          3 |      2.70% |             3 |             0 |
| Emry, Lurker of the Loch                                   |    20 |  2.36% |         20 |          0 |     81-74-0 | 52.26% | 4116-4123-0 |  49.96% |    78-71-0 |    52.35% |          5 |      4.50% |             5 |             0 |
| Intuition                                                  |    20 |  2.36% |         19 |          3 |     90-74-0 | 54.88% | 4107-4123-0 |  49.90% |    90-74-0 |    54.88% |          4 |      3.60% |             4 |             0 |
| Seat of the Synod                                          |    20 |  2.36% |         20 |          0 |     81-74-0 | 52.26% | 4116-4123-0 |  49.96% |    78-71-0 |    52.35% |          5 |      4.50% |             5 |             0 |
| Shatterskull Smashing // Shatterskull, the Hammer Pass     |    20 |  2.36% |         20 |          0 |     64-80-0 | 44.44% | 4133-4117-0 |  50.10% |    62-78-0 |    44.29% |          2 |      1.80% |             2 |             0 |
| Song of Creation                                           |    20 |  2.36% |         18 |          2 |     60-75-0 | 44.44% | 4137-4122-0 |  50.09% |    58-73-0 |    44.27% |          2 |      1.80% |             2 |             0 |
| Choke                                                      |    19 |  2.24% |          0 |         19 |     68-73-0 | 48.23% | 4129-4124-0 |  50.03% |    68-73-0 |    48.23% |          0 |        --- |             0 |             0 |
| Craterhoof Behemoth                                        |    19 |  2.24% |         19 |          0 |     92-65-0 | 58.60% | 4105-4132-0 |  49.84% |    91-64-0 |    58.71% |          5 |      4.50% |             5 |             0 |
| Echo of Eons                                               |    19 |  2.24% |         14 |         18 |     56-70-0 | 44.44% | 4141-4127-0 |  50.08% |    54-68-0 |    44.26% |          2 |      1.80% |             1 |             2 |
| Flickerwisp                                                |    19 |  2.24% |         19 |          0 |     81-63-0 | 56.25% | 4116-4134-0 |  49.89% |    81-63-0 |    56.25% |          3 |      2.70% |             3 |             0 |
| Lion Sash                                                  |    19 |  2.24% |         18 |          1 |     80-64-0 | 55.56% | 4117-4133-0 |  49.90% |    80-64-0 |    55.56% |          3 |      2.70% |             3 |             0 |
| Memory's Journey                                           |    19 |  2.24% |         18 |          1 |     72-65-0 | 52.55% | 4125-4132-0 |  49.96% |    71-64-0 |    52.59% |          2 |      1.80% |             2 |             0 |
| Opposition Agent                                           |    19 |  2.24% |          6 |         14 |     48-69-0 | 41.03% | 4149-4128-0 |  50.13% |    48-69-0 |    41.03% |          0 |        --- |             0 |             0 |
| Overlord of the Balemurk                                   |    19 |  2.24% |         19 |          0 |     88-65-0 | 57.52% | 4109-4132-0 |  49.86% |    88-65-0 |    57.52% |          4 |      3.60% |             4 |             0 |
| Pinnacle Emissary                                          |    19 |  2.24% |         19 |          0 |     80-71-0 | 52.98% | 4117-4126-0 |  49.95% |    78-69-0 |    53.06% |          5 |      4.50% |             5 |             0 |
| Poxwalkers                                                 |    19 |  2.24% |         19 |          0 |     84-69-0 | 54.90% | 4113-4128-0 |  49.91% |    83-68-0 |    54.97% |          3 |      2.70% |             3 |             0 |
| Pre-War Formalwear                                         |    19 |  2.24% |         19 |          0 |     78-62-0 | 55.71% | 4119-4135-0 |  49.90% |    77-61-0 |    55.80% |          3 |      2.70% |             3 |             0 |
| White Orchid Phantom                                       |    19 |  2.24% |         17 |          4 |     79-65-0 | 54.86% | 4118-4132-0 |  49.92% |    79-65-0 |    54.86% |          3 |      2.70% |             3 |             0 |
| Aether Spellbomb                                           |    18 |  2.12% |         11 |          7 |     76-69-0 | 52.41% | 4121-4128-0 |  49.96% |    74-67-0 |    52.48% |          5 |      4.50% |             2 |             3 |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger              |    18 |  2.12% |         18 |          0 |     70-54-0 | 56.45% | 4127-4143-0 |  49.90% |    69-53-0 |    56.56% |          2 |      1.80% |             2 |             0 |
| Elegant Parlor                                             |    18 |  2.12% |         18 |          0 |     54-56-0 | 49.09% | 4143-4141-0 |  50.01% |    52-54-0 |    49.06% |          0 |        --- |             0 |             0 |
| Elvish Reclaimer                                           |    18 |  2.12% |         13 |          5 |     54-55-0 | 49.54% | 4143-4142-0 |  50.01% |    53-54-0 |    49.53% |          1 |      0.90% |             1 |             0 |
| Fell the Profane // Fell Mire                              |    18 |  2.12% |         18 |          1 |     65-59-0 | 52.42% | 4132-4138-0 |  49.96% |    64-58-0 |    52.46% |          2 |      1.80% |             2 |             0 |
| Fiery Confluence                                           |    18 |  2.12% |          0 |         18 |     47-72-0 | 39.50% | 4150-4125-0 |  50.15% |    47-72-0 |    39.50% |          1 |      0.90% |             0 |             1 |
| Hogaak, Arisen Necropolis                                  |    18 |  2.12% |         18 |          0 |     57-61-0 | 48.31% | 4140-4136-0 |  50.02% |    57-61-0 |    48.31% |          1 |      0.90% |             1 |             0 |
| Icetill Explorer                                           |    18 |  2.12% |         12 |          6 |     74-62-0 | 54.41% | 4123-4135-0 |  49.93% |    74-62-0 |    54.41% |          1 |      0.90% |             0 |             1 |
| Molten Collapse                                            |    18 |  2.12% |         11 |          9 |     79-77-0 | 50.64% | 4118-4120-0 |  49.99% |    78-76-0 |    50.65% |          4 |      3.60% |             2 |             2 |
| Mystic Sanctuary                                           |    18 |  2.12% |         18 |          0 |     83-64-0 | 56.46% | 4114-4133-0 |  49.88% |    82-63-0 |    56.55% |          4 |      3.60% |             4 |             0 |
| Amped Raptor                                               |    17 |  2.00% |         17 |          0 |     59-55-0 | 51.75% | 4138-4142-0 |  49.98% |    58-54-0 |    51.79% |          1 |      0.90% |             1 |             0 |
| Bridge from Below                                          |    17 |  2.00% |         17 |          1 |     79-64-0 | 55.24% | 4118-4133-0 |  49.91% |    78-63-0 |    55.32% |          3 |      2.70% |             3 |             0 |
| Eumidian Hatchery                                          |    17 |  2.00% |         17 |          0 |     48-54-0 | 47.06% | 4149-4143-0 |  50.04% |    48-54-0 |    47.06% |          1 |      0.90% |             1 |             0 |
| Ghost Vacuum                                               |    17 |  2.00% |          5 |         12 |     56-62-0 | 47.46% | 4141-4135-0 |  50.04% |    55-61-0 |    47.41% |          1 |      0.90% |             0 |             1 |
| Great Furnace                                              |    17 |  2.00% |         16 |          1 |     59-65-0 | 47.58% | 4138-4132-0 |  50.04% |    57-63-0 |    47.50% |          1 |      0.90% |             1 |             0 |
| Into the Flood Maw                                         |    17 |  2.00% |          0 |         17 |     63-62-0 | 50.40% | 4134-4135-0 |  49.99% |    62-61-0 |    50.41% |          2 |      1.80% |             0 |             2 |
| Kappa Cannoneer                                            |    17 |  2.00% |         17 |          0 |     68-61-0 | 52.71% | 4129-4136-0 |  49.96% |    67-60-0 |    52.76% |          4 |      3.60% |             4 |             0 |
| Meteor Sword                                               |    17 |  2.00% |         17 |          0 |     75-59-0 | 55.97% | 4122-4138-0 |  49.90% |    75-59-0 |    55.97% |          3 |      2.70% |             3 |             0 |
| Quirion Ranger                                             |    17 |  2.00% |         17 |          0 |     82-58-0 | 58.57% | 4115-4139-0 |  49.85% |    81-57-0 |    58.70% |          4 |      3.60% |             4 |             0 |
| Voice of Victory                                           |    17 |  2.00% |         17 |          0 |     57-54-0 | 51.35% | 4140-4143-0 |  49.98% |    56-53-0 |    51.38% |          1 |      0.90% |             1 |             0 |
| Cling to Dust                                              |    16 |  1.89% |         15 |          1 |     52-49-0 | 51.49% | 4145-4148-0 |  49.98% |    52-49-0 |    51.49% |          2 |      1.80% |             1 |             1 |
| Commercial District                                        |    16 |  1.89% |         16 |          0 |     41-63-0 | 39.42% | 4156-4134-0 |  50.13% |    40-62-0 |    39.22% |          1 |      0.90% |             1 |             0 |
| Goblin Engineer                                            |    16 |  1.89% |         16 |          0 |     56-62-0 | 47.46% | 4141-4135-0 |  50.04% |    54-60-0 |    47.37% |          1 |      0.90% |             1 |             0 |
| Goblin Welder                                              |    16 |  1.89% |         16 |          0 |     56-62-0 | 47.46% | 4141-4135-0 |  50.04% |    54-60-0 |    47.37% |          1 |      0.90% |             1 |             0 |
| Guide of Souls                                             |    16 |  1.89% |         16 |          0 |     65-48-0 | 57.52% | 4132-4149-0 |  49.90% |    64-47-0 |    57.66% |          2 |      1.80% |             2 |             0 |
| Long Goodbye                                               |    16 |  1.89% |          1 |         15 |     69-52-0 | 57.02% | 4128-4145-0 |  49.90% |    68-51-0 |    57.14% |          4 |      3.60% |             0 |             4 |
| Ocelot Pride                                               |    16 |  1.89% |         16 |          0 |     65-48-0 | 57.52% | 4132-4149-0 |  49.90% |    64-47-0 |    57.66% |          2 |      1.80% |             2 |             0 |
| Path to Exile                                              |    16 |  1.89% |          0 |         16 |     77-54-0 | 58.78% | 4120-4143-0 |  49.86% |    77-54-0 |    58.78% |          3 |      2.70% |             0 |             3 |
| Phyrexian Dragon Engine                                    |    16 |  1.89% |         16 |          0 |     56-62-0 | 47.46% | 4141-4135-0 |  50.04% |    54-60-0 |    47.37% |          1 |      0.90% |             1 |             0 |
| Pulverize                                                  |    16 |  1.89% |          0 |         16 |     41-61-0 | 40.20% | 4156-4136-0 |  50.12% |    40-60-0 |    40.00% |          2 |      1.80% |             0 |             2 |
| Raucous Theater                                            |    16 |  1.89% |         16 |          0 |     59-67-0 | 46.83% | 4138-4130-0 |  50.05% |    57-65-0 |    46.72% |          1 |      0.90% |             1 |             0 |
| Assassin's Trophy                                          |    15 |  1.77% |          6 |         14 |     45-53-0 | 45.92% | 4152-4144-0 |  50.05% |    45-53-0 |    45.92% |          1 |      0.90% |             1 |             1 |
| Birds of Paradise                                          |    15 |  1.77% |         15 |          0 |     63-57-0 | 52.50% | 4134-4140-0 |  49.96% |    63-57-0 |    52.50% |          3 |      2.70% |             3 |             0 |
| Feed the Cycle                                             |    15 |  1.77% |         11 |          4 |     67-60-0 | 52.76% | 4130-4137-0 |  49.96% |    67-60-0 |    52.76% |          3 |      2.70% |             2 |             1 |
| Goblin Bombardment                                         |    15 |  1.77% |         15 |          0 |     53-46-0 | 53.54% | 4144-4151-0 |  49.96% |    52-45-0 |    53.61% |          1 |      0.90% |             1 |             0 |
| Smallpox                                                   |    15 |  1.77% |         15 |          0 |     43-47-0 | 47.78% | 4154-4150-0 |  50.02% |    43-47-0 |    47.78% |          1 |      0.90% |             1 |             0 |
| Springheart Nantuko                                        |    15 |  1.77% |         15 |          0 |     72-49-0 | 59.50% | 4125-4148-0 |  49.86% |    69-46-0 |    60.00% |          4 |      3.60% |             4 |             0 |
| Agadeem's Awakening // Agadeem, the Undercrypt             |    14 |  1.65% |         14 |          0 |     62-49-0 | 55.86% | 4135-4148-0 |  49.92% |    62-49-0 |    55.86% |          3 |      2.70% |             3 |             0 |
| Animate Dead                                               |    14 |  1.65% |         14 |          0 |     66-52-0 | 55.93% | 4131-4145-0 |  49.92% |    64-50-0 |    56.14% |          4 |      3.60% |             4 |             0 |
| Balustrade Spy                                             |    14 |  1.65% |         14 |          0 |     62-49-0 | 55.86% | 4135-4148-0 |  49.92% |    62-49-0 |    55.86% |          3 |      2.70% |             3 |             0 |
| Jace, Wielder of Mysteries                                 |    14 |  1.65% |          6 |          8 |     46-50-0 | 47.92% | 4151-4147-0 |  50.02% |    45-49-0 |    47.87% |          1 |      0.90% |             0 |             1 |
| Lush Portico                                               |    14 |  1.65% |         14 |          0 |     55-45-0 | 55.00% | 4142-4152-0 |  49.94% |    54-44-0 |    55.10% |          1 |      0.90% |             1 |             0 |
| Pyrogoyf                                                   |    14 |  1.65% |         14 |          0 |     41-55-0 | 42.71% | 4156-4142-0 |  50.08% |    40-54-0 |    42.55% |          1 |      0.90% |             1 |             0 |
| Undercity Informer                                         |    14 |  1.65% |         14 |          0 |     62-49-0 | 55.86% | 4135-4148-0 |  49.92% |    62-49-0 |    55.86% |          3 |      2.70% |             3 |             0 |
| Blast Zone                                                 |    13 |  1.53% |         12 |          1 |     35-47-0 | 42.68% | 4162-4150-0 |  50.07% |    34-46-0 |    42.50% |          0 |        --- |             0 |             0 |
| Galvanic Relay                                             |    13 |  1.53% |          3 |         13 |     32-47-0 | 40.51% | 4165-4150-0 |  50.09% |    32-47-0 |    40.51% |          1 |      0.90% |             0 |             1 |
| Gamble                                                     |    13 |  1.53% |         13 |          0 |     32-47-0 | 40.51% | 4165-4150-0 |  50.09% |    32-47-0 |    40.51% |          1 |      0.90% |             1 |             0 |
| Hymn to Tourach                                            |    13 |  1.53% |         13 |          0 |     42-50-0 | 45.65% | 4155-4147-0 |  50.05% |    42-50-0 |    45.65% |          1 |      0.90% |             1 |             0 |
| Personal Tutor                                             |    13 |  1.53% |         13 |          0 |     48-45-0 | 51.61% | 4149-4152-0 |  49.98% |    46-43-0 |    51.69% |          2 |      1.80% |             2 |             0 |
| Runehorn Hellkite                                          |    13 |  1.53% |         13 |          0 |     32-47-0 | 40.51% | 4165-4150-0 |  50.09% |    32-47-0 |    40.51% |          1 |      0.90% |             1 |             0 |
| Sire of Seven Deaths                                       |    13 |  1.53% |         12 |          1 |     44-45-0 | 49.44% | 4153-4152-0 |  50.01% |    43-44-0 |    49.43% |          1 |      0.90% |             1 |             0 |
| Snow-Covered Swamp                                         |    13 |  1.53% |         13 |          0 |     60-39-0 | 60.61% | 4137-4158-0 |  49.87% |    60-39-0 |    60.61% |          3 |      2.70% |             3 |             0 |
| Spider-Punk                                                |    13 |  1.53% |          0 |         13 |     56-49-0 | 53.33% | 4141-4148-0 |  49.96% |    55-48-0 |    53.40% |          2 |      1.80% |             0 |             2 |
| Supreme Verdict                                            |    13 |  1.53% |          5 |          9 |     39-50-0 | 43.82% | 4158-4147-0 |  50.07% |    37-48-0 |    43.53% |          1 |      0.90% |             0 |             1 |
| Unmask                                                     |    13 |  1.53% |          6 |          7 |     52-48-0 | 52.00% | 4145-4149-0 |  49.98% |    52-48-0 |    52.00% |          2 |      1.80% |             2 |             0 |
| Approach of the Second Sun                                 |    12 |  1.42% |          0 |         12 |     27-41-0 | 39.71% | 4170-4156-0 |  50.08% |    27-41-0 |    39.71% |          1 |      0.90% |             0 |             1 |
| Arena of Glory                                             |    12 |  1.42% |         12 |          0 |     42-44-0 | 48.84% | 4155-4153-0 |  50.01% |    41-43-0 |    48.81% |          1 |      0.90% |             1 |             0 |
| Fiend Artisan                                              |    12 |  1.42% |         12 |          0 |     56-42-0 | 57.14% | 4141-4155-0 |  49.92% |    56-42-0 |    57.14% |          3 |      2.70% |             3 |             0 |
| It That Heralds the End                                    |    12 |  1.42% |         12 |          0 |     37-44-0 | 45.68% | 4160-4153-0 |  50.04% |    37-44-0 |    45.68% |          1 |      0.90% |             1 |             0 |
| Pact of Negation                                           |    12 |  1.42% |         12 |          0 |     56-43-0 | 56.57% | 4141-4154-0 |  49.92% |    56-43-0 |    56.57% |          3 |      2.70% |             3 |             0 |
| Pernicious Deed                                            |    12 |  1.42% |          1 |         12 |     34-43-0 | 44.16% | 4163-4154-0 |  50.05% |    33-42-0 |    44.00% |          1 |      0.90% |             0 |             1 |
| Thalia, Guardian of Thraben                                |    12 |  1.42% |         12 |          0 |     43-36-0 | 54.43% | 4154-4161-0 |  49.96% |    43-36-0 |    54.43% |          0 |        --- |             0 |             0 |
| Wishclaw Talisman                                          |    12 |  1.42% |         12 |          0 |     47-43-0 | 52.22% | 4150-4154-0 |  49.98% |    47-43-0 |    52.22% |          1 |      0.90% |             1 |             0 |
| Agatha's Soul Cauldron                                     |    11 |  1.30% |         11 |          0 |     38-44-0 | 46.34% | 4159-4153-0 |  50.04% |    37-43-0 |    46.25% |          1 |      0.90% |             1 |             0 |
| Batterskull                                                |    11 |  1.30% |          7 |          4 |     32-39-0 | 45.07% | 4165-4158-0 |  50.04% |    31-38-0 |    44.93% |          0 |        --- |             0 |             0 |
| Celestial Purge                                            |    11 |  1.30% |          0 |         11 |     31-39-0 | 44.29% | 4166-4158-0 |  50.05% |    31-39-0 |    44.29% |          1 |      0.90% |             0 |             1 |
| Jack-o'-Lantern                                            |    11 |  1.30% |         10 |          1 |     37-39-0 | 48.68% | 4160-4158-0 |  50.01% |    37-39-0 |    48.68% |          1 |      0.90% |             1 |             0 |
| Minor Misstep                                              |    11 |  1.30% |          8 |          3 |     29-42-0 | 40.85% | 4168-4155-0 |  50.08% |    29-42-0 |    40.85% |          1 |      0.90% |             1 |             0 |
| Patchwork Automaton                                        |    11 |  1.30% |         11 |          0 |     55-44-0 | 55.56% | 4142-4153-0 |  49.93% |    54-43-0 |    55.67% |          4 |      3.60% |             4 |             0 |
| Plague Engineer                                            |    11 |  1.30% |          1 |         11 |     31-39-0 | 44.29% | 4166-4158-0 |  50.05% |    31-39-0 |    44.29% |          0 |        --- |             0 |             0 |
| Vault of Whispers                                          |    11 |  1.30% |         10 |          1 |     42-41-0 | 50.60% | 4155-4156-0 |  49.99% |    42-41-0 |    50.60% |          1 |      0.90% |             1 |             0 |
| Careful Study                                              |    10 |  1.18% |         10 |          0 |     32-36-0 | 47.06% | 4165-4161-0 |  50.02% |    32-36-0 |    47.06% |          1 |      0.90% |             1 |             0 |
| Echoing Deeps                                              |    10 |  1.18% |         10 |          0 |     31-34-0 | 47.69% | 4166-4163-0 |  50.02% |    31-34-0 |    47.69% |          0 |        --- |             0 |             0 |
| Memory Guardian                                            |    10 |  1.18% |         10 |          0 |     29-37-0 | 43.94% | 4168-4160-0 |  50.05% |    29-37-0 |    43.94% |          1 |      0.90% |             1 |             0 |
| Phyrexian Devourer                                         |    10 |  1.18% |         10 |          0 |     35-41-0 | 46.05% | 4162-4156-0 |  50.04% |    34-40-0 |    45.95% |          1 |      0.90% |             1 |             0 |
| Snow-Covered Forest                                        |    10 |  1.18% |         10 |          0 |     27-39-0 | 40.91% | 4170-4158-0 |  50.07% |    26-38-0 |    40.62% |          0 |        --- |             0 |             0 |
| Twinshot Sniper                                            |    10 |  1.18% |          0 |         10 |     30-35-0 | 46.15% | 4167-4162-0 |  50.03% |    30-35-0 |    46.15% |          0 |        --- |             0 |             0 |
| Unable to Scream                                           |    10 |  1.18% |          6 |          4 |     30-30-0 | 50.00% | 4167-4167-0 |  50.00% |    30-30-0 |    50.00% |          1 |      0.90% |             0 |             1 |
| Boomerang Basics                                           |     9 |  1.06% |          0 |          9 |     34-35-0 | 49.28% | 4163-4162-0 |  50.01% |    33-34-0 |    49.25% |          2 |      1.80% |             0 |             2 |
