Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Bitter Triumph	7	0.097222	16-14-3	0.530303	1	9
Broadside Bombardiers	7	0.097222	19-20-1	0.487500	27	0
Deafening Silence	7	0.097222	20-18-2	0.525000	0	13
Elvish Reclaimer	7	0.097222	22-18-1	0.548780	8	11
Gaddock Teeg	7	0.097222	23-21-0	0.522727	1	7
Ghost Vacuum	7	0.097222	15-17-1	0.469697	2	5
Meltdown	7	0.097222	19-19-2	0.500000	0	10
Perilous Snare	7	0.097222	19-16-0	0.542857	0	7
Portable Hole	7	0.097222	19-16-0	0.542857	6	4
Agatha's Soul Cauldron	6	0.083333	17-16-0	0.515152	9	3
Badlands	6	0.083333	6-15-1	0.295455	7	0
Cabal Therapy	6	0.083333	8-17-0	0.320000	16	0
Crop Rotation	6	0.083333	14-16-1	0.467742	23	0
Dread Return	6	0.083333	13-16-1	0.450000	7	0
Keen-Eyed Curator	6	0.083333	23-17-0	0.575000	6	2
Lush Portico	6	0.083333	17-17-0	0.500000	6	0
Maze of Ith	6	0.083333	17-16-1	0.514706	6	0
Memory's Journey	6	0.083333	13-16-1	0.450000	6	0
Mox Diamond	6	0.083333	17-16-1	0.514706	23	0
Mystic Forge	6	0.083333	14-14-0	0.500000	9	5
Narcomoeba	6	0.083333	13-16-1	0.450000	13	0
Noble Hierarch	6	0.083333	19-16-0	0.542857	11	0
Once Upon a Time	6	0.083333	17-15-1	0.530303	18	0
The Tabernacle at Pendrell Vale	6	0.083333	17-16-1	0.514706	4	2
Ugin, Eye of the Storms	6	0.083333	12-14-0	0.461538	12	2
Uro, Titan of Nature's Wrath	6	0.083333	17-17-0	0.500000	3	3
Yavimaya, Cradle of Growth	6	0.083333	14-16-1	0.467742	17	0
Abrade	5	0.069444	13-14-1	0.482143	0	8
Arid Mesa	5	0.069444	12-12-2	0.500000	15	0
Carpet of Flowers	5	0.069444	13-14-0	0.481481	0	10
Damping Sphere	5	0.069444	13-15-0	0.464286	0	7
Dark Depths	5	0.069444	14-13-1	0.517857	18	0
Dark Ritual	5	0.069444	8-16-0	0.333333	20	0
Delighted Halfling	5	0.069444	13-14-0	0.481481	14	0
Dragon's Rage Channeler	5	0.069444	16-13-1	0.550000	20	0
Dress Down	5	0.069444	15-15-0	0.500000	17	0
Fiery Confluence	5	0.069444	14-13-1	0.517857	0	8
Life from the Loam	5	0.069444	14-12-1	0.537037	18	0
Mishra's Bauble	5	0.069444	19-14-1	0.573529	19	0
Mishra's Research Desk	5	0.069444	19-11-0	0.633333	5	0
Red Elemental Blast	5	0.069444	13-16-0	0.448276	1	6
Rest in Peace	5	0.069444	12-15-0	0.444444	0	7
Sejiri Steppe	5	0.069444	14-13-1	0.517857	5	0
Snuff Out	5	0.069444	17-14-0	0.548387	0	8
Solitude	5	0.069444	21-11-2	0.647059	12	4
Sundering Eruption // Volcanic Fissure	5	0.069444	14-13-1	0.517857	18	0
Thespian's Stage	5	0.069444	14-13-1	0.517857	18	0
Thundering Falls	5	0.069444	17-15-1	0.530303	5	0
Bayou	4	0.055556	14-10-0	0.583333	6	0
Cephalid Illusionist	4	0.055556	9-10-1	0.475000	16	0
Chaos Defiler	4	0.055556	13-10-0	0.565217	3	1
Containment Priest	4	0.055556	10-12-2	0.458333	3	4
Cori-Steel Cutter	4	0.055556	16-11-1	0.589286	13	0
Elvish Spirit Guide	4	0.055556	6-12-0	0.333333	16	0
Exploration	4	0.055556	11-9-1	0.547619	16	0
Genemorph Imago	4	0.055556	8-12-0	0.400000	4	0
Ghost Quarter	4	0.055556	11-9-1	0.547619	4	0
Grindstone	4	0.055556	13-10-0	0.565217	6	1
Guide of Souls	4	0.055556	7-10-0	0.411765	16	0
