Card Statistics over 82 Decks (DMV Legacy League Classic (2025-11-08))
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |   Record   | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |    With    |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
| Deafening Silence                                       |    10 | 12.20% |    26-32-1 | 44.92% |           0 |          23 |
| Dryad Arbor                                             |    10 | 12.20% |    29-29-0 | 50.00% |          10 |           0 |
| Endurance                                               |    10 | 12.20% |    29-29-0 | 50.00% |          16 |           6 |
| Green Sun's Zenith                                      |    10 | 12.20% |    29-29-0 | 50.00% |          40 |           0 |
| Lightning Bolt                                          |    10 | 12.20% |    26-25-5 | 50.89% |          36 |           0 |
| Meticulous Archive                                      |    10 | 12.20% |    23-27-6 | 46.43% |          10 |           0 |
| Mountain                                                |    10 | 12.20% |    17-33-2 | 34.62% |          40 |           0 |
| Nadu, Winged Wisdom                                     |    10 | 12.20% |    31-27-1 | 53.39% |          40 |           0 |
| Nomads en-Kor                                           |    10 | 12.20% |    31-27-1 | 53.39% |          38 |           0 |
| Scrubland                                               |    10 | 12.20% |    27-31-3 | 46.72% |          16 |           0 |
| Sylvan Safekeeper                                       |    10 | 12.20% |    29-29-0 | 50.00% |          10 |           0 |
| Teferi, Time Raveler                                    |    10 | 12.20% |    22-29-2 | 43.40% |          12 |           1 |
| Blood Moon                                              |     9 | 10.98% |    21-24-4 | 46.94% |           9 |          10 |
| Boseiju, Who Endures                                    |     9 | 10.98% |    28-25-2 | 52.73% |          18 |           2 |
| Kozilek's Command                                       |     9 | 10.98% |    30-24-1 | 55.45% |          36 |           0 |
| Liquimetal Coating                                      |     9 | 10.98% |    30-24-1 | 55.45% |           0 |           9 |
| Meltdown                                                |     9 | 10.98% |    26-23-5 | 52.78% |           0 |          11 |
| Planar Nexus                                            |     9 | 10.98% |    30-24-1 | 55.45% |          36 |           0 |
| Simian Spirit Guide                                     |     9 | 10.98% |    23-27-0 | 46.00% |          26 |           0 |
| Urza's Tower                                            |     9 | 10.98% |    30-24-1 | 55.45% |          36 |           0 |
| Abrade                                                  |     8 |  9.76% |    20-19-4 | 51.16% |           0 |          10 |
| Cabal Therapy                                           |     8 |  9.76% |    26-27-1 | 49.07% |          21 |           0 |
| Clarion Conqueror                                       |     8 |  9.76% |    23-23-5 | 50.00% |           5 |          15 |
| Grim Monolith                                           |     8 |  9.76% |    26-21-1 | 55.21% |          32 |           0 |
| Hedge Maze                                              |     8 |  9.76% |    27-21-1 | 56.12% |           8 |           0 |
| Leyline of the Void                                     |     8 |  9.76% |    23-21-1 | 52.22% |           0 |          31 |
| Manifold Key                                            |     8 |  9.76% |    26-21-1 | 55.21% |          24 |           0 |
| Noble Hierarch                                          |     8 |  9.76% |    22-23-0 | 48.89% |          20 |           0 |
| Tezzeret, Cruel Captain                                 |     8 |  9.76% |    26-21-1 | 55.21% |          26 |           0 |
| Urza's Workshop                                         |     8 |  9.76% |    26-21-1 | 55.21% |          32 |           0 |
| Arid Mesa                                               |     7 |  8.54% |    18-23-2 | 44.19% |          21 |           0 |
| Chalice of the Void                                     |     7 |  8.54% |    20-21-1 | 48.81% |          24 |           3 |
| Dragon's Rage Channeler                                 |     7 |  8.54% |    20-16-4 | 55.00% |          28 |           0 |
| Expedition Map                                          |     7 |  8.54% |    26-20-1 | 56.38% |           7 |           0 |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki  |     7 |  8.54% |    11-22-0 | 33.33% |          27 |           0 |
| Fury                                                    |     7 |  8.54% |    11-22-0 | 33.33% |          12 |          10 |
| Glaring Fleshraker                                      |     7 |  8.54% |    26-19-1 | 57.61% |          28 |           0 |
| Grindstone                                              |     7 |  8.54% |    13-19-1 | 40.91% |          13 |           1 |
| Once Upon a Time                                        |     7 |  8.54% |    16-22-0 | 42.11% |          23 |           0 |
| Painter's Servant                                       |     7 |  8.54% |    13-19-1 | 40.91% |          27 |           1 |
| Portable Hole                                           |     7 |  8.54% |    24-18-1 | 56.98% |           6 |           4 |
| Red Elemental Blast                                     |     7 |  8.54% |    12-19-1 | 39.06% |           2 |           8 |
| Thassa's Oracle                                         |     7 |  8.54% |    23-21-1 | 52.22% |           7 |           5 |
| Thundering Falls                                        |     7 |  8.54% |    20-16-4 | 55.00% |           7 |           0 |
| Unholy Heat                                             |     7 |  8.54% |    20-16-4 | 55.00% |           8 |           3 |
| Badlands                                                |     6 |  7.32% |    14-22-2 | 39.47% |           7 |           0 |
| City of Traitors                                        |     6 |  7.32% |    11-20-0 | 35.48% |          16 |           0 |
| Containment Priest                                      |     6 |  7.32% |    15-18-3 | 45.83% |           1 |           9 |
| Cori-Steel Cutter                                       |     6 |  7.32% |    18-13-4 | 57.14% |          18 |           0 |
| Delver of Secrets // Insectile Aberration               |     6 |  7.32% |    18-13-4 | 57.14% |          19 |           0 |
| Dread Return                                            |     6 |  7.32% |    19-18-1 | 51.32% |           7 |           0 |
| Dress Down                                              |     6 |  7.32% |    14-18-4 | 44.44% |          15 |           1 |
| Lush Portico                                            |     6 |  7.32% |    18-17-0 | 51.43% |           6 |           0 |
| Mishra's Research Desk                                  |     6 |  7.32% |    21-14-1 | 59.72% |           6 |           0 |
| Mystic Forge                                            |     6 |  7.32% |    24-16-1 | 59.76% |          10 |           5 |
| Narcomoeba                                              |     6 |  7.32% |    19-18-1 | 51.32% |          16 |           0 |
| Outland Liberator // Frenzied Trapbreaker               |     6 |  7.32% |    15-19-0 | 44.12% |           0 |           6 |
| Perilous Snare                                          |     6 |  7.32% |    20-15-1 | 56.94% |           0 |           6 |
| Quantum Riddler                                         |     6 |  7.32% |    12-16-3 | 43.55% |          18 |           0 |
| Shadowspear                                             |     6 |  7.32% |    17-17-2 | 50.00% |           0 |           6 |
| Sink into Stupor // Soporific Springs                   |     6 |  7.32% |    22-16-1 | 57.69% |          20 |           0 |
| Voltaic Key                                             |     6 |  7.32% |    16-16-0 | 50.00% |           6 |           0 |
| Wrath of the Skies                                      |     6 |  7.32% |    13-18-3 | 42.65% |           2 |           9 |
| Aether Spellbomb                                        |     5 |  6.10% |    17-14-1 | 54.69% |           3 |           2 |
| Bojuka Bog                                              |     5 |  6.10% |    16-15-1 | 51.56% |           5 |           0 |
| Broadside Bombardiers                                   |     5 |  6.10% |    15-16-0 | 48.39% |          17 |           0 |
| Candelabra of Tawnos                                    |     5 |  6.10% |    14-14-1 | 50.00% |           5 |           0 |
| Carpet of Flowers                                       |     5 |  6.10% |    17-14-0 | 54.84% |           0 |          10 |
| Cavern of Souls                                         |     5 |  6.10% |    15-15-1 | 50.00% |           7 |           3 |
| Chaos Defiler                                           |     5 |  6.10% |     8-15-0 | 34.78% |           4 |           1 |
| Crop Rotation                                           |     5 |  6.10% |    16-15-1 | 51.56% |          19 |           0 |
| Cursed Totem                                            |     5 |  6.10% |    10-15-1 | 40.38% |           0 |           7 |
| Dark Ritual                                             |     5 |  6.10% |    18-16-0 | 52.94% |          20 |           0 |
| Delighted Halfling                                      |     5 |  6.10% |    17-14-0 | 54.84% |           9 |           0 |
| Emry, Lurker of the Loch                                |     5 |  6.10% |    17-14-1 | 54.69% |          19 |           0 |
| Gaddock Teeg                                            |     5 |  6.10% |    13-15-0 | 46.43% |           1 |           4 |
| Kaito, Bane of Nightmares                               |     5 |  6.10% |    11-16-2 | 41.38% |           8 |           0 |
| Keen-Eyed Curator                                       |     5 |  6.10% |    12-15-0 | 44.44% |           7 |           0 |
| Memory's Journey                                        |     5 |  6.10% |    17-14-1 | 54.69% |           5 |           0 |
| Mox Diamond                                             |     5 |  6.10% |    16-14-2 | 53.12% |          19 |           0 |
| Otawara, Soaring City                                   |     5 |  6.10% |    20-14-2 | 58.33% |           5 |           0 |
| Paradox Engine                                          |     5 |  6.10% |    13-14-0 | 48.15% |           0 |           5 |
| Price of Progress                                       |     5 |  6.10% |    12-14-2 | 46.43% |           0 |           6 |
| Seat of the Synod                                       |     5 |  6.10% |    17-14-1 | 54.69% |          20 |           0 |
| Shadowy Backstreet                                      |     5 |  6.10% |    16-17-1 | 48.53% |           6 |           0 |
| Ugin, Eye of the Storms                                 |     5 |  6.10% |    21-13-1 | 61.43% |           9 |           3 |
| Uro, Titan of Nature's Wrath                            |     5 |  6.10% |    22-12-1 | 64.29% |           1 |           4 |
| Yavimaya, Cradle of Growth                              |     5 |  6.10% |    16-15-1 | 51.56% |          14 |           0 |
| Agatha's Soul Cauldron                                  |     4 |  4.88% |     8-10-1 | 44.74% |           9 |           1 |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger           |     4 |  4.88% |    12-14-1 | 46.30% |          16 |           0 |
| Amped Raptor                                            |     4 |  4.88% |    12-14-1 | 46.30% |          16 |           0 |
| Basalt Monolith                                         |     4 |  4.88% |     8-12-0 | 40.00% |           4 |           0 |
| Birds of Paradise                                       |     4 |  4.88% |    13-11-0 | 54.17% |          13 |           0 |
| Boggart Trawler // Boggart Bog                          |     4 |  4.88% |    13-12-0 | 52.00% |          13 |           0 |
| Bridge from Below                                       |     4 |  4.88% |    14-13-0 | 51.85% |           6 |           0 |
| Chrome Mox                                              |     4 |  4.88% |    10-14-0 | 41.67% |          13 |           0 |
| Damping Sphere                                          |     4 |  4.88% |     5-12-0 | 29.41% |           0 |           7 |
| Dark Depths                                             |     4 |  4.88% |    12-12-1 | 50.00% |          14 |           0 |
| Duress                                                  |     4 |  4.88% |    16-10-1 | 61.11% |           0 |          10 |
| Elvish Reclaimer                                        |     4 |  4.88% |    12-12-1 | 50.00% |           4 |           7 |
| Elvish Spirit Guide                                     |     4 |  4.88% |    16-12-0 | 57.14% |          16 |           0 |
| Gaea's Cradle                                           |     4 |  4.88% |     9-12-0 | 42.86% |          13 |           0 |
| Ghost Quarter                                           |     4 |  4.88% |    13-11-2 | 53.85% |           4 |           0 |
| Ghost Vacuum                                            |     4 |  4.88% |    10-11-2 | 47.83% |           2 |           2 |
| Goblin Engineer                                         |     4 |  4.88% |     4-12-0 | 25.00% |          16 |           0 |
| Goblin Welder                                           |     4 |  4.88% |     4-12-0 | 25.00% |          16 |           0 |
| Great Furnace                                           |     4 |  4.88% |     4-12-0 | 25.00% |           9 |           0 |
| Guide of Souls                                          |     4 |  4.88% |    12-14-1 | 46.30% |          16 |           0 |
| Haywire Mite                                            |     4 |  4.88% |    10-11-1 | 47.73% |           0 |           4 |
| Kappa Cannoneer                                         |     4 |  4.88% |    13-11-1 | 54.00% |          13 |           0 |
