Card Statistics over 82 Decks (DMV Legacy League Classic (2025-11-08))
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |   Record   | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |    With    |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
| Yorion, Sky Nomad                                       |     2 |  2.44% |      9-4-1 | 67.86% |           0 |           2 |
| Aether Vial                                             |     1 |  1.22% |      4-3-0 | 57.14% |           4 |           0 |
| Agadeem's Awakening // Agadeem, the Undercrypt          |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Anger                                                   |     1 |  1.22% |      2-4-0 | 33.33% |           1 |           0 |
| Ashen Rider                                             |     1 |  1.22% |      2-4-0 | 33.33% |           0 |           1 |
| Baleful Strix                                           |     1 |  1.22% |      2-4-1 | 35.71% |           2 |           0 |
| Blue Sun's Zenith                                       |     1 |  1.22% |      3-4-0 | 42.86% |           0 |           1 |
| Breakthrough                                            |     1 |  1.22% |      2-4-0 | 33.33% |           2 |           0 |
| Cache Grab                                              |     1 |  1.22% |      6-2-1 | 72.22% |           2 |           0 |
| Careful Study                                           |     1 |  1.22% |      2-4-0 | 33.33% |           1 |           0 |
| Caves of Chaos Adventurer                               |     1 |  1.22% |      4-3-0 | 57.14% |           2 |           0 |
| Cephalid Coliseum                                       |     1 |  1.22% |      2-4-0 | 33.33% |           4 |           0 |
| Cityscape Leveler                                       |     1 |  1.22% |      2-3-0 | 40.00% |           1 |           1 |
| Cloudpost                                               |     1 |  1.22% |      4-3-0 | 57.14% |           4 |           0 |
| Commercial District                                     |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| Counterbalance                                          |     1 |  1.22% |      1-4-0 | 20.00% |           0 |           1 |
| Cunning Wish                                            |     1 |  1.22% |      3-4-0 | 42.86% |           1 |           1 |
| Dread of Night                                          |     1 |  1.22% |      3-3-0 | 50.00% |           0 |           1 |
| Eldrazi Confluence                                      |     1 |  1.22% |      0-2-0 |  0.00% |           0 |           1 |
| Eumidian Hatchery                                       |     1 |  1.22% |      4-2-1 | 64.29% |           4 |           0 |
| Exorcise                                                |     1 |  1.22% |      1-4-0 | 20.00% |           0 |           1 |
| Extirpate                                               |     1 |  1.22% |      0-3-0 |  0.00% |           0 |           2 |
| Eye of Ugin                                             |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Fae of Wishes // Granted                                |     1 |  1.22% |      3-4-0 | 42.86% |           1 |           0 |
| Faithless Looting                                       |     1 |  1.22% |      2-4-0 | 33.33% |           4 |           0 |
| Fiend Artisan                                           |     1 |  1.22% |      5-2-0 | 71.43% |           1 |           0 |
| Filter Out                                              |     1 |  1.22% |      3-4-0 | 42.86% |           0 |           1 |
| Flagstones of Trokair                                   |     1 |  1.22% |      3-3-0 | 50.00% |           2 |           0 |
| Flash of Insight                                        |     1 |  1.22% |      3-4-0 | 42.86% |           0 |           1 |
| Flickerwisp                                             |     1 |  1.22% |      4-3-0 | 57.14% |           2 |           0 |
| From the Catacombs                                      |     1 |  1.22% |      2-4-1 | 35.71% |           0 |           1 |
| Get Lost                                                |     1 |  1.22% |      0-3-0 |  0.00% |           0 |           2 |
| Glimmerpost                                             |     1 |  1.22% |      4-3-0 | 57.14% |           2 |           0 |
| Glissa Sunslayer                                        |     1 |  1.22% |      0-4-0 |  0.00% |           1 |           0 |
| Golgari Grave-Troll                                     |     1 |  1.22% |      2-4-0 | 33.33% |           4 |           0 |
| Golgari Thug                                            |     1 |  1.22% |      2-4-0 | 33.33% |           3 |           0 |
| Harbinger of the Seas                                   |     1 |  1.22% |      4-3-0 | 57.14% |           0 |           2 |
| Hide on the Ceiling                                     |     1 |  1.22% |      3-4-0 | 42.86% |           0 |           1 |
| High Tide                                               |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Hogaak, Arisen Necropolis                               |     1 |  1.22% |      4-2-1 | 64.29% |           2 |           0 |
| Hope of Ghirapur                                        |     1 |  1.22% |      1-3-0 | 25.00% |           0 |           1 |
| Horizon Canopy                                          |     1 |  1.22% |      0-4-0 |  0.00% |           1 |           0 |
| Hurkyl's Recall                                         |     1 |  1.22% |      4-3-0 | 57.14% |           0 |           2 |
| Hydroelectric Specimen // Hydroelectric Laboratory      |     1 |  1.22% |      5-2-0 | 71.43% |           3 |           0 |
| Icetill Explorer                                        |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| Ignoble Hierarch                                        |     1 |  1.22% |      0-4-0 |  0.00% |           2 |           0 |
| Inkwell Leviathan                                       |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Into the Flood Maw                                      |     1 |  1.22% |      2-4-0 | 33.33% |           0 |           4 |
| Intuition                                               |     1 |  1.22% |      3-4-0 | 42.86% |           0 |           1 |
| Jack-o'-Lantern                                         |     1 |  1.22% |      5-2-0 | 71.43% |           2 |           0 |
| Kaldra Compleat                                         |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Karn's Sylex                                            |     1 |  1.22% |      4-3-0 | 57.14% |           3 |           0 |
| Kolaghan's Command                                      |     1 |  1.22% |      2-4-1 | 35.71% |           2 |           0 |
| Legion Extruder                                         |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Leovold, Emissary of Trest                              |     1 |  1.22% |      5-1-1 | 78.57% |           1 |           0 |
| Leyline Binding                                         |     1 |  1.22% |      5-1-1 | 78.57% |           4 |           0 |
| Lion Sash                                               |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Long Goodbye                                            |     1 |  1.22% |      0-3-0 |  0.00% |           0 |           3 |
| Mawloc                                                  |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| Melded Moxite                                           |     1 |  1.22% |      0-3-0 |  0.00% |           2 |           0 |
| Memory Guardian                                         |     1 |  1.22% |      2-3-0 | 40.00% |           4 |           0 |
| Merchant Scroll                                         |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Mind's Desire                                           |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Mindbreak Trap                                          |     1 |  1.22% |      4-3-0 | 57.14% |           0 |           2 |
| Minor Misstep                                           |     1 |  1.22% |      0-3-0 |  0.00% |           2 |           0 |
| Mystical Dispute                                        |     1 |  1.22% |      1-4-0 | 20.00% |           0 |           2 |
| Nimble Obstructionist                                   |     1 |  1.22% |      2-4-1 | 35.71% |           1 |           0 |
| Noxious Revival                                         |     1 |  1.22% |      2-3-1 | 41.67% |           1 |           0 |
| Nulldrifter                                             |     1 |  1.22% |      5-2-1 | 68.75% |           4 |           0 |
| Nurturing Peatland                                      |     1 |  1.22% |      0-4-0 |  0.00% |           1 |           0 |
| Opposition Agent                                        |     1 |  1.22% |      2-4-1 | 35.71% |           0 |           1 |
| Otherworldly Gaze                                       |     1 |  1.22% |      2-4-0 | 33.33% |           4 |           0 |
| Ox of Agonas                                            |     1 |  1.22% |      2-4-0 | 33.33% |           1 |           0 |
| Patchwork Automaton                                     |     1 |  1.22% |      2-3-0 | 40.00% |           4 |           0 |
| Pernicious Deed                                         |     1 |  1.22% |      5-1-1 | 78.57% |           0 |           3 |
| Personal Tutor                                          |     1 |  1.22% |      3-3-0 | 50.00% |           3 |           0 |
| Peter Parker's Camera                                   |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Phantom Blade                                           |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Plague Engineer                                         |     1 |  1.22% |      1-3-0 | 25.00% |           0 |           1 |
| Pre-War Formalwear                                      |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Preordain                                               |     1 |  1.22% |      2-3-0 | 40.00% |           1 |           0 |
| Pyroclasm                                               |     1 |  1.22% |      1-2-0 | 33.33% |           0 |           1 |
| Questing Druid // Seek the Beast                        |     1 |  1.22% |      2-3-0 | 40.00% |           2 |           0 |
| Ramunap Excavator                                       |     1 |  1.22% |      0-4-0 |  0.00% |           1 |           0 |
| Raucous Theater                                         |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Recruiter of the Guard                                  |     1 |  1.22% |      4-3-0 | 57.14% |           4 |           0 |
| Relic of Progenitus                                     |     1 |  1.22% |      4-3-0 | 57.14% |           0 |           1 |
| Retrofitter Foundry                                     |     1 |  1.22% |      3-3-1 | 50.00% |           1 |           0 |
| Rough // Tumble                                         |     1 |  1.22% |      2-3-0 | 40.00% |           0 |           1 |
| Serenity                                                |     1 |  1.22% |      4-2-1 | 64.29% |           0 |           1 |
| Shatterskull Smashing // Shatterskull, the Hammer Pass  |     1 |  1.22% |      1-3-0 | 25.00% |           3 |           0 |
| Shenanigans                                             |     1 |  1.22% |      2-4-0 | 33.33% |           0 |           2 |
| Shifting Woodland                                       |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| Silent Gravestone                                       |     1 |  1.22% |      2-4-0 | 33.33% |           0 |           3 |
| Skyclave Apparition                                     |     1 |  1.22% |      4-3-0 | 57.14% |           3 |           0 |
| Smallpox                                                |     1 |  1.22% |      4-2-1 | 64.29% |           4 |           0 |
| Snap                                                    |     1 |  1.22% |      3-4-0 | 42.86% |           2 |           1 |
| Snow-Covered Island                                     |     1 |  1.22% |      1-3-0 | 25.00% |           1 |           0 |
| Snow-Covered Plains                                     |     1 |  1.22% |      1-3-0 | 25.00% |           1 |           0 |
| Snow-Covered Swamp                                      |     1 |  1.22% |      1-3-0 | 25.00% |           1 |           0 |
| Staff of the Storyteller                                |     1 |  1.22% |      2-5-0 | 28.57% |           1 |           0 |
| Steel Wrecking Ball                                     |     1 |  1.22% |      0-3-0 |  0.00% |           0 |           2 |
| Stern Scolding                                          |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Stifle                                                  |     1 |  1.22% |      1-4-0 | 20.00% |           3 |           0 |
| Stinkweed Imp                                           |     1 |  1.22% |      2-4-0 | 33.33% |           4 |           0 |
| Stoneforge Mystic                                       |     1 |  1.22% |      4-3-0 | 57.14% |           4 |           0 |
| Sudden Edict                                            |     1 |  1.22% |      2-4-1 | 35.71% |           1 |           0 |
| Supreme Verdict                                         |     1 |  1.22% |      2-3-1 | 41.67% |           0 |           1 |
| Sylvan Library                                          |     1 |  1.22% |      3-3-0 | 50.00% |           2 |           0 |
| Taiga                                                   |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| Talon Gates of Madara                                   |     1 |  1.22% |      3-3-0 | 50.00% |           1 |           0 |
| The Stone Brain                                         |     1 |  1.22% |      6-2-1 | 72.22% |           0 |           1 |
| Time Spiral                                             |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Torpor Orb                                              |     1 |  1.22% |      5-2-1 | 68.75% |           3 |           0 |
| Triumph of Saint Katherine                              |     1 |  1.22% |      1-4-0 | 20.00% |           0 |           2 |
| Tune the Narrative                                      |     1 |  1.22% |      0-3-0 |  0.00% |           2 |           0 |
| Turnabout                                               |     1 |  1.22% |      3-4-0 | 42.86% |           4 |           0 |
| Twinshot Sniper                                         |     1 |  1.22% |      1-4-0 | 20.00% |           0 |           1 |
| Twisted Image                                           |     1 |  1.22% |      3-3-0 | 50.00% |           0 |           1 |
| Tyrant's Scorn                                          |     1 |  1.22% |      2-4-1 | 35.71% |           1 |           0 |
| Ugin, the Ineffable                                     |     1 |  1.22% |      2-3-0 | 40.00% |           1 |           0 |
| Ulamog, the Ceaseless Hunger                            |     1 |  1.22% |      4-3-0 | 57.14% |           1 |           0 |
| Underground Mortuary                                    |     1 |  1.22% |      4-2-1 | 64.29% |           1 |           0 |
| Up the Beanstalk                                        |     1 |  1.22% |      5-1-1 | 78.57% |           4 |           0 |
| Urza's Mine                                             |     1 |  1.22% |      2-3-0 | 40.00% |           4 |           0 |
| Urza's Power Plant                                      |     1 |  1.22% |      2-3-0 | 40.00% |           4 |           0 |
| Valgavoth, Terror Eater                                 |     1 |  1.22% |      0-3-0 |  0.00% |           1 |           0 |
| Vision Charm                                            |     1 |  1.22% |      3-3-0 | 50.00% |           0 |           1 |
| Void Mirror                                             |     1 |  1.22% |      0-4-0 |  0.00% |           0 |           2 |
| Volrath's Stronghold                                    |     1 |  1.22% |      2-5-0 | 28.57% |           1 |           0 |
| Warping Wail                                            |     1 |  1.22% |      0-2-0 |  0.00% |           0 |           1 |
| White Orchid Phantom                                    |     1 |  1.22% |      4-3-0 | 57.14% |           2 |           0 |
| Witherbloom Command                                     |     1 |  1.22% |      4-2-1 | 64.29% |           3 |           0 |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
