Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Birds of Paradise                                       |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Blue Sun's Zenith                                       |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Brotherhood's End                                       |     1 |  1.39% |    1-4-0 | 20.00% |           0 |           1 |
| Caustic Bronco                                          |     1 |  1.39% |    3-3-0 | 50.00% |           3 |           0 |
| Celestial Purge                                         |     1 |  1.39% |    1-5-0 | 16.67% |           0 |           2 |
| Chain Lightning                                         |     1 |  1.39% |    3-4-0 | 42.86% |           1 |           0 |
| Chain of Vapor                                          |     1 |  1.39% |    5-1-2 | 75.00% |           0 |           2 |
| Chancellor of the Annex                                 |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Changeling Outcast                                      |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Chord of Calling                                        |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Cityscape Leveler                                       |     1 |  1.39% |    0-3-0 |  0.00% |           0 |           1 |
| Clarion Conqueror // Clarion Conqueror                  |     1 |  1.39% |    4-2-0 | 66.67% |           0 |           4 |
| Cling to Dust                                           |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           0 |
| Cloudpost                                               |     1 |  1.39% |    0-3-0 |  0.00% |           4 |           0 |
| Commercial District                                     |     1 |  1.39% |    3-4-0 | 42.86% |           1 |           0 |
| Counterbalance                                          |     1 |  1.39% |    6-2-0 | 75.00% |           0 |           1 |
| Cunning Wish                                            |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           1 |
| Dance of the Dead                                       |     1 |  1.39% |    1-3-0 | 25.00% |           4 |           0 |
| Disciple of Freyalise // Garden of Freyalise            |     1 |  1.39% |    4-3-0 | 57.14% |           2 |           1 |
| Disruptive Stormbrood // Petty Revenge                  |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Doorkeeper Thrull                                       |     1 |  1.39% |    5-2-0 | 71.43% |           3 |           0 |
| Dread of Night                                          |     1 |  1.39% |    2-3-0 | 40.00% |           0 |           1 |
| Drown in the Loch                                       |     1 |  1.39% |    2-3-0 | 40.00% |           2 |           0 |
| Eladamri, Korvecdal                                     |     1 |  1.39% |    2-2-0 | 50.00% |           1 |           0 |
| Eldrazi Confluence                                      |     1 |  1.39% |    5-2-0 | 71.43% |           0 |           1 |
| Elvish Visionary                                        |     1 |  1.39% |    2-2-0 | 50.00% |           2 |           0 |
| Emry, Lurker of the Loch                                |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Etali, Primal Conqueror // Etali, Primal Sickness       |     1 |  1.39% |    1-3-0 | 25.00% |           1 |           0 |
| Exorcise                                                |     1 |  1.39% |    4-2-0 | 66.67% |           0 |           2 |
| Extirpate                                               |     1 |  1.39% |    2-3-0 | 40.00% |           0 |           1 |
| Eye of Ugin                                             |     1 |  1.39% |    0-3-0 |  0.00% |           1 |           0 |
| Fae of Wishes // Granted                                |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Far // Away                                             |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Fell the Profane // Fell Mire                           |     1 |  1.39% |    0-3-0 |  0.00% |           4 |           0 |
| Filter Out                                              |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Flagstones of Trokair                                   |     1 |  1.39% |    3-4-0 | 42.86% |           2 |           0 |
| Flash of Insight                                        |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Flickerwisp                                             |     1 |  1.39% |    6-1-2 | 77.78% |           2 |           0 |
| Forth Eorlingas!                                        |     1 |  1.39% |    0-2-0 |  0.00% |           0 |           1 |
| Fortune, Loyal Steed                                    |     1 |  1.39% |    4-2-0 | 66.67% |           4 |           0 |
| Foundation Breaker                                      |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Frenzied Baloth                                         |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Gilded Drake                                            |     1 |  1.39% |    5-2-0 | 71.43% |           1 |           0 |
| Glimmerpost                                             |     1 |  1.39% |    0-3-0 |  0.00% |           2 |           0 |
| Glimpse of Nature                                       |     1 |  1.39% |    2-2-0 | 50.00% |           4 |           0 |
| Goblin Rabblemaster                                     |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Grove of the Burnwillows                                |     1 |  1.39% |    3-3-0 | 50.00% |           2 |           0 |
| Haliya, Guided by Light                                 |     1 |  1.39% |    4-2-0 | 66.67% |           3 |           0 |
| Harbinger of the Seas                                   |     1 |  1.39% |    3-3-0 | 50.00% |           0 |           2 |
| Heritage Druid                                          |     1 |  1.39% |    2-2-0 | 50.00% |           3 |           0 |
| Hide on the Ceiling                                     |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| High Tide                                               |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Hullbreacher                                            |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Hurkyl's Recall                                         |     1 |  1.39% |    3-3-0 | 50.00% |           0 |           1 |
| Hydroelectric Specimen // Hydroelectric Laboratory      |     1 |  1.39% |    0-3-0 |  0.00% |           3 |           0 |
| Hymn to Tourach                                         |     1 |  1.39% |    0-2-1 | 16.67% |           2 |           0 |
| Icetill Explorer                                        |     1 |  1.39% |    3-4-0 | 42.86% |           1 |           0 |
| Ignoble Hierarch                                        |     1 |  1.39% |    5-2-0 | 71.43% |           4 |           0 |
| Ingenious Infiltrator                                   |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Inquisition of Kozilek                                  |     1 |  1.39% |    0-2-1 | 16.67% |           0 |           1 |
| Intuition                                               |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Jace, the Mind Sculptor                                 |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           0 |
| Jack-o'-Lantern                                         |     1 |  1.39% |    0-3-0 |  0.00% |           2 |           0 |
| Jacked Rabbit                                           |     1 |  1.39% |    4-2-0 | 66.67% |           4 |           0 |
| Kaito, Dancing Shadow                                   |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           0 |
| Kaldra Compleat                                         |     1 |  1.39% |    6-1-2 | 77.78% |           1 |           0 |
| Kappa Cannoneer                                         |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Karn's Sylex                                            |     1 |  1.39% |    0-3-0 |  0.00% |           3 |           0 |
| Kolaghan's Command                                      |     1 |  1.39% |    0-2-1 | 16.67% |           2 |           0 |
| Legion Extruder                                         |     1 |  1.39% |    3-3-0 | 50.00% |           1 |           0 |
| Leovold, Emissary of Trest                              |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Leyline Binding                                         |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Leyline of Sanctity                                     |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           4 |
| Liliana, the Last Hope                                  |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           0 |
| Lion Sash                                               |     1 |  1.39% |    6-1-2 | 77.78% |           1 |           0 |
| Lively Dirge                                            |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Llanowar Elves                                          |     1 |  1.39% |    2-2-0 | 50.00% |           1 |           0 |
| Long Goodbye                                            |     1 |  1.39% |    1-3-0 | 25.00% |           0 |           1 |
| Massacre                                                |     1 |  1.39% |    5-2-0 | 71.43% |           0 |           1 |
| Mawloc                                                  |     1 |  1.39% |    3-4-0 | 42.86% |           1 |           0 |
| Melded Moxite                                           |     1 |  1.39% |    3-3-0 | 50.00% |           2 |           0 |
| Merchant Scroll                                         |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Mind's Desire                                           |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Mindbreak Trap                                          |     1 |  1.39% |    3-4-0 | 42.86% |           0 |           2 |
| Minor Misstep                                           |     1 |  1.39% |    1-5-0 | 16.67% |           1 |           0 |
| Mistblade Shinobi                                       |     1 |  1.39% |    2-3-0 | 40.00% |           2 |           0 |
| Mistrise Village                                        |     1 |  1.39% |    1-4-0 | 20.00% |           0 |           1 |
| Murderous Cut                                           |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Narset, Parter of Veils                                 |     1 |  1.39% |    1-5-0 | 16.67% |           1 |           1 |
| Necromancy                                              |     1 |  1.39% |    3-4-0 | 42.86% |           2 |           0 |
| Nettle Sentinel                                         |     1 |  1.39% |    2-2-0 | 50.00% |           4 |           0 |
| Omniscience                                             |     1 |  1.39% |    1-4-0 | 20.00% |           2 |           0 |
| Opposition Agent                                        |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Ornithopter                                             |     1 |  1.39% |    2-3-0 | 40.00% |           3 |           0 |
| Outland Liberator // Frenzied Trapbreaker               |     1 |  1.39% |    0-2-0 |  0.00% |           0 |           1 |
| Paradoxical Outcome                                     |     1 |  1.39% |    5-1-2 | 75.00% |           4 |           0 |
| Pernicious Deed                                         |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           3 |
| Personal Tutor                                          |     1 |  1.39% |    1-3-0 | 25.00% |           3 |           0 |
| Peter Parker's Camera                                   |     1 |  1.39% |    3-3-0 | 50.00% |           1 |           0 |
| Phantom Blade                                           |     1 |  1.39% |    6-1-2 | 77.78% |           1 |           0 |
| Phlage, Titan of Fire's Fury                            |     1 |  1.39% |    3-4-0 | 42.86% |           1 |           0 |
| Pinnacle Emissary                                       |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Plagon, Lord of the Beach                               |     1 |  1.39% |    5-1-2 | 75.00% |           2 |           0 |
| Pre-War Formalwear                                      |     1 |  1.39% |    6-1-2 | 77.78% |           1 |           0 |
| Profit // Loss                                          |     1 |  1.39% |    2-3-0 | 40.00% |           0 |           1 |
| Punishing Fire                                          |     1 |  1.39% |    3-3-0 | 50.00% |           3 |           0 |
| Pyroclasm                                               |     1 |  1.39% |    6-2-0 | 75.00% |           0 |           1 |
| Pyrokinesis                                             |     1 |  1.39% |    5-2-0 | 71.43% |           0 |           1 |
| Raucous Theater                                         |     1 |  1.39% |    3-3-0 | 50.00% |           1 |           0 |
| Reclamation Sage                                        |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           1 |
| Recruiter of the Guard                                  |     1 |  1.39% |    6-1-2 | 77.78% |           4 |           0 |
| Roiling Dragonstorm                                     |     1 |  1.39% |    3-4-0 | 42.86% |           2 |           0 |
| Rough // Tumble                                         |     1 |  1.39% |    3-4-0 | 42.86% |           0 |           1 |
| Sai of the Shinobi                                      |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Sakashima's Student                                     |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Sanctifier en-Vec                                       |     1 |  1.39% |    1-5-0 | 16.67% |           0 |           1 |
| Seasoned Dungeoneer                                     |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Seat of the Synod                                       |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Shaman en-Kor                                           |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Silent Clearing                                         |     1 |  1.39% |    0-2-0 |  0.00% |           1 |           0 |
| Skyclave Apparition                                     |     1 |  1.39% |    6-1-2 | 77.78% |           3 |           0 |
| Snap                                                    |     1 |  1.39% |    4-3-0 | 57.14% |           2 |           1 |
| Snapcaster Mage                                         |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           1 |
| Sneak Attack                                            |     1 |  1.39% |    1-4-0 | 20.00% |           4 |           0 |
| Snow-Covered Forest                                     |     1 |  1.39% |    0-3-0 |  0.00% |           1 |           0 |
| Snow-Covered Island                                     |     1 |  1.39% |    5-2-0 | 71.43% |           1 |           0 |
| Snow-Covered Plains                                     |     1 |  1.39% |    5-2-0 | 71.43% |           1 |           0 |
| Snow-Covered Swamp                                      |     1 |  1.39% |    5-2-0 | 71.43% |           1 |           0 |
| Spell Pierce                                            |     1 |  1.39% |    5-2-0 | 71.43% |           3 |           0 |
| Spellstutter Sprite                                     |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Spire of Industry                                       |     1 |  1.39% |    5-1-2 | 75.00% |           2 |           0 |
| Springheart Nantuko                                     |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Staff of the Storyteller                                |     1 |  1.39% |    0-2-0 |  0.00% |           1 |           0 |
| Starfield Shepherd                                      |     1 |  1.39% |    4-2-0 | 66.67% |           4 |           0 |
| Stern Scolding                                          |     1 |  1.39% |    1-5-0 | 16.67% |           1 |           0 |
| Stifle                                                  |     1 |  1.39% |    3-4-0 | 42.86% |           0 |           3 |
| Stoneforge Mystic                                       |     1 |  1.39% |    6-1-2 | 77.78% |           4 |           0 |
| Submerge                                                |     1 |  1.39% |    3-4-0 | 42.86% |           0 |           1 |
| Summoner's Pact                                         |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| The Stone Brain                                         |     1 |  1.39% |    5-2-0 | 71.43% |           0 |           1 |
| Thought Monitor                                         |     1 |  1.39% |    3-3-0 | 50.00% |           2 |           0 |
| Thoughtcast                                             |     1 |  1.39% |    3-3-0 | 50.00% |           4 |           0 |
| Thraben Charm                                           |     1 |  1.39% |    4-2-0 | 66.67% |           0 |           1 |
| Time Spiral                                             |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Toby, Beastie Befriender                                |     1 |  1.39% |    4-2-0 | 66.67% |           1 |           0 |
| Touch the Spirit Realm                                  |     1 |  1.39% |    2-3-0 | 40.00% |           0 |           2 |
| Turnabout                                               |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Twinshot Sniper                                         |     1 |  1.39% |    0-3-0 |  0.00% |           0 |           1 |
| Ugin, the Ineffable                                     |     1 |  1.39% |    0-3-0 |  0.00% |           1 |           0 |
| Ulamog, the Ceaseless Hunger                            |     1 |  1.39% |    0-3-0 |  0.00% |           1 |           0 |
| Underground Mortuary                                    |     1 |  1.39% |    3-3-0 | 50.00% |           1 |           0 |
| Undermountain Adventurer                                |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Unearth                                                 |     1 |  1.39% |    1-3-0 | 25.00% |           0 |           1 |
| Unmask                                                  |     1 |  1.39% |    1-3-0 | 25.00% |           4 |           0 |
| Up the Beanstalk                                        |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Urza's Mine                                             |     1 |  1.39% |    0-3-0 |  0.00% |           4 |           0 |
| Urza's Power Plant                                      |     1 |  1.39% |    0-3-0 |  0.00% |           4 |           0 |
| Vision Charm                                            |     1 |  1.39% |    1-3-0 | 25.00% |           0 |           1 |
| Void Mirror                                             |     1 |  1.39% |    4-3-0 | 57.14% |           0 |           2 |
| Volrath's Stronghold                                    |     1 |  1.39% |    0-2-0 |  0.00% |           1 |           0 |
| Warping Wail                                            |     1 |  1.39% |    5-2-0 | 71.43% |           0 |           1 |
| Waterlogged Teachings // Inundated Archive              |     1 |  1.39% |    0-2-1 | 16.67% |           1 |           0 |
| Wear // Tear                                            |     1 |  1.39% |    0-2-0 |  0.00% |           0 |           1 |
| Wedding Announcement // Wedding Festivity               |     1 |  1.39% |    4-2-0 | 66.67% |           0 |           1 |
| White Orchid Phantom                                    |     1 |  1.39% |    6-1-2 | 77.78% |           2 |           0 |
| Wight of the Reliquary                                  |     1 |  1.39% |    5-2-0 | 71.43% |           4 |           0 |
| Wild Cantor                                             |     1 |  1.39% |    4-3-0 | 57.14% |           1 |           0 |
| Wirewood Symbiote                                       |     1 |  1.39% |    2-2-0 | 50.00% |           4 |           0 |
| Wooded Foothills                                        |     1 |  1.39% |    2-2-0 | 50.00% |           2 |           0 |
| Writ of Passage                                         |     1 |  1.39% |    2-3-0 | 40.00% |           1 |           0 |
| Yuriko, the Tiger's Shadow                              |     1 |  1.39% |    2-3-0 | 40.00% |           3 |           0 |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
