Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Marsh Flats                                             |    10 | 13.89% |  32-23-5 | 57.50% |          24 |           0 |
| Meticulous Archive                                      |    10 | 13.89% |  29-27-1 | 51.75% |          10 |           0 |
| Nadu, Winged Wisdom                                     |    10 | 13.89% |  26-27-1 | 49.07% |          40 |           0 |
| Nomads en-Kor                                           |    10 | 13.89% |  26-27-1 | 49.07% |          40 |           0 |
| Cavern of Souls                                         |     9 | 12.50% |  20-24-1 | 45.56% |          17 |           5 |
| Chrome Mox                                              |     9 | 12.50% |  29-22-3 | 56.48% |          30 |           0 |
| Dauthi Voidwalker                                       |     9 | 12.50% |  24-22-2 | 52.08% |           0 |          27 |
| Endurance                                               |     9 | 12.50% |  27-25-0 | 51.92% |          10 |           6 |
| Grim Monolith                                           |     9 | 12.50% |  24-20-2 | 54.35% |          36 |           0 |
| Hedge Maze                                              |     9 | 12.50% |  22-24-1 | 47.87% |           9 |           0 |
| Lavaspur Boots                                          |     9 | 12.50% |  26-24-2 | 51.92% |           9 |           0 |
| Manifold Key                                            |     9 | 12.50% |  24-20-2 | 54.35% |          25 |           0 |
| Planar Nexus                                            |     9 | 12.50% |  19-22-0 | 46.34% |          36 |           0 |
| Thassa's Oracle                                         |     9 | 12.50% |  19-27-1 | 41.49% |           9 |           5 |
| Urza's Tower                                            |     9 | 12.50% |  19-22-0 | 46.34% |          36 |           0 |
| Blood Moon                                              |     8 | 11.11% |  21-21-2 | 50.00% |          13 |           7 |
| Bloodstained Mire                                       |     8 | 11.11% |  12-22-1 | 35.71% |          15 |           0 |
| Bojuka Bog                                              |     8 | 11.11% |  22-21-1 | 51.14% |           8 |           0 |
| Chalice of the Void                                     |     8 | 11.11% |  20-22-1 | 47.67% |          32 |           0 |
| Clarion Conqueror                                       |     8 | 11.11% |  20-21-0 | 48.78% |           5 |          16 |
| Engineered Explosives                                   |     8 | 11.11% |  20-17-3 | 53.75% |           0 |           8 |
| Expedition Map                                          |     8 | 11.11% |  19-19-1 | 50.00% |           8 |           0 |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki  |     8 | 11.11% |  22-21-1 | 51.14% |          31 |           0 |
| Fury                                                    |     8 | 11.11% |  22-21-1 | 51.14% |          20 |           8 |
| Glaring Fleshraker                                      |     8 | 11.11% |  19-18-2 | 51.28% |          32 |           0 |
