Red Stompy -- 7.78% of field, won 55.17% of matches
+---------------------------------+----------------+---------------+-----------+----------+
|         Red Stompy vs.          |  September +   |  September +  | Post-EoE  | Post-EoE |
|                                 | October Record | October Win % |  Record   |  Win %   |
+---------------------------------+----------------+---------------+-----------+----------+
| Hogaak                          |     0-0-0      |           --- |   1-0-0   |  100.00% |
| Jeskai Tempo                    |     0-0-0      |           --- |   0-0-0   |      --- |
| Loam                            |     0-0-0      |           --- |   0-0-0   |      --- |
| Natural Order                   |     0-0-0      |           --- |   0-0-0   |      --- |
| Necrodominance Combo            |     0-0-0      |           --- |   1-0-0   |  100.00% |
| Other Stompy                    |     0-0-0      |           --- |   0-0-0   |      --- |
| Paradoxical Outcome             |     0-0-0      |           --- |   0-0-0   |      --- |
| Ruby Storm                      |     0-0-0      |           --- |   0-0-0   |      --- |
| White Stompy                    |     0-0-0      |           --- |   4-1-0   |   80.00% |
| Worldgorger                     |     0-0-0      |           --- |   1-1-0   |   50.00% |
+---------------------------------+----------------+---------------+-----------+----------+
